,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:08,008",[upbeat music playing],0,0.0,,,,6.01,8.01
1,"00:00:13,614","00:00:15,616",[man whistling on soundtrack],0,0.0,,,,13.61,15.62
2,"00:00:30,564","00:00:34,434","[man] <i>Girls and boys,</i> <i>please welcome to the stage</i>",1,4.020000000000003,"#1, ","31.68, ","35.7, ",30.56,34.43
3,"00:00:35,168","00:00:36,737",<i>Sarah Silverman!</i>,1,27.660000000000004,"#2, ","35.86, ","63.52, ",35.17,36.74
4,"00:00:36,803","00:00:38,805",[audience cheering and applauding],0,0.0,,,,36.8,38.8
5,"00:00:41,475","00:00:42,476",[mouthing] Hi.,0,0.0,,,,41.48,42.48
6,"00:00:53,320","00:00:54,421","Well, thank you.",0,0.0,,,,53.32,54.42
7,"00:01:03,297","00:01:04,565",Thank you so much.,0,0.0,,,,63.3,64.56
8,"00:01:04,631","00:01:06,833",I am so happy you guys are here.,0,0.0,,,,64.63,66.83
9,"00:01:07,534","00:01:09,770",I'm sorry about the metal detectors.,0,0.0,,,,67.53,69.77
10,"00:01:09,836","00:01:13,073","-That is my bad. I, um... -[audience laughs]",1,1.5100000000000051,"#3, ","71.13, ","72.64, ",69.84,73.07
11,"00:01:13,140","00:01:17,544","...tweeted something, and, uh, it made some people",0,0.0,,,,73.14,77.54
12,"00:01:17,611","00:01:21,281","feel the need to express, um, wanting to kill me.",0,0.0,,,,77.61,81.28
13,"00:01:21,348","00:01:23,517",-And... -[audience laughs],1,2.6200000000000045,"#4, ","82.24, ","84.86, ",81.35,83.52
14,"00:01:24,451","00:01:26,787",I'm sorry I called for a military coup.,1,2.069999999999993,"#5, ","87.01, ","89.08, ",84.45,86.79
15,"00:01:26,853","00:01:28,322",[audience laughing],0,0.0,,,,86.85,88.32
16,"00:01:28,388","00:01:30,123",I knew it was a long shot.,1,2.780000000000001,"#6, ","90.16, ","92.94, ",88.39,90.12
17,"00:01:32,526","00:01:36,863","You know, when you're a comedian now, you really have to think things through",0,0.0,,,,92.53,96.86
18,"00:01:37,130","00:01:39,533","before you post them, you know, on Twitter.",0,0.0,,,,97.13,99.53
19,"00:01:39,599","00:01:41,702","Who do we think we are, presidents?",1,11.36,"#7, ","102.14, ","113.5, ",99.6,101.7
20,"00:01:41,768","00:01:43,770",[audience laughing],0,0.0,,,,101.77,103.77
