,filename,laughs,start,end,threshold,duration
1,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_1.wav,31.68,35.7,0.5,0.5
2,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_2.wav,35.86,63.52,0.5,0.5
3,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_3.wav,71.13,72.64,0.5,0.5
4,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_4.wav,82.24,84.86,0.5,0.5
5,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_5.wav,87.01,89.08,0.5,0.5
6,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_6.wav,90.16,92.94,0.5,0.5
7,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_7.wav,102.14,113.5,0.5,0.5
8,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_8.wav,119.37,121.33,0.5,0.5
9,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_9.wav,134.9,136.58,0.5,0.5
10,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_10.wav,153.83,156.28,0.5,0.5
11,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_11.wav,158.13,159.19,0.5,0.5
12,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_12.wav,162.12,164.79,0.5,0.5
13,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_13.wav,168.3,169.81,0.5,0.5
14,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_14.wav,173.1,174.4,0.5,0.5
15,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_15.wav,176.82,179.77,0.5,0.5
16,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_16.wav,196.43,197.96,0.5,0.5
17,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_17.wav,199.81,203.11,0.5,0.5
18,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_18.wav,208.73,211.85,0.5,0.5
19,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_19.wav,215.42,218.89,0.5,0.5
20,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_20.wav,219.28,221.55,0.5,0.5
21,Sarah.Silverman...A.Speck.of.Dust.2017-music.wav,/laughs/laugh_21.wav,225.96,227.17,0.5,0.5
