,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:12,846","00:00:14,723",[instrumental music plays],1,10.5,"#1, ","28.79, ","39.29, ",12.85,14.72
1,"00:00:36,244","00:00:37,078",♪ All right ♪,1,34.93,"#2, ","39.88, ","74.81, ",36.24,37.08
2,"00:00:45,378","00:00:46,254",[screeching],0,0.0,,,,45.38,46.25
3,"00:00:48,131","00:00:49,841",[cheering and applause],0,0.0,,,,48.13,49.84
4,"00:01:12,530","00:01:16,826",Beautiful New York City.,1,9.989999999999995,"#3, ","75.03, ","85.02, ",72.53,76.83
5,"00:01:16,910","00:01:18,703",[cheering and applause continues],0,0.0,,,,76.91,78.7
6,"00:01:24,084","00:01:25,919","Now, I've got my father here.",1,1.8500000000000085,"#4, ","85.83, ","87.68, ",84.08,85.92
7,"00:01:26,753","00:01:28,004",[cheering],1,1.4399999999999977,"#5, ","88.36, ","89.8, ",86.75,88.0
8,"00:01:29,672","00:01:31,800",And he's planning the whole day today.,0,0.0,,,,89.67,91.8
9,"00:01:31,883","00:01:33,301",He wanted to do lunch.,1,1.25,"#6, ","92.57, ","93.82, ",91.88,93.3
10,"00:01:33,384","00:01:35,678","He's like, ""Let's go to the freedom thing.",2,3.6200000000000045,"#7, #8, ","95.29, 99.96, ","97.89, 100.98, ",93.38,95.68
11,"00:01:36,054","00:01:37,847",-Take a look at that. -[laughter],0,0.0,,,,96.05,97.85
12,"00:01:40,475","00:01:41,893","Maybe we go to Central Park.""",0,0.0,,,,100.47,101.89
13,"00:01:41,976","00:01:45,188","I go, ""Dad, I'm-- I'm playing Radio City tonight.",0,0.0,,,,101.98,105.19
14,"00:01:45,271","00:01:46,648","I got shit going on.""",0,0.0,,,,105.27,106.65
15,"00:01:46,731","00:01:48,024",[laughter],0,0.0,,,,106.73,108.02
16,"00:01:49,275","00:01:51,611","He goes, ""What, are you too big now? Big shot!",2,2.6300000000000097,"#9, #10, ","110.75, 112.52, ","111.67, 114.23, ",109.28,111.61
17,"00:01:51,694","00:01:52,946",[laughter],0,0.0,,,,111.69,112.95
18,"00:01:53,029","00:01:56,574","You're a biggie, biggie shot. You can't go out to lunch with your father?",1,3.3599999999999994,"#11, ","122.19, ","125.55, ",113.03,116.57
19,"00:01:56,658","00:01:58,076",[laughter],0,0.0,,,,116.66,118.08
20,"00:02:04,082","00:02:05,291","Biggie, biggie shot.""",1,1.2499999999999858,"#12, ","126.76, ","128.01, ",124.08,125.29
21,"00:02:05,375","00:02:06,251",[laughter],0,0.0,,,,125.38,126.25
22,"00:02:07,794","00:02:09,838","Came in on Wednesday, and it was...",1,1.009999999999991,"#13, ","128.55, ","129.56, ",127.79,129.84
23,"00:02:09,921","00:02:12,298",I don't know what's going on on these airplanes.,0,0.0,,,,129.92,132.3
24,"00:02:12,382","00:02:15,635",Looks like a farm on the airplane now,1,0.8899999999999864,"#14, ","135.27, ","136.16, ",132.38,135.63
25,"00:02:15,718","00:02:17,762",with the amount of animals,1,0.950000000000017,"#15, ","136.48, ","137.43, ",135.72,137.76
26,"00:02:17,846","00:02:19,389",coming down the aisle.,1,1.5999999999999943,"#16, ","140.58, ","142.18, ",137.85,139.39
27,"00:02:19,472","00:02:20,598",[laughter],0,0.0,,,,139.47,140.6
28,"00:02:20,682","00:02:22,016",When did this...?,0,0.0,,,,140.68,142.02
29,"00:02:22,100","00:02:23,768",Okay. Why-- why is it okay,1,0.8799999999999955,"#17, ","143.82, ","144.7, ",142.1,143.77
30,"00:02:23,852","00:02:25,645","to just bring the dog,",0,0.0,,,,143.85,145.65
31,"00:02:25,979","00:02:27,063",a parrot.,0,0.0,,,,145.98,147.06
32,"00:02:27,147","00:02:28,523",[laughter],0,0.0,,,,147.15,148.52
33,"00:02:29,566","00:02:31,985","You see a couple months ago, at the Newark Airport?",1,1.0200000000000102,"#18, ","150.92, ","151.94, ",149.57,151.99
34,"00:02:32,068","00:02:34,237",Some idiot tried to bring a peacock.,2,2.839999999999975,"#19, #20, ","153.31, 158.58, ","155.2, 159.53, ",152.07,154.24
35,"00:02:34,320","00:02:35,697",[laughter],0,0.0,,,,154.32,155.7
36,"00:02:38,867","00:02:41,619","She had a peacock on her shoulder,",1,1.170000000000016,"#21, ","161.85, ","163.02, ",158.87,161.62
37,"00:02:42,036","00:02:44,080","walking into the airport,",1,2.9499999999999886,"#22, ","164.24, ","167.19, ",162.04,164.08
38,"00:02:44,622","00:02:47,000","like it was TUMI luggage. I mean, what?",0,0.0,,,,164.62,167.0
39,"00:02:47,083","00:02:48,960",[laughter],0,0.0,,,,167.08,168.96
40,"00:02:50,086","00:02:52,547",The thing fell off. She's trying to gather it.,1,1.75,"#23, ","172.58, ","174.33, ",170.09,172.55
41,"00:02:52,630","00:02:53,882",[laughter],0,0.0,,,,172.63,173.88
42,"00:02:58,052","00:03:00,930","When these people leave the house, anybody say anything to them?",1,0.660000000000025,"#24, ","180.39, ","181.05, ",178.05,180.93
43,"00:03:01,014","00:03:02,432",[laughter],0,0.0,,,,181.01,182.43
44,"00:03:02,515","00:03:04,809","If I left the house with a peacock on my back,",0,0.0,,,,182.51,184.81
45,"00:03:04,893","00:03:07,687","someone would come up to me, ""Where the fuck you going with that?",1,2.730000000000018,"#25, ","185.64, ","188.37, ",184.89,187.69
46,"00:03:07,770","00:03:08,980",[laughter],0,0.0,,,,187.77,188.98
47,"00:03:11,441","00:03:13,735","You gonna bring it on an airplane? What are you, nuts?""",1,3.1200000000000045,"#26, ","199.94, ","203.06, ",191.44,193.74
48,"00:03:13,818","00:03:15,111",[laughter],0,0.0,,,,193.82,195.11
49,"00:03:21,034","00:03:23,995",There was a fight on my airplane. We couldn't even take off.,1,0.5199999999999818,"#27, ","204.8, ","205.32, ",201.03,204.0
50,"00:03:24,996","00:03:27,207",Someone got their ass kicked on the flight.  I mean...,1,1.6799999999999784,"#28, ","206.49, ","208.17, ",205.0,207.21
51,"00:03:27,582","00:03:29,792",This is happening on a weekly basis.,1,0.7599999999999909,"#29, ","209.5, ","210.26, ",207.58,209.79
52,"00:03:31,002","00:03:32,754",Just do what you're told.,1,1.4699999999999989,"#30, ","212.61, ","214.08, ",211.0,212.75
53,"00:03:33,671","00:03:35,882",That's how I grew up. Just do what you're told.,0,0.0,,,,213.67,215.88
54,"00:03:35,965","00:03:37,133",What's with the lip?,2,2.930000000000007,"#31, #32, ","216.16, 218.28, ","217.79, 219.58, ",215.97,217.13
55,"00:03:37,217","00:03:38,384",[laughter],0,0.0,,,,217.22,218.38
56,"00:03:38,468","00:03:39,469",If I'm on an airplane,0,0.0,,,,218.47,219.47
57,"00:03:39,552","00:03:43,640",and four stormtroopers get on my plane with flak jackets on...,1,4.050000000000011,"#33, ","222.32, ","226.37, ",219.55,223.64
58,"00:03:44,515","00:03:45,642","that say ""Security"",",0,0.0,,,,224.51,225.64
59,"00:03:45,725","00:03:49,812","and they come right to my row and tell me, ""Hey, you're gonna have to get up...""",1,1.4000000000000057,"#34, ","228.01, ","229.41, ",225.72,229.81
60,"00:03:49,896","00:03:50,772",I'm up!,1,3.6500000000000057,"#35, ","231.23, ","234.88, ",229.9,230.77
61,"00:03:50,855","00:03:52,482",[laughter],0,0.0,,,,230.85,232.48
62,"00:03:53,608","00:03:56,986","I take my bag, my cup of coffee... ""I am so sorry.",0,0.0,,,,233.61,236.99
63,"00:03:57,070","00:03:59,405","I am so, so sorry.",1,1.5100000000000193,"#36, ","237.23, ","238.74, ",237.07,239.41
64,"00:03:59,489","00:04:01,658",Do I just pick up my voucher here,1,1.0999999999999943,"#37, ","239.83, ","240.93, ",239.49,241.66
65,"00:04:01,741","00:04:04,160",and wait 14 days for the next flight?,0,0.0,,,,241.74,244.16
66,"00:04:04,244","00:04:06,829",That sounds totally fair to me.,1,2.460000000000008,"#38, ","245.81, ","248.27, ",244.24,246.83
67,"00:04:06,913","00:04:08,623",Just don't kick my ass.,0,0.0,,,,246.91,248.62
68,"00:04:08,706","00:04:12,126",I am sorry I interrupted everybody's vacation.,1,3.280000000000001,"#39, ","249.4, ","252.68, ",248.71,252.13
69,"00:04:12,210","00:04:15,129","Let me just make my way off the fuselage.""",1,1.5600000000000023,"#40, ","253.02, ","254.58, ",252.21,255.13
70,"00:04:15,672","00:04:16,923",[laughter],0,0.0,,,,255.67,256.92
71,"00:04:23,721","00:04:26,474",What are you gonna do? Fight someone nowadays?,1,1.67999999999995,"#41, ","268.47, ","270.15, ",263.72,266.47
72,"00:04:28,768","00:04:31,229","This-- this is not 20 years ago,",0,0.0,,,,268.77,271.23
73,"00:04:31,729","00:04:34,816",where you're at a nightclub and some guy gives you a little...,0,0.0,,,,271.73,274.82
74,"00:04:35,775","00:04:38,653","Remember those days, some guy would just kind of lean his shoulder",1,0.8799999999999955,"#42, ","277.7, ","278.58, ",275.77,278.65
75,"00:04:39,112","00:04:41,114",right into your chestplate.,2,3.8700000000000045,"#43, #44, ","279.15, 282.04, ","281.51, 283.55, ",279.11,281.11
76,"00:04:41,739","00:04:42,991",[laughter],0,0.0,,,,281.74,282.99
77,"00:04:45,326","00:04:46,369",[mouthing] Come on.,2,2.160000000000025,"#45, #46, ","286.33, 289.17, ","287.97, 289.69, ",285.33,286.37
78,"00:04:46,452","00:04:47,537",[laughter],0,0.0,,,,286.45,287.54
79,"00:04:49,372","00:04:50,999","""You want some of this, huh?",1,2.830000000000041,"#47, ","291.02, ","293.85, ",289.37,291.0
80,"00:04:51,082","00:04:53,501","Hold my cologne. You want to do this?""",0,0.0,,,,291.08,293.5
81,"00:04:53,584","00:04:54,836",[laughter],0,0.0,,,,293.58,294.84
82,"00:05:03,094","00:05:04,595",Back then you got into a fist fight.,1,2.4399999999999977,"#48, ","303.46, ","305.9, ",303.09,304.6
83,"00:05:04,679","00:05:06,639",Maybe you got a black eye. Maybe.,0,0.0,,,,304.68,306.64
84,"00:05:07,807","00:05:10,268","That's all people knew how to do, was to punch.",1,0.7699999999999818,"#49, ","309.6, ","310.37, ",307.81,310.27
85,"00:05:10,351","00:05:11,269",Now...,0,0.0,,,,310.35,311.27
86,"00:05:11,352","00:05:14,397",You don't know what this guy knows with this Mixed Martial Arts.,1,1.8100000000000023,"#50, ","314.24, ","316.05, ",311.35,314.4
87,"00:05:14,480","00:05:15,356",[laughter],0,0.0,,,,314.48,315.36
88,"00:05:15,440","00:05:16,691",This MMA.,1,0.6200000000000045,"#51, ","316.74, ","317.36, ",315.44,316.69
89,"00:05:16,941","00:05:20,653","This guy will end up on your back with his heels into your nuts,",2,2.7900000000000205,"#52, #53, ","318.76, 320.76, ","319.85, 322.46, ",316.94,320.65
90,"00:05:20,987","00:05:22,196",choking you out.,2,5.089999999999975,"#54, #55, ","325.47, 329.44, ","328.13, 331.87, ",320.99,322.2
91,"00:05:22,280","00:05:23,406",[laughter],0,0.0,,,,322.28,323.41
92,"00:05:29,537","00:05:31,331",How do you defend that? I mean...,1,3.75,"#56, ","333.84, ","337.59, ",329.54,331.33
93,"00:05:31,414","00:05:32,623",[laughter],0,0.0,,,,331.41,332.62
94,"00:05:35,668","00:05:37,754","These MMA guys, that's a different guy.",1,0.6700000000000159,"#57, ","339.02, ","339.69, ",335.67,337.75
95,"00:05:39,172","00:05:41,090",That's a tough man.,0,0.0,,,,339.17,341.09
96,"00:05:41,174","00:05:44,969",They don't punch. They'll kick-- They'll kick your leg off.,2,4.080000000000041,"#58, #59, ","342.4, 346.03, ","345.13, 347.38, ",341.17,344.97
97,"00:05:45,053","00:05:46,596",[laughter],0,0.0,,,,345.05,346.6
