,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,000","00:00:07,680",<i>[instrumental music plays]</i>,0,0.0,,,,6.0,7.68
1,"00:00:22,800","00:00:25,960","<i>[announcer] </i><span style=""style2"">Ladies and gentlemen,</i> <span style=""style2"">please welcome to stage...</i>",1,14.360000000000003,"#1, ","25.48, ","39.84, ",22.8,25.96
2,"00:00:26,040","00:00:27,440",<i>Simon Amstell.</i>,0,0.0,,,,26.04,27.44
3,"00:00:27,520","00:00:28,960",<i>[cheering and applause]</i>,0,0.0,,,,27.52,28.96
4,"00:00:39,680","00:00:40,520",<i>Hello.</i>,1,2.1099999999999994,"#2, ","40.21, ","42.32, ",39.68,40.52
5,"00:00:40,600","00:00:41,720",<i>[laughter]</i>,0,0.0,,,,40.6,41.72
6,"00:00:43,360","00:00:45,640",<i>I suppose the problem for humanity...</i>,1,3.549999999999997,"#3, ","44.43, ","47.98, ",43.36,45.64
7,"00:00:45,720","00:00:47,280",<i>[laughter]</i>,0,0.0,,,,45.72,47.28
8,"00:00:48,040","00:00:51,120","<i>is there's a lot of people</i> <i>in here right now,</i>",1,1.1799999999999997,"#4, ","49.14, ","50.32, ",48.04,51.12
9,"00:00:51,200","00:00:53,920","<i>and everyone thinks</i> <i>that they're the special one,</i>",1,0.5,"#5, ","53.35, ","53.85, ",51.2,53.92
10,"00:00:54,000","00:00:57,680",<i>even though all the evidence</i> <i>points towards the fact</i>,1,0.7199999999999989,"#6, ","57.2, ","57.92, ",54.0,57.68
11,"00:00:57,760","00:00:58,960",<i>that it is me.</i>,2,5.150000000000006,"#7, #8, ","58.81, 62.87, ","61.21, 65.62, ",57.76,58.96
12,"00:00:59,040","00:01:01,040",<i>[laughter]</i>,0,0.0,,,,59.04,61.04
13,"00:01:03,040","00:01:05,680",<i>I don't know why we need</i> <i>to feel so special as human beings.</i>,0,0.0,,,,63.04,65.68
14,"00:01:05,760","00:01:08,640",<i>We grasp for anything</i> <i>that will make us feel special.</i>,0,0.0,,,,65.76,68.64
15,"00:01:08,720","00:01:12,680",<i>I was dumped many years ago</i> <i>by somebody who went on to write an album.</i>,2,2.719999999999999,"#9, #10, ","69.78, 71.55, ","70.56, 73.49, ",68.72,72.68
16,"00:01:12,760","00:01:14,440","<i>I listened to the album thinking,</i>",0,0.0,,,,72.76,74.44
17,"00:01:14,760","00:01:16,760","<i>""I imagine a couple of these songs</i> <i>will be about me.""</i>",0,0.0,,,,74.76,76.76
18,"00:01:16,840","00:01:17,840",<i>None of them.</i>,1,2.739999999999995,"#11, ","76.97, ","79.71, ",76.84,77.84
19,"00:01:17,920","00:01:19,360",<i>[laughter]</i>,0,0.0,,,,77.92,79.36
20,"00:01:19,440","00:01:22,320",<i>The worst moment for me</i> <i>was seeing a picture of him online</i>,1,0.5499999999999972,"#12, ","81.37, ","81.92, ",79.44,82.32
21,"00:01:22,400","00:01:25,760",<i>being hugged by somebody</i> <i>who had also rejected me.</i>,1,2.9599999999999937,"#13, ","85.11, ","88.07, ",82.4,85.76
22,"00:01:25,840","00:01:27,440",<i>[laughter]</i>,0,0.0,,,,85.84,87.44
23,"00:01:27,520","00:01:29,640","<i>I sat there alone, thinking,</i>",0,0.0,,,,87.52,89.64
24,"00:01:29,920","00:01:32,680","<i>""I don't think there's any way</i> <i>that one of them is saying,</i>",1,0.6600000000000108,"#14, ","90.74, ","91.4, ",89.92,92.68
25,"00:01:32,760","00:01:33,800","<i>'How's Simon?'""</i>",1,5.980000000000004,"#15, ","93.74, ","99.72, ",92.76,93.8
26,"00:01:33,880","00:01:35,400",<i>[laughter]</i>,0,0.0,,,,93.88,95.4
27,"00:01:36,880","00:01:40,560",<i>The therapist I saw for two years</i> <i>thought I needed to be so special</i>,1,0.8000000000000114,"#16, ","100.49, ","101.29, ",96.88,100.56
28,"00:01:40,640","00:01:43,400",<i>because I was terrified of intimacy.</i>,1,1.2900000000000063,"#17, ","103.27, ","104.56, ",100.64,103.4
29,"00:01:43,480","00:01:45,800","<i>In our first session,</i> <i>I was being quite funny,</i>",0,0.0,,,,103.48,105.8
30,"00:01:45,880","00:01:49,680","<i>and she said so wisely,</i> <i>""It's really good that you can be funny,</i>",1,2.8200000000000074,"#18, ","107.55, ","110.37, ",105.88,109.68
31,"00:01:49,760","00:01:51,920","<i>but, you know,</i> <i>you don't have to be funny here.""</i>",0,0.0,,,,109.76,111.92
32,"00:01:52,000","00:01:54,440",<i>And I got what she was saying.</i> <i>I carried on talking.</i>,1,0.6700000000000017,"#19, ","112.82, ","113.49, ",112.0,114.44
33,"00:01:54,520","00:01:55,880","<i>And then she said,</i>",0,0.0,,,,114.52,115.88
34,"00:01:55,960","00:01:58,000","<i>""You know,</i> <i>you don't have to be interesting.""</i>",1,6.670000000000002,"#20, ","115.98, ","122.65, ",115.96,118.0
35,"00:01:58,560","00:02:01,360","<i>And then I was really confused and said,</i>",0,0.0,,,,118.56,121.36
36,"00:02:01,440","00:02:04,480","<i>""Do you want me to tell these stories</i> <i>but not as well?""</i>",1,4.72999999999999,"#21, ","124.16, ","128.89, ",121.44,124.48
37,"00:02:04,560","00:02:06,200",<i>[laughter]</i>,0,0.0,,,,124.56,126.2
38,"00:02:07,480","00:02:10,680","<i>And what she wanted was</i> <i>for me to be authentic and grounded,</i>",1,1.2099999999999795,"#22, ","130.74, ","131.95, ",127.48,130.68
39,"00:02:10,760","00:02:13,520","<i>but I found that very difficult,</i> <i>because I'm so funny and interesting.</i>",2,4.220000000000027,"#23, #24, ","133.34, 137.89, ","136.49, 138.96, ",130.76,133.52
40,"00:02:13,600","00:02:15,240",<i>[laughter]</i>,0,0.0,,,,133.6,135.24
41,"00:02:18,160","00:02:20,160",<i>What I had to learn eventually was</i>,0,0.0,,,,138.16,140.16
42,"00:02:20,240","00:02:23,760",<i>it doesn't really matter how funny</i> <i>or interesting you think you can be.</i>,1,1.039999999999992,"#25, ","140.59, ","141.63, ",140.24,143.76
43,"00:02:24,000","00:02:26,120",<i>You still can't get everyone to love you.</i>,1,0.6599999999999966,"#26, ","144.05, ","144.71, ",144.0,146.12
44,"00:02:26,440","00:02:27,880","<i>My dad, for example...</i>",1,2.299999999999983,"#27, ","147.18, ","149.48, ",146.44,147.88
45,"00:02:29,800","00:02:32,600","<i>didn't come to the last couple</i> <i>of stand-up tours that I did,</i>",0,0.0,,,,149.8,152.6
46,"00:02:32,680","00:02:34,280","<i>and when I asked him why, </i>",0,0.0,,,,152.68,154.28
47,"00:02:34,520","00:02:38,160","<i>he said, ""Well, I don't think you need</i> <i>my validation anymore, do you?""</i>",1,1.420000000000016,"#28, ","155.54, ","156.96, ",154.52,158.16
48,"00:02:38,240","00:02:40,160",<i>And then he said</i> <i>that it wasn't his sort of thing.</i>,1,4.3700000000000045,"#29, ","159.04, ","163.41, ",158.24,160.16
49,"00:02:40,680","00:02:43,040",<i>[laughter]</i>,0,0.0,,,,160.68,163.04
50,"00:02:43,120","00:02:46,920","<i>And I wasn't brave enough to ask,</i> <i>""What? Comedy or me?""</i>",1,9.25,"#30, ","165.41, ","174.66, ",163.12,166.92
51,"00:02:47,000","00:02:49,080",<i>[laughter]</i>,0,0.0,,,,167.0,169.08
52,"00:02:49,160","00:02:50,400","<i>For fear that he would say,</i>",0,0.0,,,,169.16,170.4
53,"00:02:50,480","00:02:51,720","<i>""Oh, no, I love comedy.""</i>",0,0.0,,,,170.48,171.72
54,"00:02:51,800","00:02:53,280",<i>[laughter]</i>,0,0.0,,,,171.8,173.28
55,"00:02:55,200","00:02:59,680",<i>I realized in the end that my problem </i> <i>with my father is not my father.</i>,1,2.049999999999983,"#31, ","175.33, ","177.38, ",175.2,179.68
56,"00:02:59,760","00:03:02,240",<i>It's my expectation of him as a father.</i>,1,1.200000000000017,"#32, ","180.2, ","181.4, ",179.76,182.24
57,"00:03:02,320","00:03:04,680","<i>I thought,</i> <i>""Let's stop thinking of him as that</i>",1,1.3599999999999852,"#33, ","184.37, ","185.73, ",182.32,184.68
58,"00:03:04,760","00:03:07,960","<i>and just start thinking of him</i> <i>as a man who ejaculated.""</i>",1,6.75,"#34, ","186.86, ","193.61, ",184.76,187.96
59,"00:03:08,080","00:03:09,760",<i>[laughter]</i>,0,0.0,,,,188.08,189.76
60,"00:03:09,840","00:03:12,200","<i>Because often when men have ejaculated,</i> <i>they're tired.</i>",0,0.0,,,,189.84,192.2
61,"00:03:12,280","00:03:14,480",<i>You can't expect them to go on</i> <i>and love you.</i>,1,4.310000000000002,"#35, ","194.27, ","198.58, ",192.28,194.48
62,"00:03:14,560","00:03:16,400",<i>[laughter]</i>,0,0.0,,,,194.56,196.4
63,"00:03:16,480","00:03:18,920","<i>I can't just keep screaming in my head</i> <i>for the rest of my life,</i>",0,0.0,,,,196.48,198.92
64,"00:03:19,000","00:03:21,480","<i>""If you can't love a child,</i> <i>don't ejaculate in a person.</i>",1,1.0200000000000102,"#36, ","200.51, ","201.53, ",199.0,201.48
65,"00:03:21,560","00:03:22,880","<i>Do it out of the window.""</i>",1,2.289999999999992,"#37, ","202.81, ","205.1, ",201.56,202.88
66,"00:03:22,960","00:03:24,600",<i>[laughter]</i>,0,0.0,,,,202.96,204.6
67,"00:03:25,160","00:03:26,480","<i>If I'm to focus on anything,</i>",0,0.0,,,,205.16,206.48
68,"00:03:26,560","00:03:28,800",<i>it should be</i> <i>on how grateful I am to my mom</i>,0,0.0,,,,206.56,208.8
69,"00:03:28,880","00:03:30,920",<i>for birthing me out of her body.</i>,0,0.0,,,,208.88,210.92
70,"00:03:31,000","00:03:32,560",<i>How can I ever thank her for that?</i>,1,1.549999999999983,"#38, ","211.33, ","212.88, ",211.0,212.56
71,"00:03:32,640","00:03:36,280","<i>The best I can do is</i> <i>occasionally introduce her to a celebrity,</i>",2,5.730000000000018,"#39, #40, ","213.78, 215.91, ","215.3, 220.12, ",212.64,216.28
72,"00:03:36,360","00:03:37,400",<i>but is that enough?</i>,0,0.0,,,,216.36,217.4
73,"00:03:37,480","00:03:39,040",<i>[laughter]</i>,0,0.0,,,,217.48,219.04
74,"00:03:39,640","00:03:42,400","<i>""Thank you for your womb.</i> <i>Here's James Corden.""</i>",2,6.049999999999983,"#41, #42, ","221.05, 226.88, ","226.28, 227.7, ",219.64,222.4
