,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:26,735","00:00:30,947","<font color=""#ffff00"">[announcer]  Ladies and gentlemen, please welcome   Steve Martin!</font>",0,0.0,,,,26.73,30.95
1,"00:00:35,410","00:00:36,244","<font color=""#ffff00"">Thank you!</font>",0,0.0,,,,35.41,36.24
2,"00:00:37,203","00:00:38,246","<font color=""#ffff00"">Thank you very much.</font>",0,0.0,,,,37.2,38.25
3,"00:00:38,788","00:00:41,374","<font color=""#ffff00"">Thank you.</font>",0,0.0,,,,38.79,41.37
4,"00:00:41,750","00:00:43,168","<font color=""#ffff00"">Wow!</font>",0,0.0,,,,41.75,43.17
5,"00:00:46,838","00:00:49,299","<font color=""#ffff00"">Thank you so much! It's not necessary.</font>",0,0.0,,,,46.84,49.3
6,"00:00:50,759","00:00:51,843","<font color=""#ffff00"">Thank you.</font>",0,0.0,,,,50.76,51.84
7,"00:00:55,555","00:00:57,307","<font color=""#ffff00"">Thank you. Please be seated.</font>",0,0.0,,,,55.55,57.31
8,"00:01:00,435","00:01:02,854","<font color=""#ffff00"">Marty couldn't make it. Have a safe ride home.</font>",1,1.8100000000000023,"#1, ","62.67, ","64.48, ",60.44,62.85
9,"00:01:02,937","00:01:03,938","<font color=""#ffff00"">[jaunty piano riff]</font>",0,0.0,,,,62.94,63.94
10,"00:01:05,065","00:01:07,609","<font color=""#ffff00"">Right off the top, I want to apologize for ticket prices.</font>",0,0.0,,,,65.06,67.61
11,"00:01:07,692","00:01:11,112","<font color=""#ffff00"">I know from your point of view, you're thinking, ""It's only two guys.</font>",0,0.0,,,,67.69,71.11
12,"00:01:11,196","00:01:12,238","<font color=""#ffff00"">Why is it so expensive?""</font>",0,0.0,,,,71.2,72.24
13,"00:01:12,322","00:01:15,033","<font color=""#ffff00"">But you know, it takes 18 people to put this show on.</font>",0,0.0,,,,72.32,75.03
14,"00:01:15,533","00:01:17,994","<font color=""#ffff00"">We have two sound engineers.</font>",0,0.0,,,,75.53,77.99
15,"00:01:18,078","00:01:21,289","<font color=""#ffff00"">We have a lighting director. We have seven musicians on stage.</font>",0,0.0,,,,78.08,81.29
16,"00:01:21,581","00:01:24,292","<font color=""#ffff00"">We have someone to walk my Fitbit around.</font>",0,0.0,,,,81.58,84.29
17,"00:01:24,375","00:01:26,377","<font color=""#ffff00"">[audience laughs]</font>",1,1.6099999999999994,"#2, ","85.14, ","86.75, ",84.38,86.38
18,"00:01:28,838","00:01:30,298","<font color=""#ffff00"">We have an intermediary,</font>",0,0.0,,,,88.84,90.3
19,"00:01:30,381","00:01:32,675","<font color=""#ffff00"">because Marty and I no longer speak to each other.</font>",0,0.0,,,,90.38,92.67
20,"00:01:34,928","00:01:38,223","<font color=""#ffff00"">We have a celebrity lookalike in case I don't feel like going on.</font>",0,0.0,,,,94.93,98.22
21,"00:01:39,516","00:01:40,975","<font color=""#ffff00"">Steve says hi, by the way.</font>",1,0.9099999999999966,"#3, ","102.45, ","103.36, ",99.52,100.97
22,"00:01:43,978","00:01:45,522","<font color=""#ffff00"">But ladies and gentlemen,</font>",0,0.0,,,,103.98,105.52
23,"00:01:45,730","00:01:50,151","<font color=""#ffff00"">right now I am so excited to introduce a man I love to work with.</font>",0,0.0,,,,105.73,110.15
24,"00:01:50,276","00:01:53,571","<font color=""#ffff00"">A man I met over 30 years ago.</font>",1,0.9200000000000017,"#4, ","112.2, ","113.12, ",110.28,113.57
25,"00:01:53,655","00:01:54,781","<font color=""#ffff00"">[audience cheers]</font>",1,9.099999999999994,"#5, ","114.39, ","123.49, ",113.66,114.78
26,"00:01:54,864","00:01:56,074","<font color=""#ffff00"">A man...</font>",0,0.0,,,,114.86,116.07
27,"00:01:56,449","00:01:57,534","<font color=""#ffff00"">a man...</font>",0,0.0,,,,116.45,117.53
28,"00:01:58,910","00:01:59,994","<font color=""#ffff00"">a man who is...</font>",0,0.0,,,,118.91,119.99
29,"00:02:01,663","00:02:04,791","<font color=""#ffff00"">a man who is so, so talented in so many different ways.</font>",0,0.0,,,,121.66,124.79
30,"00:02:04,874","00:02:06,668","<font color=""#ffff00"">He sings. He dances.</font>",0,0.0,,,,124.87,126.67
31,"00:02:06,751","00:02:08,169","<font color=""#ffff00"">He's an incredible musician</font>",0,0.0,,,,126.75,128.17
