,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,178","00:00:12,680","Yo, Theo, they all ready for you, bro.",0,0.0,,,,11.18,12.68
1,"00:00:12,763","00:00:15,683","Awesome, how do I look? Smart?",0,0.0,,,,12.76,15.68
2,"00:00:16,016","00:00:17,768",Appreciate the honesty.,0,0.0,,,,16.02,17.77
3,"00:00:18,435","00:00:20,479","-Do it, huh? -Go get 'em.",1,2.16,"#2, ","19.63, ","21.79, ",18.43,20.48
4,"00:00:20,562","00:00:27,569","[announcer] <i>With no further ado,</i> <i>ladies and gentlemen, Theo Von!</i>",1,23.25,"#3, ","25.78, ","49.03, ",20.56,27.57
5,"00:00:41,750","00:00:44,545",New Orleans!,0,0.0,,,,41.75,44.55
6,"00:00:48,382","00:00:51,510","Yes, indeed.",1,6.190000000000005,"#4, ","50.01, ","56.2, ",48.38,51.51
7,"00:00:51,593","00:00:54,388","How we doin', Crescent City?",0,0.0,,,,51.59,54.39
8,"00:00:54,471","00:00:55,973",[applause],0,0.0,,,,54.47,55.97
9,"00:00:58,934","00:01:02,021","Good to be home, baby. Good to be home!",1,2.730000000000004,"#5, ","59.19, ","61.92, ",58.93,62.02
10,"00:01:02,103","00:01:06,608","My buddy said, ""Dang, you going down to New Orleans to shoot your special?""",2,4.060000000000002,"#6, #7, ","64.36, 66.63, ","65.19, 69.86, ",62.1,66.61
11,"00:01:06,692","00:01:08,402","I said, ""Yeah!""",0,0.0,,,,66.69,68.4
12,"00:01:08,485","00:01:12,072","He said, ""What about that crime?"" I said, ""Yeah.""",1,1.75,"#8, ","70.62, ","72.37, ",68.48,72.07
13,"00:01:12,155","00:01:14,825","He said, ""You might get murdered."" I said, ""Yeah.""",2,5.480000000000018,"#9, #10, ","72.85, 75.77, ","73.62, 80.48, ",72.16,74.83
14,"00:01:16,076","00:01:18,746","""But where else you want to get murdered, baby?""",0,0.0,,,,76.08,78.75
15,"00:01:19,830","00:01:22,123",I don't wanna get gunned down in Cleveland.,0,0.0,,,,79.83,82.12
16,"00:01:22,207","00:01:26,837","I don't wanna get gunned down in Seattle. Murder me in New Orleans, baby!",1,3.6000000000000085,"#11, ","82.83, ","86.43, ",82.21,86.84
17,"00:01:26,921","00:01:28,923","Right off the French Quarter,",1,6.950000000000003,"#12, ","88.66, ","95.61, ",86.92,88.92
18,"00:01:29,048","00:01:33,552",with a stripper on my arm and a fried shrimp in my mouth!,0,0.0,,,,89.05,93.55
19,"00:01:36,304","00:01:37,723","Good to be here, man.",0,0.0,,,,96.3,97.72
20,"00:01:37,806","00:01:40,308","I love this city, and it is dangerous as hell.",0,0.0,,,,97.81,100.31
21,"00:01:41,393","00:01:45,439","Last time I was here, I got bit by a black widow in March.",1,4.310000000000002,"#13, ","104.3, ","108.61, ",101.39,105.44
22,"00:01:45,522","00:01:47,441",She was in her 40s.,0,0.0,,,,105.52,107.44
23,"00:01:48,483","00:01:51,152","At this bus stop, man. Right off Canal, bro.",1,3.6899999999999977,"#14, ","110.39, ","114.08, ",108.48,111.15
24,"00:01:51,236","00:01:53,363","Got me right in the neck, son.",0,0.0,,,,111.24,113.36
25,"00:01:53,447","00:01:55,365",These bitches is accurate.,1,2.200000000000003,"#15, ","116.97, ","119.17, ",113.45,115.36
26,"00:01:58,953","00:02:02,330","Been a tough time, man. Been a tough year... family stuff.",1,1.3799999999999955,"#16, ","121.48, ","122.86, ",118.95,122.33
27,"00:02:02,414","00:02:03,749","You know, always, man.",0,0.0,,,,122.41,123.75
28,"00:02:03,832","00:02:07,962","My uncle just got busted for, uh, uh...",1,2.1799999999999926,"#17, ","124.73, ","126.91, ",123.83,127.96
29,"00:02:08,045","00:02:09,838",[inhales],1,2.359999999999985,"#18, ","128.78, ","131.14, ",128.04,129.84
30,"00:02:10,171","00:02:12,382",sucking really small dicks.,2,13.610000000000014,"#19, #20, ","132.32, 134.2, ","133.44, 146.69, ",130.17,132.38
31,"00:02:18,931","00:02:20,348","Yeah, they got him.",0,0.0,,,,138.93,140.35
32,"00:02:21,934","00:02:27,272","He was my favorite uncle, man. He taught us how to masturbate, actually.",0,0.0,,,,141.93,147.27
33,"00:02:27,355","00:02:29,149",He didn't touch us or anything like that.,0,0.0,,,,147.35,149.15
34,"00:02:29,232","00:02:32,736",He just stood up and jerked off into the fire at this party.,1,9.73999999999998,"#21, ","149.52, ","159.26, ",149.23,152.74
35,"00:02:35,656","00:02:38,325",I wasn't gonna say anything. It was his party.,0,0.0,,,,155.66,158.32
36,"00:02:39,994","00:02:43,204",Sometimes you just got to sit there and be a Christian.,2,11.409999999999997,"#22, #23, ","160.0, 165.0, ","161.99, 174.42, ",159.99,163.2
37,"00:02:47,417","00:02:51,088","But in his defense, my uncle's had a lot of issues in his life.",0,0.0,,,,167.42,171.09
38,"00:02:51,170","00:02:53,841",He used to masturbate in his sleep.,0,0.0,,,,171.17,173.84
39,"00:02:53,924","00:02:56,802","So... I'm not joking, man.",1,4.52000000000001,"#24, ","176.7, ","181.22, ",173.92,176.8
40,"00:02:56,885","00:03:00,472",So they made him wear these jingle bells on his wrists.,0,0.0,,,,176.88,180.47
41,"00:03:03,767","00:03:07,896","But some nights you would hear him in the other room,",1,8.569999999999993,"#25, ","184.61, ","193.18, ",183.77,187.9
42,"00:03:07,980","00:03:09,940",dashing through the snow.,0,0.0,,,,187.98,189.94
43,"00:03:11,733","00:03:15,112","You know what I'm saying, jerking his own dick off.",1,5.570000000000022,"#26, ","195.45, ","201.02, ",191.73,195.11
44,"00:03:16,655","00:03:20,367","I'd make requests. ""Play 'Rudolph' Uncle Danny!""",0,0.0,,,,196.66,200.37
45,"00:03:20,450","00:03:23,286","""Y'all go to bed!""",1,1.6999999999999886,"#27, ","202.15, ","203.85, ",200.45,203.29
46,"00:03:23,370","00:03:27,041",You telling me this musical masturbator doesn't take requests?,1,2.950000000000017,"#28, ","204.17, ","207.12, ",203.37,207.04
47,"00:03:28,083","00:03:30,544","What kinda family is this, bro?",1,0.7700000000000102,"#29, ","210.42, ","211.19, ",208.08,210.54
48,"00:03:30,627","00:03:33,547",This family tree got haters in the branches.,1,10.169999999999987,"#30, ","216.77, ","226.94, ",210.63,213.55
49,"00:03:38,886","00:03:41,596",Lot of child molesters out there?,0,0.0,,,,218.89,221.6
50,"00:03:41,680","00:03:43,515",No offense if you're in the game.,0,0.0,,,,221.68,223.51
51,"00:03:45,433","00:03:49,521","And now, it's like a big deal, I feel like, if you get molested, you know.",0,0.0,,,,225.43,229.52
52,"00:03:49,604","00:03:53,650","There's Child Services, it gets on the news, it gets on the Internet.",2,3.789999999999992,"#31, #32, ","229.64, 233.65, ","232.1, 234.98, ",229.6,233.65
53,"00:03:53,734","00:03:56,486","Like, when I was young, you just got molested.",1,6.199999999999989,"#33, ","236.22, ","242.42, ",233.73,236.49
54,"00:03:57,654","00:04:00,657","Remember that, bro? Remember the '80s, dude?",0,0.0,,,,237.65,240.66
55,"00:04:00,741","00:04:03,744",You just got molested!,1,5.610000000000014,"#34, ","244.29, ","249.9, ",240.74,243.74
56,"00:04:04,745","00:04:07,581",You got a milkshake and a ride somewhere.,0,0.0,,,,244.75,247.58
57,"00:04:07,664","00:04:10,500",That was your end of the deal.,0,0.0,,,,247.66,250.5
58,"00:04:12,377","00:04:16,215","When I was young, if you got molested, you just got back on your bike",0,0.0,,,,252.38,256.21
59,"00:04:16,297","00:04:20,177","and said, ""Well, we ain't coming around here anymore.",2,2.1100000000000136,"#35, #36, ","256.55, 258.4, ","257.86, 259.2, ",256.3,260.18
60,"00:04:20,260","00:04:23,097","Nothing but dick around here.""",3,3.2900000000000773,"#37, #38, #39, ","260.28, 262.96, 264.62, ","261.67, 263.76, 265.72, ",260.26,263.1
61,"00:04:25,724","00:04:30,812","Look, if I got a dollar for every time I got molested...",2,6.7000000000000455,"#40, #41, ","266.99, 270.01, ","269.73, 273.97, ",265.72,270.81
62,"00:04:30,896","00:04:35,483","I'd have like, four dollars and 50 cents.",1,1.4800000000000182,"#42, ","275.45, ","276.93, ",270.9,275.48
63,"00:04:35,567","00:04:39,113",'Cause I got in this oral pyramid scheme by the Denny's.,1,1.420000000000016,"#43, ","284.53, ","285.95, ",275.57,279.11
64,"00:04:44,952","00:04:48,663","Parents, you gotta be careful when it comes to these kiddy-touchers.",0,0.0,,,,284.95,288.66
65,"00:04:48,747","00:04:52,375",You gotta be careful when it comes to these kiddy-touchers.,1,1.089999999999975,"#44, ","290.22, ","291.31, ",288.75,292.38
66,"00:04:53,293","00:04:56,421",You can't be getting your son all fixed up.,2,3.2299999999999613,"#45, #46, ","293.36, 295.52, ","294.21, 297.9, ",293.29,296.42
67,"00:04:56,504","00:04:58,757",You can't be getting your boys lisp fixed.,1,2.650000000000034,"#47, ","298.27, ","300.92, ",296.5,298.76
68,"00:04:58,840","00:05:02,385",Get his acne tightened up. Get the pro-action on him.,0,0.0,,,,298.84,302.38
69,"00:05:02,469","00:05:04,304",Get his limp fixed.,1,1.170000000000016,"#48, ","302.71, ","303.88, ",302.47,304.3
70,"00:05:05,973","00:05:10,144",And then be shocked when he gets picked by the kiddy-touchers!,2,6.639999999999986,"#49, #50, ","306.25, 308.85, ","307.81, 313.93, ",305.97,310.14
71,"00:05:10,227","00:05:12,854","Fuck, you got him all G'd out.",0,0.0,,,,310.23,312.85
