,filename,laughs,start,end,threshold,duration
2,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_2.wav,19.63,21.79,0.5,0.5
3,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_3.wav,25.78,49.03,0.5,0.5
4,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_4.wav,50.01,56.2,0.5,0.5
5,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_5.wav,59.19,61.92,0.5,0.5
6,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_6.wav,64.36,65.19,0.5,0.5
7,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_7.wav,66.63,69.86,0.5,0.5
8,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_8.wav,70.62,72.37,0.5,0.5
9,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_9.wav,72.85,73.62,0.5,0.5
10,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_10.wav,75.77,80.48,0.5,0.5
11,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_11.wav,82.83,86.43,0.5,0.5
12,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_12.wav,88.66,95.61,0.5,0.5
13,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_13.wav,104.3,108.61,0.5,0.5
14,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_14.wav,110.39,114.08,0.5,0.5
15,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_15.wav,116.97,119.17,0.5,0.5
16,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_16.wav,121.48,122.86,0.5,0.5
17,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_17.wav,124.73,126.91,0.5,0.5
18,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_18.wav,128.78,131.14,0.5,0.5
19,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_19.wav,132.32,133.44,0.5,0.5
20,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_20.wav,134.2,146.69,0.5,0.5
21,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_21.wav,149.52,159.26,0.5,0.5
22,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_22.wav,160.0,161.99,0.5,0.5
23,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_23.wav,165.0,174.42,0.5,0.5
24,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_24.wav,176.7,181.22,0.5,0.5
25,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_25.wav,184.61,193.18,0.5,0.5
26,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_26.wav,195.45,201.02,0.5,0.5
27,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_27.wav,202.15,203.85,0.5,0.5
28,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_28.wav,204.17,207.12,0.5,0.5
29,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_29.wav,210.42,211.19,0.5,0.5
30,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_30.wav,216.77,226.94,0.5,0.5
31,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_31.wav,229.64,232.1,0.5,0.5
32,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_32.wav,233.65,234.98,0.5,0.5
33,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_33.wav,236.22,242.42,0.5,0.5
34,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_34.wav,244.29,249.9,0.5,0.5
35,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_35.wav,256.55,257.86,0.5,0.5
36,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_36.wav,258.4,259.2,0.5,0.5
37,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_37.wav,260.28,261.67,0.5,0.5
38,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_38.wav,262.96,263.76,0.5,0.5
39,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_39.wav,264.62,265.72,0.5,0.5
40,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_40.wav,266.99,269.73,0.5,0.5
41,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_41.wav,270.01,273.97,0.5,0.5
42,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_42.wav,275.45,276.93,0.5,0.5
43,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_43.wav,284.53,285.95,0.5,0.5
44,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_44.wav,290.22,291.31,0.5,0.5
45,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_45.wav,293.36,294.21,0.5,0.5
46,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_46.wav,295.52,297.9,0.5,0.5
47,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_47.wav,298.27,300.92,0.5,0.5
48,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_48.wav,302.71,303.88,0.5,0.5
49,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_49.wav,306.25,307.81,0.5,0.5
50,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_50.wav,308.85,313.93,0.5,0.5
51,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_51.wav,314.93,318.19,0.5,0.5
52,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_52.wav,319.1,320.86,0.5,0.5
53,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_53.wav,321.93,325.24,0.5,0.5
54,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_54.wav,326.06,327.43,0.5,0.5
55,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_55.wav,328.45,332.13,0.5,0.5
56,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_56.wav,332.72,334.99,0.5,0.5
57,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_57.wav,335.79,344.26,0.5,0.5
58,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_58.wav,345.96,347.23,0.5,0.5
59,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_59.wav,353.4,358.61,0.5,0.5
60,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_60.wav,358.92,363.53,0.5,0.5
61,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_61.wav,365.25,365.93,0.5,0.5
62,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_62.wav,368.4,371.04,0.5,0.5
63,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_63.wav,371.53,373.19,0.5,0.5
64,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_64.wav,374.0,376.3,0.5,0.5
65,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_65.wav,376.67,383.83,0.5,0.5
66,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_66.wav,384.55,389.33,0.5,0.5
67,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_67.wav,390.8,393.04,0.5,0.5
68,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_68.wav,394.66,399.09,0.5,0.5
69,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_69.wav,400.73,401.29,0.5,0.5
70,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_70.wav,402.46,406.16,0.5,0.5
71,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_71.wav,407.05,409.52,0.5,0.5
72,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_72.wav,411.09,423.74,0.5,0.5
73,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_73.wav,425.17,428.64,0.5,0.5
74,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_74.wav,431.66,432.31,0.5,0.5
75,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_75.wav,433.84,439.22,0.5,0.5
76,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_76.wav,443.98,447.92,0.5,0.5
77,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_77.wav,449.39,452.81,0.5,0.5
78,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_78.wav,454.49,456.03,0.5,0.5
79,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_79.wav,456.4,457.77,0.5,0.5
80,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_80.wav,458.85,460.52,0.5,0.5
81,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_81.wav,461.3,462.09,0.5,0.5
82,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_82.wav,464.24,470.02,0.5,0.5
83,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_83.wav,471.42,478.21,0.5,0.5
84,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_84.wav,479.51,480.69,0.5,0.5
85,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_85.wav,481.84,483.4,0.5,0.5
86,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_86.wav,485.02,486.13,0.5,0.5
87,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_87.wav,489.69,492.09,0.5,0.5
88,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_88.wav,495.27,497.06,0.5,0.5
89,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_89.wav,499.94,503.21,0.5,0.5
90,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_90.wav,505.1,510.63,0.5,0.5
91,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_91.wav,511.47,513.81,0.5,0.5
92,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_92.wav,516.73,521.4,0.5,0.5
93,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_93.wav,522.41,525.96,0.5,0.5
94,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_94.wav,526.29,530.16,0.5,0.5
95,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_95.wav,532.4,534.99,0.5,0.5
96,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_96.wav,535.19,538.29,0.5,0.5
97,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_97.wav,538.82,543.22,0.5,0.5
98,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_98.wav,543.39,546.71,0.5,0.5
99,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_99.wav,547.21,547.88,0.5,0.5
100,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_100.wav,548.69,549.87,0.5,0.5
101,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_101.wav,552.03,556.39,0.5,0.5
102,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_102.wav,557.69,559.76,0.5,0.5
103,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_103.wav,561.69,562.97,0.5,0.5
104,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_104.wav,563.82,569.6,0.5,0.5
105,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_105.wav,570.36,573.84,0.5,0.5
106,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_106.wav,574.31,576.95,0.5,0.5
107,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_107.wav,577.36,583.16,0.5,0.5
108,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_108.wav,583.53,586.93,0.5,0.5
109,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_109.wav,587.66,589.01,0.5,0.5
110,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_110.wav,591.14,596.81,0.5,0.5
111,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_111.wav,597.63,599.74,0.5,0.5
112,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_112.wav,600.52,601.99,0.5,0.5
113,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_113.wav,603.17,604.7,0.5,0.5
114,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_114.wav,605.31,609.7,0.5,0.5
115,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_115.wav,610.26,612.95,0.5,0.5
116,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_116.wav,613.81,618.38,0.5,0.5
117,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_117.wav,619.66,621.17,0.5,0.5
118,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_118.wav,622.96,627.35,0.5,0.5
119,Theo.Von.No.Offense..2016.-music.wav,/laughs/laugh_119.wav,628.88,629.95,0.5,0.5
