,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,383","00:00:10,344",[soft piano music plays],0,0.0,,,,8.38,10.34
1,"00:00:12,847","00:00:15,182",[Tom] <i>I love being a stand-up comedian.</i>,0,0.0,,,,12.85,15.18
2,"00:00:17,058","00:00:18,978",<i>It's the best job in the world.</i>,0,0.0,,,,17.06,18.98
3,"00:00:20,688","00:00:22,523",<i>And I love being an L.A. comic.</i>,1,1.2699999999999996,"#0, ","21.6, ","22.87, ",20.69,22.52
4,"00:00:22,606","00:00:23,524",Bam!,0,0.0,,,,22.61,23.52
5,"00:00:23,607","00:00:24,942",Alfred the assassin.,0,0.0,,,,23.61,24.94
6,"00:00:25,024","00:00:29,488","<i>As a comic, what you're supposed to do</i> <i>is live your life and report it.</i>",0,0.0,,,,25.02,29.49
7,"00:00:29,571","00:00:31,323","[woman] Anytime I do something nice for you,",1,1.120000000000001,"#1, ","30.94, ","32.06, ",29.57,31.32
8,"00:00:31,406","00:00:33,617",-you shit on me! -When is that?!,0,0.0,,,,31.41,33.62
9,"00:00:33,701","00:00:34,994",<i>I love the whole process.</i>,1,1.25,"#2, ","34.09, ","35.34, ",33.7,34.99
10,"00:00:35,076","00:00:36,453",[woman] You have a little dick.,1,1.6799999999999997,"#3, ","36.63, ","38.31, ",35.08,36.45
11,"00:00:36,662","00:00:38,372",<i>Writing. Performing.</i>,0,0.0,,,,36.66,38.37
12,"00:00:39,080","00:00:41,876",<i>Figuring out how to make a joke work.</i>,1,5.380000000000003,"#4, ","40.46, ","45.84, ",39.08,41.88
13,"00:00:42,877","00:00:44,169",<i>It's the best.</i>,0,0.0,,,,42.88,44.17
14,"00:00:45,212","00:00:48,757","<i>But most of all,</i> <i>I love meeting the people of this city.</i>",1,14.030000000000001,"#5, ","46.92, ","60.95, ",45.21,48.76
15,"00:00:49,842","00:00:53,052",<i>-They always inspire me.</i> -[shouting] Hey!,0,0.0,,,,49.84,53.05
16,"00:00:53,136","00:00:54,763",Tom Segura!,0,0.0,,,,53.14,54.76
17,"00:00:54,847","00:00:58,183","Bite me in my ass, man! Aah!",0,0.0,,,,54.85,58.18
18,"00:00:58,266","00:00:59,685",You have to do it!,0,0.0,,,,58.27,59.69
19,"00:00:59,768","00:01:04,189",<i>I love them.</i> <i>They have nothing but admiration for me.</i>,1,0.9100000000000037,"#6, ","62.58, ","63.49, ",59.77,64.19
20,"00:01:04,272","00:01:05,774",[speaks foreign language],1,6.519999999999996,"#7, ","64.36, ","70.88, ",64.27,65.77
21,"00:01:05,858","00:01:08,276","Yeah, after work we can do whatever, man.",0,0.0,,,,65.86,68.28
22,"00:01:08,360","00:01:09,611",[speaks foreign language],0,0.0,,,,68.36,69.61
23,"00:01:09,695","00:01:12,907",<i>I just know there's no stopping us.</i>,1,1.25,"#8, ","72.07, ","73.32, ",69.69,72.91
24,"00:01:12,990","00:01:15,617",Hey! Who this fat-ass nigger right here?,0,0.0,,,,72.99,75.62
25,"00:01:15,701","00:01:16,911","What's up, fat boy?",0,0.0,,,,75.7,76.91
26,"00:01:17,786","00:01:20,915","-'Sup? -Making a food show, bitch?",0,0.0,,,,77.79,80.92
27,"00:01:20,998","00:01:22,416",-No. -You should.,1,0.7000000000000028,"#9, ","82.17, ","82.87, ",81.0,82.42
28,"00:01:23,124","00:01:25,377",Bam! 'Cause you fat as fuck!,1,1.1400000000000006,"#10, ","84.07, ","85.21, ",83.12,85.38
29,"00:01:25,460","00:01:27,629","This fat motherfucker right here, man.",0,0.0,,,,85.46,87.63
30,"00:01:27,713","00:01:29,715",-You got pancake titties. -You do!,0,0.0,,,,87.71,89.72
31,"00:01:29,798","00:01:31,550",Fuck this city. I'm re-shooting this thing.,0,0.0,,,,89.8,91.55
32,"00:01:31,633","00:01:32,843","Eat a dick, Paul Blart.",0,0.0,,,,91.63,92.84
33,"00:01:32,927","00:01:34,595","This fat motherfucker, man.",0,0.0,,,,92.93,94.59
34,"00:01:39,182","00:01:42,811","[man] <i>Ladies and Gentlemen, Tom Segura!</i>",4,36.30000000000001,"#11, #12, #13, #14, ","101.74, 103.67, 106.8, 126.85, ","103.39, 105.62, 125.81, 140.54, ",99.18,102.81
35,"00:01:42,895","00:01:46,356",-[cheers and applause] -[up-tempo music playing],0,0.0,,,,102.89,106.36
36,"00:02:07,962","00:02:10,464",[music continues],0,0.0,,,,127.96,130.46
37,"00:02:14,051","00:02:15,176",[Tom] What up?,0,0.0,,,,134.05,135.18
38,"00:02:16,177","00:02:18,806","Thank you! Thank you, guys.",0,0.0,,,,136.18,138.81
39,"00:02:19,681","00:02:20,891",Thank you very much.,0,0.0,,,,139.68,140.89
40,"00:02:21,767","00:02:24,979",It's great to be in Seattle.,2,8.670000000000016,"#15, #16, ","142.2, 143.67, ","142.9, 151.64, ",141.77,144.98
41,"00:02:25,062","00:02:26,897",-[crowd roars] -Yes.,0,0.0,,,,145.06,146.9
42,"00:02:29,775","00:02:33,654","One of my favorite places, and I am fucking falling apart.",1,2.6299999999999955,"#17, ","153.07, ","155.7, ",149.78,153.65
43,"00:02:33,737","00:02:35,530","All right, um...",0,0.0,,,,153.74,155.53
44,"00:02:35,656","00:02:38,784","I hate who I'm becoming, socially.",1,3.030000000000001,"#18, ","157.71, ","160.74, ",155.66,158.78
45,"00:02:38,867","00:02:40,995","Like, all my social interactions,",0,0.0,,,,158.87,161.0
46,"00:02:41,078","00:02:44,081",I'm disintegrating into somebody I want to punch in the mouth.,1,2.75,"#19, ","163.72, ","166.47, ",161.08,164.08
47,"00:02:44,164","00:02:48,877","Like, I start weather chats with people all the time now,",0,0.0,,,,164.16,168.88
48,"00:02:48,961","00:02:50,504","like, ugh.",1,13.70999999999998,"#20, ","169.21, ","182.92, ",168.96,170.5
49,"00:02:50,587","00:02:54,508","I got off the plane here, and the guy that picks me up at the airport,",0,0.0,,,,170.59,174.51
50,"00:02:54,591","00:02:57,845","I was like, ""It rains a lot here, huh?""",0,0.0,,,,174.59,177.84
51,"00:02:57,928","00:02:59,262",[laughter],0,0.0,,,,177.93,179.26
52,"00:03:00,597","00:03:03,558","And I swear, there's another voice in my head going,",0,0.0,,,,180.6,183.56
53,"00:03:03,642","00:03:05,727","""You're a piece of shit for this conversation.""",1,6.059999999999974,"#21, ","183.86, ","189.92, ",183.64,185.73
54,"00:03:05,811","00:03:07,104",[laughter],0,0.0,,,,185.81,187.1
55,"00:03:08,438","00:03:12,026","What's the guy supposed to say? He's in the car and he's like, ""Yeah...""",1,3.549999999999983,"#22, ","191.02, ","194.57, ",188.44,192.03
56,"00:03:12,109","00:03:13,694",[laughter],0,0.0,,,,192.11,193.69
57,"00:03:14,569","00:03:15,612","""...it does.",1,24.960000000000008,"#23, ","195.45, ","220.41, ",194.57,195.61
58,"00:03:16,321","00:03:19,198","And you're a real piece of shit for this, just so you know.""",0,0.0,,,,196.32,199.2
59,"00:03:21,200","00:03:24,245","I wanted to abort, I wanted to get out of it, but I couldn't.",0,0.0,,,,201.2,204.25
60,"00:03:24,371","00:03:27,248","Like, ""I'm from Southern California, we sure could use it.""",0,0.0,,,,204.37,207.25
61,"00:03:27,332","00:03:29,376",-[chuckles] -[laughter],0,0.0,,,,207.33,209.38
62,"00:03:31,879","00:03:35,174","And he was like, ""I'll run us off the fucking road.",0,0.0,,,,211.88,215.17
63,"00:03:35,256","00:03:38,093","I'll kill us both, I swear to God I will.""",0,0.0,,,,215.26,218.09
64,"00:03:38,177","00:03:40,554","God forbid I meet a tall person now, like--",0,0.0,,,,218.18,220.55
65,"00:03:40,637","00:03:42,305","If you're over six-four,",1,24.330000000000013,"#24, ","222.13, ","246.46, ",220.64,222.31
66,"00:03:42,389","00:03:46,018","there's no way I'm not addressing it. I'm gonna be like,",0,0.0,,,,222.39,226.02
67,"00:03:46,101","00:03:48,854","-""Wow, you're tall."" -[laughter]",0,0.0,,,,226.1,228.85
68,"00:03:48,937","00:03:52,024","""Do you like basketball? Yeah? Is that your thing?",0,0.0,,,,228.94,232.02
