,filename,laughs,start,end,threshold,duration
0,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_0.wav,21.6,22.87,0.5,0.5
1,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_1.wav,30.94,32.06,0.5,0.5
2,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_2.wav,34.09,35.34,0.5,0.5
3,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_3.wav,36.63,38.31,0.5,0.5
4,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_4.wav,40.46,45.84,0.5,0.5
5,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_5.wav,46.92,60.95,0.5,0.5
6,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_6.wav,62.58,63.49,0.5,0.5
7,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_7.wav,64.36,70.88,0.5,0.5
8,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_8.wav,72.07,73.32,0.5,0.5
9,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_9.wav,82.17,82.87,0.5,0.5
10,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_10.wav,84.07,85.21,0.5,0.5
11,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_11.wav,101.74,103.39,0.5,0.5
12,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_12.wav,103.67,105.62,0.5,0.5
13,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_13.wav,106.8,125.81,0.5,0.5
14,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_14.wav,126.85,140.54,0.5,0.5
15,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_15.wav,142.2,142.9,0.5,0.5
16,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_16.wav,143.67,151.64,0.5,0.5
17,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_17.wav,153.07,155.7,0.5,0.5
18,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_18.wav,157.71,160.74,0.5,0.5
19,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_19.wav,163.72,166.47,0.5,0.5
20,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_20.wav,169.21,182.92,0.5,0.5
21,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_21.wav,183.86,189.92,0.5,0.5
22,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_22.wav,191.02,194.57,0.5,0.5
23,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_23.wav,195.45,220.41,0.5,0.5
24,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_24.wav,222.13,246.46,0.5,0.5
25,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_25.wav,248.11,249.53,0.5,0.5
26,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_26.wav,252.1,253.58,0.5,0.5
27,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_27.wav,254.26,259.19,0.5,0.5
28,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_28.wav,261.86,263.83,0.5,0.5
29,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_29.wav,264.46,267.69,0.5,0.5
30,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_30.wav,269.1,270.02,0.5,0.5
31,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_31.wav,271.07,277.13,0.5,0.5
32,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_32.wav,278.85,280.23,0.5,0.5
33,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_33.wav,281.55,294.47,0.5,0.5
34,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_34.wav,296.2,298.06,0.5,0.5
35,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_35.wav,300.61,302.77,0.5,0.5
36,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_36.wav,303.75,308.65,0.5,0.5
37,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_37.wav,309.5,313.26,0.5,0.5
38,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_38.wav,314.6,337.02,0.5,0.5
39,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_39.wav,338.9,339.72,0.5,0.5
40,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_40.wav,342.15,351.74,0.5,0.5
41,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_41.wav,352.47,362.92,0.5,0.5
42,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_42.wav,363.34,365.6,0.5,0.5
43,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_43.wav,365.82,370.93,0.5,0.5
44,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_44.wav,371.47,384.3,0.5,0.5
45,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_45.wav,384.93,387.71,0.5,0.5
46,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_46.wav,390.41,391.2,0.5,0.5
47,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_47.wav,392.21,394.2,0.5,0.5
48,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_48.wav,394.74,397.78,0.5,0.5
49,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_49.wav,398.53,399.24,0.5,0.5
50,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_50.wav,399.32,400.75,0.5,0.5
51,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_51.wav,401.78,405.9,0.5,0.5
52,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_52.wav,406.46,407.56,0.5,0.5
53,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_53.wav,410.16,420.18,0.5,0.5
54,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_54.wav,421.27,428.6,0.5,0.5
55,Tom.Segura...Mostly.Stories..2016.-music.wav,/laughs/laugh_55.wav,429.43,432.23,0.5,0.5
