,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:18,437","00:00:20,689",-[audience cheering] -[music playing],0,0.0,,,,18.44,20.69
1,"00:00:31,533","00:00:32,576",Wow.,0,0.0,,,,31.53,32.58
2,"00:00:33,744","00:00:35,078",Wow.,0,0.0,,,,33.74,35.08
3,"00:00:36,413","00:00:37,622","Oh, wow.",0,0.0,,,,36.41,37.62
4,"00:00:37,706","00:00:39,332","What's happening, New York?",0,0.0,,,,37.71,39.33
5,"00:00:41,168","00:00:42,294",Yeah!,0,0.0,,,,41.17,42.29
6,"00:00:43,462","00:00:46,047","Oh, this is amazing. Thank you for coming out.",0,0.0,,,,43.46,46.05
7,"00:00:47,716","00:00:49,092",We're gonna have fun tonight.,0,0.0,,,,47.72,49.09
8,"00:00:49,760","00:00:51,386","Welcome to it, people.",0,0.0,,,,49.76,51.39
9,"00:00:52,137","00:00:54,014",This is us. Can I tell you for a second?,0,0.0,,,,52.14,54.01
10,"00:00:54,097","00:00:56,892","This has been my dream since I started stand-up comedy,",0,0.0,,,,54.1,56.89
11,"00:00:56,975","00:00:59,269",doing a special in New York City.,1,16.64,"#3, ","57.36, ","74.0, ",56.98,59.27
12,"00:00:59,352","00:01:00,520",This is it!,0,0.0,,,,59.35,60.52
13,"00:01:02,773","00:01:05,275","This is it. New York, New York!",0,0.0,,,,62.77,65.28
14,"00:01:06,568","00:01:08,653",[New York accent] Yeah! New York!,0,0.0,,,,66.57,68.65
15,"00:01:09,654","00:01:11,740",I'm walking over here!,0,0.0,,,,69.65,71.74
16,"00:01:11,823","00:01:13,325",[audience laughing],0,0.0,,,,71.82,73.33
17,"00:01:13,408","00:01:15,702",That was all I thought New York was before I came here.,0,0.0,,,,73.41,75.7
18,"00:01:15,786","00:01:18,371",I just thought it was a city of people almost getting run over.,1,1.4899999999999949,"#4, ","78.75, ","80.24, ",75.79,78.37
19,"00:01:19,414","00:01:22,793","Just everyone walking into the street, a taxi rolling up, slamming the hood,",0,0.0,,,,79.41,82.79
20,"00:01:22,876","00:01:25,003","[New York accent] ""I'm walking over here!",1,1.1599999999999966,"#5, ","84.73, ","85.89, ",82.88,85.0
21,"00:01:25,086","00:01:26,463",What's wrong with you?,0,0.0,,,,85.09,86.46
22,"00:01:26,922","00:01:28,340","You want some coffee?""",1,2.030000000000001,"#6, ","89.27, ","91.3, ",86.92,88.34
23,"00:01:30,383","00:01:31,802",I don't even know what that meant.,1,1.0700000000000074,"#7, ","91.99, ","93.06, ",90.38,91.8
24,"00:01:32,719","00:01:35,597","All I knew was one day, I was gonna go to New York City.",0,0.0,,,,92.72,95.6
25,"00:01:35,680","00:01:38,934","And I, too, was going to almost get run over by a car.",1,1.4699999999999989,"#8, ","99.47, ","100.94, ",95.68,98.93
26,"00:01:40,310","00:01:43,814",I had a dream and I set out. And it's a lot harder than it seems.,0,0.0,,,,100.31,103.81
27,"00:01:43,897","00:01:45,416","In the movies, they make it look simple.",0,0.0,,,,103.9,105.42
28,"00:01:45,440","00:01:47,502","They make it look like you run out, the car almost hits you,",0,0.0,,,,105.44,107.5
29,"00:01:47,526","00:01:50,445","you do that thing-- ""Hey!"" Slam the hood and then move on.",2,2.4399999999999977,"#9, #10, ","107.96, 110.33, ","109.1, 111.63, ",107.53,110.44
30,"00:01:51,071","00:01:52,871",But it's not that easy. It's all about timing.,1,1.5600000000000023,"#11, ","113.58, ","115.14, ",111.07,112.87
31,"00:01:54,533","00:01:56,868",It's all about timing. It's all about being precise.,0,0.0,,,,114.53,116.87
32,"00:01:56,952","00:01:59,347","You have to get out at the exact same time that the taxi is there,",0,0.0,,,,116.95,119.35
33,"00:01:59,371","00:02:01,039","so it stops, so you can hit the hood.",0,0.0,,,,119.37,121.04
34,"00:02:01,665","00:02:04,543","If you don't have the guts and you come out too late, the car's gone.",0,0.0,,,,121.67,124.54
35,"00:02:04,626","00:02:06,044",It's a waste of everyone's time.,1,2.9200000000000017,"#12, ","126.01, ","128.93, ",124.63,126.04
36,"00:02:06,128","00:02:08,421",You just look like a mad person now. You're just like...,0,0.0,,,,126.13,128.42
37,"00:02:08,505","00:02:10,715","[imitates engine revving] ""Hey!",1,1.2800000000000011,"#13, ","130.37, ","131.65, ",128.5,130.72
38,"00:02:11,842","00:02:13,844","I'm walking over here!""",1,1.8400000000000034,"#14, ","133.07, ","134.91, ",131.84,133.84
39,"00:02:16,721","00:02:18,366","If you come out at the exact time as the car,",0,0.0,,,,136.72,138.37
40,"00:02:18,390","00:02:20,350",then you just get run over. That's just pointless.,1,1.5900000000000034,"#15, ","140.24, ","141.83, ",138.39,140.35
41,"00:02:21,393","00:02:22,602","You know, it's like, ""Hey--""",1,2.789999999999992,"#16, ","142.49, ","145.28, ",141.39,142.6
42,"00:02:22,686","00:02:24,187",[thumping noises],0,0.0,,,,142.69,144.19
43,"00:02:24,855","00:02:27,482","""Hey, he was walking over here.",1,4.489999999999981,"#17, ","146.55, ","151.04, ",144.85,147.48
44,"00:02:28,400","00:02:29,901","What's wrong with you?""",0,0.0,,,,148.4,149.9
45,"00:02:31,987","00:02:33,747",The worst one is when you come out too early.,0,0.0,,,,151.99,153.75
46,"00:02:34,114","00:02:36,074",Because that's just awkward for everyone involved.,0,0.0,,,,154.11,156.07
47,"00:02:37,284","00:02:39,004","Because you come out and then the car stops,",0,0.0,,,,157.28,159.0
48,"00:02:39,077","00:02:40,245",but you can't reach the hood.,0,0.0,,,,159.08,160.25
49,"00:02:40,328","00:02:42,038","So it's like, ""Hey!""",0,0.0,,,,160.33,162.04
50,"00:02:42,122","00:02:43,206",[imitates tires screeching],0,0.0,,,,162.12,163.21
51,"00:02:45,292","00:02:46,293","""Come here.",1,8.5,"#18, ","165.47, ","173.97, ",165.29,166.29
52,"00:02:48,378","00:02:49,880","No. Come closer, please.",0,0.0,,,,168.38,169.88
53,"00:02:50,672","00:02:52,716",I want to tell you a secret. Come here.,0,0.0,,,,170.67,172.72
54,"00:02:53,425","00:02:56,803","No, I'm from Africa. I have a dream. Please come closer. I just--",1,4.680000000000007,"#19, ","175.34, ","180.02, ",173.43,176.8
55,"00:02:57,387","00:02:58,680",I just want you--,0,0.0,,,,177.39,178.68
56,"00:02:59,347","00:03:00,682","I'm walking over here.""",1,5.570000000000022,"#20, ","180.51, ","186.08, ",179.35,180.68
57,"00:03:04,019","00:03:06,313",I love the city. Are you kidding me? New York!,0,0.0,,,,184.02,186.31
58,"00:03:06,938","00:03:09,024",My dream was to come out here.,0,0.0,,,,186.94,189.02
59,"00:03:09,608","00:03:11,443","Soon as I got here, I was like, ""This is it!""",1,1.4599999999999795,"#21, ","191.36, ","192.82, ",189.61,191.44
60,"00:03:12,360","00:03:15,196",There's an energy in the city that exists nowhere in the world.,1,0.950000000000017,"#22, ","193.57, ","194.52, ",192.36,195.2
61,"00:03:15,739","00:03:17,365","New York, New York!",0,0.0,,,,195.74,197.37
62,"00:03:18,158","00:03:19,451","Love it, everything about it.",0,0.0,,,,198.16,199.45
63,"00:03:20,243","00:03:22,004",You know what fascinates me about New York...,0,0.0,,,,200.24,202.0
64,"00:03:23,121","00:03:27,125",is how much people trust the traffic lights.,1,2.0500000000000114,"#23, ","207.6, ","209.65, ",203.12,207.12
65,"00:03:29,669","00:03:31,546",I have never seen anything like it.,1,0.6800000000000068,"#24, ","211.66, ","212.34, ",209.67,211.55
66,"00:03:32,964","00:03:36,343","You must remember, I come from an African country.",1,0.6499999999999773,"#25, ","213.08, ","213.73, ",212.96,216.34
67,"00:03:36,426","00:03:38,970","And all over Africa, we have traffic lights.",0,0.0,,,,216.43,218.97
68,"00:03:39,054","00:03:40,472",But we don't use them.,1,2.289999999999992,"#26, ","220.69, ","222.98, ",219.05,220.47
69,"00:03:42,432","00:03:43,516",All right?,1,1.25,"#27, ","223.6, ","224.85, ",222.43,223.52
70,"00:03:43,600","00:03:46,269",It's less of a command and more of a suggestion.,1,2.319999999999993,"#28, ","225.59, ","227.91, ",223.6,226.27
71,"00:03:47,103","00:03:49,022","It's not ""Stop!"" It's ""Stop?""",1,2.4799999999999898,"#29, ","229.33, ","231.81, ",227.1,229.02
72,"00:03:51,149","00:03:53,818","It's almost like an African traveled the world,",0,0.0,,,,231.15,233.82
73,"00:03:53,902","00:03:56,822","saw that other people have traffic lights and then just brought them back,",1,1.1100000000000136,"#30, ","235.7, ","236.81, ",233.9,236.82
74,"00:03:56,905","00:03:58,799","but didn't know what they were for. The guy was like,",0,0.0,,,,236.91,238.8
75,"00:03:58,823","00:04:01,826","""Guys, guys, guys. We need to get traffic lights. Ah?""",2,3.6299999999999955,"#31, #32, ","239.11, 241.99, ","240.86, 243.87, ",238.82,241.83
76,"00:04:02,410","00:04:03,512","People were like, ""What for?""",0,0.0,,,,242.41,243.51
77,"00:04:03,536","00:04:05,956","""It's for the intersection. It adds atmosphere.""",1,7.72999999999999,"#33, ","244.84, ","252.57, ",243.54,245.96
78,"00:04:10,168","00:04:11,728",No one actually knew what it was about.,1,2.530000000000001,"#34, ","254.15, ","256.68, ",250.17,251.73
79,"00:04:14,339","00:04:17,300","We don't care about the lights, and we don't trust the lights.",0,0.0,,,,254.34,257.3
80,"00:04:17,384","00:04:21,721",But in New York-- I've never seen it-- people trust that light with their lives.,0,0.0,,,,257.38,261.72
81,"00:04:22,806","00:04:24,286",I was walking in the streets one day.,0,0.0,,,,262.81,264.29
82,"00:04:24,933","00:04:27,310",I was walking next to this man. I'll never forget this.,1,0.5799999999999841,"#35, ","265.05, ","265.63, ",264.93,267.31
83,"00:04:27,394","00:04:32,941","We're standing there on the sidewalk, and the light changes in our favor.",0,0.0,,,,267.39,272.94
84,"00:04:34,693","00:04:36,653","And I looked to the side, and there was this truck",0,0.0,,,,274.69,276.65
85,"00:04:37,779","00:04:39,406",that is barreling down the road.,0,0.0,,,,277.78,279.41
86,"00:04:40,949","00:04:43,535","And I'm looking at the truck. And as soon as the light changes,",0,0.0,,,,280.95,283.54
87,"00:04:43,618","00:04:45,537","the guy next to me, he steps out into the road.",1,2.4499999999999886,"#36, ","284.62, ","287.07, ",283.62,285.54
