,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,925","00:00:11,636","<i>[man speaking in an American-Indian</i> <i>accent] </i><span style=""style2"">I lost 80% of my mind.</i>",0,0.0,,,,8.93,11.64
1,"00:00:12,053","00:00:12,971",<i>It's very freeing.</i>,1,1.6899999999999977,"#0, ","17.05, ","18.74, ",12.05,12.97
2,"00:00:17,934","00:00:21,563","<i>[man chuckles] You should see the look</i> <i>on your faces right now, by the way.</i>",1,1.240000000000002,"#1, ","21.04, ","22.28, ",17.93,21.56
3,"00:00:24,733","00:00:26,735",<i>[Hindi rock music playing]</i>,5,26.669999999999987,"#2, #3, #4, #5, #6, ","27.89, 38.09, 43.7, 48.89, 58.28, ","33.44, 42.51, 48.0, 56.15, 63.42, ",24.73,26.73
4,"00:00:32,157","00:00:35,201",<i>[audience cheering and applauding]</i>,0,0.0,,,,32.16,35.2
5,"00:00:58,683","00:00:59,768",<i>Oh!</i>,0,0.0,,,,58.68,59.77
6,"00:01:04,022","00:01:07,150","<i>Good evening, San Francisco.</i> <i>Are you guys excited, yeah?</i>",1,3.0900000000000034,"#7, ","67.33, ","70.42, ",64.02,67.15
7,"00:01:07,692","00:01:09,694",<i>[audience cheering]</i>,0,0.0,,,,67.69,69.69
8,"00:01:10,570","00:01:12,197","<i>All right. Well, my name is Vir Das.</i>",0,0.0,,,,70.57,72.2
9,"00:01:12,280","00:01:15,158",<i>We're gonna have such a good time</i> <i>tonight. I'm so excited.</i>,0,0.0,,,,72.28,75.16
10,"00:01:15,241","00:01:16,785",<i>It's gonna be delightful.</i>,0,0.0,,,,75.24,76.78
11,"00:01:17,118","00:01:18,620","<i>Oh, this is how I talk now.</i>",0,0.0,,,,77.12,78.62
12,"00:01:18,703","00:01:20,371",<i>[audience laughing]</i>,0,0.0,,,,78.7,80.37
13,"00:01:20,497","00:01:23,875","<i>I just thought it was time</i> <i>to really embrace my roots, you know,</i>",0,0.0,,,,80.5,83.88
14,"00:01:24,292","00:01:27,587",<i>and to make my comedy</i> <i>more authentically Indian.</i>,0,0.0,,,,84.29,87.59
15,"00:01:29,506","00:01:32,884","<i>And really, what could be more Indian</i> <i>than a fake American accent?</i>",1,3.25,"#8, ","92.76, ","96.01, ",89.51,92.88
16,"00:01:32,967","00:01:34,719",<i>[audience laughing]</i>,0,0.0,,,,92.97,94.72
17,"00:01:34,803","00:01:36,679",<i>[cheering and applauding]</i>,2,2.230000000000004,"#9, #10, ","97.08, 98.8, ","98.52, 99.59, ",94.8,96.68
18,"00:01:39,474","00:01:40,683",<i>I don't think you understand.</i>,0,0.0,,,,99.47,100.68
19,"00:01:40,850","00:01:43,520","<i>I have an opportunity</i> <i>to make history tonight, guys.</i>",0,0.0,,,,100.85,103.52
20,"00:01:43,603","00:01:47,732",<i>I can. I can be the first ever Indian</i> <i>who comes to California...</i>,0,0.0,,,,103.6,107.73
21,"00:01:47,941","00:01:49,025",<i>and then leaves.</i>,0,0.0,,,,107.94,109.03
22,"00:01:49,400","00:01:51,402",<i>[audience laughing]</i>,0,0.0,,,,109.4,111.4
23,"00:01:52,529","00:01:54,030",<i>That's never happened before.</i>,1,3.049999999999997,"#11, ","113.29, ","116.34, ",112.53,114.03
24,"00:01:54,489","00:01:56,491",<i>[cheering and applauding]</i>,0,0.0,,,,114.49,116.49
25,"00:01:57,117","00:01:59,035",<i>Because you guys are sticking around.</i>,0,0.0,,,,117.12,119.03
26,"00:02:00,120","00:02:01,538",<i>Until they kick you out.</i>,0,0.0,,,,120.12,121.54
27,"00:02:02,330","00:02:04,916","<i>Which, going by the news,</i> <i>is about three weeks from now.</i>",0,0.0,,,,122.33,124.92
28,"00:02:04,999","00:02:06,626",<i>[audience laughing]</i>,0,0.0,,,,125.0,126.63
29,"00:02:08,002","00:02:10,880","<i>Now, I used to work in America</i> <i>in the year 2002.</i>",0,0.0,,,,128.0,130.88
30,"00:02:10,964","00:02:13,842","<i>It didn't go very well,</i> <i>so I left for browner pastures.</i>",1,0.9099999999999966,"#12, ","134.87, ","135.78, ",130.96,133.84
31,"00:02:16,845","00:02:20,306","<i>And then, honestly, I didn't think about</i> <i>you guys for 15 years.</i>",0,0.0,,,,136.84,140.31
32,"00:02:21,182","00:02:24,060","<i>Because, honestly, there is nothing</i> <i>that you can get in America</i>",0,0.0,,,,141.18,144.06
33,"00:02:24,144","00:02:25,770",<i>that I can't get in India.</i>,0,0.0,,,,144.14,145.77
34,"00:02:26,354","00:02:28,273",<i>[cheering and applauding]</i>,1,2.329999999999984,"#13, ","147.33, ","149.66, ",146.35,148.27
35,"00:02:29,524","00:02:31,985","<i>And then my government banned beef</i> <i>and I was like,</i>",0,0.0,,,,149.52,151.99
36,"00:02:32,068","00:02:34,821","<i>""You know, an international career</i> <i>might not be such a bad thing!""</i>",0,0.0,,,,152.07,154.82
37,"00:02:36,656","00:02:38,908",<i>Make no mistake.</i> <i>I'm just here for the beef.</i>,1,0.8199999999999932,"#14, ","160.68, ","161.5, ",156.66,158.91
38,"00:02:39,200","00:02:41,202",<i>[audience laughing]</i>,0,0.0,,,,159.2,161.2
39,"00:02:41,619","00:02:44,706",<i>It's been a good couple of years for me.</i> <i>I went on my first world tour.</i>,0,0.0,,,,161.62,164.71
40,"00:02:44,789","00:02:45,874",<i>I saw the entire world.</i>,1,1.0200000000000102,"#15, ","165.45, ","166.47, ",164.79,165.87
41,"00:02:45,957","00:02:47,292",<i>I went... Yeah.</i>,1,1.4099999999999966,"#16, ","167.26, ","168.67, ",165.96,167.29
42,"00:02:48,543","00:02:51,462",<i>Would you like to know what 33 countries</i> <i>in the world have in common?</i>,0,0.0,,,,168.54,171.46
43,"00:02:51,546","00:02:53,423","<i>-Would you like to know, yeah?</i> <i>-[audience] Yeah!</i>",1,0.8400000000000034,"#17, ","172.87, ","173.71, ",171.55,173.42
44,"00:02:53,673","00:02:57,594","<i>Two things. Number one, I have now</i> <i>masturbated in all 33 of those countries.</i>",1,1.0300000000000011,"#18, ","177.33, ","178.36, ",173.67,177.59
45,"00:02:58,928","00:02:59,762",<i>Thank you.</i>,1,0.8300000000000125,"#19, ","181.22, ","182.05, ",178.93,179.76
46,"00:03:01,723","00:03:04,392",<i>I'm like the Genghis Khan</i> <i>of the Holiday Inn chain.</i>,0,0.0,,,,181.72,184.39
47,"00:03:05,435","00:03:07,395",<i>My DNA is everywhere.</i>,0,0.0,,,,185.44,187.4
48,"00:03:08,354","00:03:11,566","<i>If your hotel has a memory foam mattress,</i> <i>I'm the memory.</i>",1,0.8400000000000034,"#20, ","188.44, ","189.28, ",188.35,191.57
49,"00:03:11,941","00:03:13,943",<i>[audience laughing]</i>,0,0.0,,,,191.94,193.94
50,"00:03:14,652","00:03:16,654",<i>[applauding]</i>,1,1.9499999999999886,"#21, ","195.02, ","196.97, ",194.65,196.65
51,"00:03:19,365","00:03:21,784","<i>And two, no matter where I went</i> <i>in the entire world,</i>",0,0.0,,,,199.37,201.78
52,"00:03:21,868","00:03:23,286",<i>people said the same thing.</i>,0,0.0,,,,201.87,203.29
53,"00:03:23,369","00:03:25,288","<i>They said, ""Oh, my God, you're Indian?</i>",1,1.3599999999999852,"#22, ","205.11, ","206.47, ",203.37,205.29
54,"00:03:25,663","00:03:28,249","<i>I love Indian people.</i> <i>They're, like, so smart.</i>",0,0.0,,,,205.66,208.25
55,"00:03:29,334","00:03:31,377","<i>Indian people, you're, like, so smart.""</i>",0,0.0,,,,209.33,211.38
56,"00:03:32,003","00:03:35,256",<i>Which leads me to believe</i> <i>the rest of the world not that smart.</i>,1,0.8799999999999955,"#23, ","215.88, ","216.76, ",212.0,215.26
57,"00:03:36,799","00:03:38,801","<i>Now, there's no answer to that question.</i>",0,0.0,,,,216.8,218.8
58,"00:03:38,885","00:03:40,845","<i>Whenever somebody says,</i> <i>""Indian people, so smart,""</i>",0,0.0,,,,218.88,220.84
59,"00:03:40,929","00:03:43,181","<i>all we can do is just, </i><span style=""style2"">""Namaste,""</i> <i>and, ""Yes.""</i>",1,0.5,"#24, ","223.21, ","223.71, ",220.93,223.18
60,"00:03:43,264","00:03:45,266",<i>[audience laughing]</i>,0,0.0,,,,223.26,225.27
61,"00:03:45,433","00:03:46,267","<i>""Okay.""</i>",1,1.6599999999999966,"#25, ","226.86, ","228.52, ",225.43,226.27
62,"00:03:48,728","00:03:51,105","<i>Because we all know the reality, right?</i>",0,0.0,,,,228.73,231.1
63,"00:03:51,814","00:03:54,776","<i>In reality, 20% of India is smart.</i>",0,0.0,,,,231.81,234.78
64,"00:03:55,026","00:03:57,153","<i>Eighty percent of India is so stupid,</i>",0,0.0,,,,235.03,237.15
65,"00:03:57,237","00:03:59,197",<i>we don't even give them a passport.</i>,1,0.8199999999999932,"#26, ","239.19, ","240.01, ",237.24,239.2
66,"00:03:59,280","00:04:01,282",<i>[audience laughing]</i>,0,0.0,,,,239.28,241.28
67,"00:04:01,366","00:04:04,702","<i>Eighty percent of India is just</i> <i>Being Human t-shirts and </i><span style=""style2"">Gaurakshaks,</i>",0,0.0,,,,241.37,244.7
68,"00:04:04,786","00:04:06,537",<i>all right? That's basically India.</i>,1,5.559999999999974,"#27, ","245.83, ","251.39, ",244.79,246.54
69,"00:04:06,621","00:04:08,498",<i>[cheering and applauding]</i>,0,0.0,,,,246.62,248.5
70,"00:04:10,917","00:04:13,670","<i>No, in reality, 20% of India is smart,</i>",0,0.0,,,,250.92,253.67
71,"00:04:13,753","00:04:16,381","<i>but it's a population game,</i> <i>so we get away with it.</i>",0,0.0,,,,253.75,256.38
72,"00:04:17,257","00:04:20,885",<i>Because 20% of India</i> <i>is 98% of most countries.</i>,0,0.0,,,,257.26,260.88
73,"00:04:20,969","00:04:22,929",<i>[audience laughing]</i>,0,0.0,,,,260.97,262.93
74,"00:04:23,763","00:04:26,474","<i>So, statistically,</i> <i>Indians are not smarter.</i>",0,0.0,,,,263.76,266.47
75,"00:04:26,557","00:04:28,643",<i>There are just more smart Indians.</i>,0,0.0,,,,266.56,268.64
76,"00:04:30,395","00:04:32,647",<i>And if you're taking time</i> <i>with that joke...</i>,2,2.099999999999966,"#28, #29, ","273.1, 277.46, ","274.32, 278.34, ",270.39,272.65
77,"00:04:33,022","00:04:35,024",<i>[audience laughing]</i>,0,0.0,,,,273.02,275.02
78,"00:04:38,111","00:04:39,654",<i>...you're in the 80%.</i>,0,0.0,,,,278.11,279.65
79,"00:04:41,239","00:04:43,700","<i>And for the world to progress,</i> <i>you need to go.</i>",1,1.6499999999999773,"#30, ","284.04, ","285.69, ",281.24,283.7
80,"00:04:44,826","00:04:47,328","<i>That's what I believe.</i> <i>If this world is going to progress,</i>",0,0.0,,,,284.83,287.33
81,"00:04:47,412","00:04:51,165","<i>Eighty percent of us, this, everything,</i> <i>everyone needs to go.</i>",0,0.0,,,,287.41,291.17
82,"00:04:51,749","00:04:55,378","<i>Same number, 80/20, applies to you,</i> <i>American people and English.</i>",0,0.0,,,,291.75,295.38
83,"00:04:55,920","00:05:00,300",<i>Think about your country. Eighty percent</i> <i>of America speaks English good.</i>,0,0.0,,,,295.92,300.3
84,"00:05:05,722","00:05:09,559",<i>But I'm pretty sure</i> <i>20% of America speaks English well.</i>,0,0.0,,,,305.72,309.56
85,"00:05:09,851","00:05:11,853",<i>[cheering and applauding]</i>,1,1.1800000000000068,"#31, ","311.15, ","312.33, ",309.85,311.85
86,"00:05:16,274","00:05:18,484",<i>And if you don't understand</i> <i>the difference...</i>,0,0.0,,,,316.27,318.48
87,"00:05:20,486","00:05:22,280",<i>then you will make America great again.</i>,0,0.0,,,,320.49,322.28
88,"00:05:22,363","00:05:25,783","<i>I promise you. You're the one.</i> <i>It'll happen because of you, you, you.</i>",1,4.329999999999984,"#32, ","322.94, ","327.27, ",322.36,325.78
89,"00:05:25,908","00:05:27,910",<i>[cheering and applauding]</i>,1,1.9300000000000068,"#33, ","327.71, ","329.64, ",325.91,327.91
90,"00:05:28,244","00:05:29,162",<i>Build that wall.</i>,1,1.420000000000016,"#34, ","330.19, ","331.61, ",328.24,329.16
91,"00:05:30,330","00:05:31,539",<i>[Vir chuckles]</i>,0,0.0,,,,330.33,331.54
92,"00:05:31,622","00:05:33,958","<i>But in today's world,</i> <i>we don't need to speak English</i>",0,0.0,,,,331.62,333.96
93,"00:05:34,042","00:05:35,918",<i>because we have social media.</i>,0,0.0,,,,334.04,335.92
94,"00:05:36,085","00:05:39,672","<i>Eighty percent of social media</i> <i>cannot spell ""social"" or ""media.""</i>",0,0.0,,,,336.08,339.67
95,"00:05:40,590","00:05:42,842","<i>And if you can figure out</i> <i>how to communicate with them,</i>",0,0.0,,,,340.59,342.84
96,"00:05:42,925","00:05:45,053",<i>you can rule any country in the world.</i>,0,0.0,,,,342.93,345.05
97,"00:05:45,553","00:05:49,432","<i>That's the new strategy. A leader, a brand</i> <i>gives us three, four words of evil.</i>",0,0.0,,,,345.55,349.43
