,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:08,008",[cheering and applauding],0,0.0,,,,6.01,8.01
1,"00:00:21,813","00:00:22,772",What's up?,0,0.0,,,,21.81,22.77
2,"00:00:24,315","00:00:25,650",Thank you. Thank you.,0,0.0,,,,24.32,25.65
3,"00:00:29,529","00:00:30,613",I appreciate that.,0,0.0,,,,29.53,30.61
4,"00:00:31,906","00:00:34,367","I appreciate all that applause, but also be careful.",0,0.0,,,,31.91,34.37
5,"00:00:34,451","00:00:35,744",We have parents in the audience.,0,0.0,,,,34.45,35.74
6,"00:00:35,827","00:00:38,413",There's a lot of energy to put out this late at night for them.,1,1.4499999999999957,"#1, ","38.03, ","39.48, ",35.83,38.41
7,"00:00:39,456","00:00:43,668","I appreciate you parents coming out 'cause you did the hard work to come here, yes.",1,1.1299999999999955,"#2, ","43.77, ","44.9, ",39.46,43.67
8,"00:00:43,793","00:00:46,463","You had to get, like, babysitters and aunties,",0,0.0,,,,43.79,46.46
9,"00:00:46,546","00:00:49,466","or that weird neighbor, like, it'll probably be fine. Oh, yeah.",1,2.6600000000000037,"#3, ","48.61, ","51.27, ",46.55,49.47
10,"00:00:49,549","00:00:51,676",-[crowd laughing] -[Bell laughs],0,0.0,,,,49.55,51.68
11,"00:00:52,552","00:00:54,763","Yeah, that's how it is when you're a parent.",0,0.0,,,,52.55,54.76
12,"00:00:54,929","00:00:58,683","When you're a parent, you have to do things sometimes for your kids...",0,0.0,,,,54.93,58.68
13,"00:00:58,808","00:01:00,393",whether you want to or not.,0,0.0,,,,58.81,60.39
14,"00:01:01,019","00:01:02,645",That's the joy of parenting.,1,1.4400000000000048,"#4, ","62.26, ","63.7, ",61.02,62.65
15,"00:01:03,730","00:01:05,565","Like, my kids like to go camping.",0,0.0,,,,63.73,65.56
16,"00:01:06,232","00:01:08,568","It's not their fault. Their mom is white, all right?",1,1.3300000000000125,"#5, ","68.07, ","69.4, ",66.23,68.57
17,"00:01:08,651","00:01:09,819",[crowd laughing],0,0.0,,,,68.65,69.82
18,"00:01:09,903","00:01:11,196",It's how she was raised.,1,1.7099999999999937,"#6, ","71.4, ","73.11, ",69.9,71.2
19,"00:01:13,406","00:01:15,450","I got to be honest, as a black man,",0,0.0,,,,73.41,75.45
20,"00:01:15,533","00:01:17,786",I just don't feel like it's in my DNA,1,0.7199999999999989,"#7, ","77.65, ","78.37, ",75.53,77.79
21,"00:01:17,869","00:01:20,914","to want to sleep outside on purpose, you see what I'm saying?",1,1.710000000000008,"#8, ","80.16, ","81.87, ",77.87,80.91
22,"00:01:21,623","00:01:24,667","You see what I'm saying? ""Let's go sleep outside for fun.""",0,0.0,,,,81.62,84.67
23,"00:01:24,751","00:01:26,086",Why would we do that?,1,2.0400000000000063,"#9, ","86.11, ","88.15, ",84.75,86.09
24,"00:01:26,169","00:01:27,712",-[crowd laughing] -[chuckles],0,0.0,,,,86.17,87.71
25,"00:01:27,796","00:01:31,216",We have too much camping in our history. You know what I'm talking about?,1,6.680000000000007,"#10, ","90.55, ","97.23, ",87.8,91.22
26,"00:01:31,299","00:01:32,592",-[crowd laughing] -[chuckles],0,0.0,,,,91.3,92.59
27,"00:01:33,093","00:01:34,302","Thank you that section, yeah!",0,0.0,,,,93.09,94.3
28,"00:01:34,385","00:01:36,387",-[crowd laughing] -[chuckles],0,0.0,,,,94.39,96.39
29,"00:01:37,263","00:01:38,681",Why would I want to sleep outside?,0,0.0,,,,97.26,98.68
