,filename,laughs,start,end,threshold,duration
1,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_1.wav,38.03,39.48,0.5,0.5
2,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_2.wav,43.77,44.9,0.5,0.5
3,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_3.wav,48.61,51.27,0.5,0.5
4,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_4.wav,62.26,63.7,0.5,0.5
5,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_5.wav,68.07,69.4,0.5,0.5
6,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_6.wav,71.4,73.11,0.5,0.5
7,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_7.wav,77.65,78.37,0.5,0.5
8,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_8.wav,80.16,81.87,0.5,0.5
9,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_9.wav,86.11,88.15,0.5,0.5
10,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_10.wav,90.55,97.23,0.5,0.5
11,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_11.wav,103.01,104.83,0.5,0.5
12,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_12.wav,121.22,122.14,0.5,0.5
13,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_13.wav,124.56,125.31,0.5,0.5
14,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_14.wav,128.88,131.8,0.5,0.5
15,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_15.wav,133.89,134.91,0.5,0.5
16,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_16.wav,147.81,150.38,0.5,0.5
17,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_17.wav,160.28,176.89,0.5,0.5
18,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_18.wav,178.47,180.39,0.5,0.5
19,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_19.wav,181.36,183.26,0.5,0.5
20,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_20.wav,184.51,185.73,0.5,0.5
21,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_21.wav,187.84,190.99,0.5,0.5
22,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_22.wav,191.92,193.57,0.5,0.5
23,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_23.wav,200.14,201.52,0.5,0.5
24,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_24.wav,202.83,204.02,0.5,0.5
25,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_25.wav,210.94,212.21,0.5,0.5
26,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_26.wav,213.91,215.99,0.5,0.5
27,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_27.wav,217.45,218.44,0.5,0.5
28,W.Kamau.Bell.Private.School.Negro.2018.720p.WEBRip.x264.AMRAP-music.wav,/laughs/laugh_28.wav,219.2,221.18,0.5,0.5
