,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,720","00:00:13,597",[laughter],0,0.0,,,,11.72,13.6
1,"00:00:13,681","00:00:15,683",[crowd cheering],0,0.0,,,,13.68,15.68
2,"00:00:19,269","00:00:21,522",[cheering continues],0,0.0,,,,19.27,21.52
3,"00:00:30,071","00:00:32,574",[cheering continues],0,0.0,,,,30.07,32.57
4,"00:00:38,873","00:00:41,625",Thank you. Thank you.,0,0.0,,,,38.87,41.62
5,"00:00:48,423","00:00:51,176","Thank you, San Francisco. Thank you so much.",1,0.5399999999999991,"#1, ","49.94, ","50.48, ",48.42,51.18
6,"00:00:52,219","00:00:53,387",So good to be here.,0,0.0,,,,52.22,53.39
7,"00:00:54,054","00:00:55,764",People were surprised,0,0.0,,,,54.05,55.76
8,"00:00:55,848","00:00:59,018",when I told 'em I was gonna tape my special in San Francisco.,0,0.0,,,,55.85,59.02
9,"00:00:59,100","00:01:00,519","Said, ""Why would you do that?",0,0.0,,,,59.1,60.52
10,"00:01:00,602","00:01:03,856","That's the most politically correct city in the world.""",1,4.270000000000003,"#2, ","62.23, ","66.5, ",60.6,63.86
11,"00:01:04,023","00:01:05,900",[cheering and laughing],0,0.0,,,,64.02,65.9
12,"00:01:07,275","00:01:09,194","Not when I'm on stage, it's not.",1,4.02000000000001,"#3, ","67.46, ","71.48, ",67.28,69.19
13,"00:01:09,277","00:01:10,654",[laughter],0,0.0,,,,69.28,70.65
14,"00:01:12,072","00:01:15,993",I love this place. One of my favorite cities to perform in.,0,0.0,,,,72.07,75.99
15,"00:01:16,201","00:01:18,245",It's a good place to hang out.,0,0.0,,,,76.2,78.25
16,"00:01:18,328","00:01:20,581",Got to walk around a little bit today.,0,0.0,,,,78.33,80.58
17,"00:01:21,206","00:01:22,541",Saw a baby.,3,4.839999999999989,"#4, #5, #6, ","81.4, 83.92, 85.41, ","83.16, 84.97, 87.44, ",81.21,82.54
18,"00:01:22,624","00:01:24,083",[laughter],0,0.0,,,,82.62,84.08
19,"00:01:28,923","00:01:32,133",Saw a baby locked inside the back of a hot car.,2,7.259999999999991,"#7, #8, ","90.84, 95.28, ","93.6, 99.78, ",88.92,92.13
20,"00:01:32,217","00:01:33,844",[laughter],0,0.0,,,,92.22,93.84
21,"00:01:35,387","00:01:37,096",So it's been a great day.,0,0.0,,,,95.39,97.1
22,"00:01:38,473","00:01:40,308",Love that.,0,0.0,,,,98.47,100.31
23,"00:01:41,184","00:01:43,102",Don't get me wrong. I'm not a monster.,0,0.0,,,,101.18,103.1
24,"00:01:43,854","00:01:45,230",I tried to help the baby.,1,1.480000000000004,"#9, ","106.71, ","108.19, ",103.85,105.23
25,"00:01:45,981","00:01:49,192",-Tried to throw a rock through the window. -[laughter],1,5.310000000000002,"#10, ","110.21, ","115.52, ",105.98,109.19
26,"00:01:50,027","00:01:52,446",-Window was down. -[laughter],1,2.680000000000007,"#11, ","116.86, ","119.54, ",110.03,112.45
27,"00:01:56,491","00:01:59,620",-Ruined that baby's whole weekend. -[laughter],1,1.6599999999999966,"#12, ","120.42, ","122.08, ",116.49,119.62
28,"00:02:00,370","00:02:02,664",-It was worth it. -[laughter],0,0.0,,,,120.37,122.66
29,"00:02:03,206","00:02:04,875",I love San Francisco.,1,1.509999999999991,"#13, ","123.43, ","124.94, ",123.21,124.88
30,"00:02:04,959","00:02:06,334",[cheers and hoots],0,0.0,,,,124.96,126.33
31,"00:02:06,418","00:02:10,547",One of my favorite things is how beautiful all the women are here.,1,0.5800000000000125,"#14, ","129.32, ","129.9, ",126.42,130.55
32,"00:02:10,631","00:02:13,675",Yeah. Women in San Francisco are gorgeous.,0,0.0,,,,130.63,133.68
33,"00:02:14,175","00:02:17,930",I say that despite what's... going on in this crowd tonight.,1,8.730000000000018,"#15, ","136.67, ","145.4, ",134.18,137.93
34,"00:02:18,055","00:02:19,514",[laughter],0,0.0,,,,138.06,139.51
35,"00:02:27,355","00:02:28,816",But you guys live here.,0,0.0,,,,147.35,148.82
