,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:07,340",[birds chirping],0,0.0,,,,5.0,7.34
1,"00:00:07,424","00:00:09,342",[Brad] What do you mean you're stuck in the mud?,0,0.0,,,,7.42,9.34
2,"00:00:09,426","00:00:10,468",What am I supposed to do?,0,0.0,,,,9.43,10.47
3,"00:00:10,552","00:00:13,179",I've got a comedy special to tape right now.,0,0.0,,,,10.55,13.18
4,"00:00:13,263","00:00:15,390","Just-- You know what, just forget it.",0,0.0,,,,13.26,15.39
5,"00:00:15,473","00:00:16,558","-Excuse me, I'll be right back. -Hang on.",1,0.6400000000000006,"#0, ","16.61, ","17.25, ",15.47,16.56
6,"00:00:16,641","00:00:17,934","Hey, man, Hasselhoff.",0,0.0,,,,16.64,17.93
7,"00:00:18,018","00:00:19,144","-Hey, David. -Yeah.",1,1.1500000000000021,"#1, ","18.65, ","19.8, ",18.02,19.14
8,"00:00:19,227","00:00:20,895","-How's it goin'? -Great, what's wrong?",0,0.0,,,,19.23,20.89
9,"00:00:20,979","00:00:22,897","I had a car comin' to get me, it's not here.",0,0.0,,,,20.98,22.9
10,"00:00:22,981","00:00:24,441",You know what? I can get you a ride.,0,0.0,,,,22.98,24.44
11,"00:00:24,524","00:00:26,234",You got a Uber or something?,0,0.0,,,,24.52,26.23
12,"00:00:26,317","00:00:27,694","-Uber? -If you've got, like...",1,1.2300000000000004,"#2, ","27.21, ","28.44, ",26.32,27.69
13,"00:00:27,777","00:00:29,904",[laughs],0,0.0,,,,27.78,29.9
14,"00:00:29,988","00:00:31,698","KITT, I need you, buddy.",1,2.1199999999999974,"#3, ","32.34, ","34.46, ",29.99,31.7
15,"00:00:36,828","00:00:38,204",-Wow. -Yep.,0,0.0,,,,36.83,38.2
16,"00:00:38,288","00:00:39,414",I don't believe it.,0,0.0,,,,38.29,39.41
17,"00:00:39,497","00:00:41,875",You're still driving a 1982 Firebird.,0,0.0,,,,39.5,41.88
18,"00:00:41,958","00:00:44,753",Yeah. It's a long story.,0,0.0,,,,41.96,44.75
19,"00:00:44,836","00:00:46,838",You're still wearing the same leather jacket.,0,0.0,,,,44.84,46.84
20,"00:00:48,131","00:00:50,717",It's a long story. Jump in.,0,0.0,,,,48.13,50.72
21,"00:00:50,800","00:00:54,179","Do I need to drive it, or does it...",0,0.0,,,,50.8,54.18
22,"00:00:54,262","00:00:57,265",No. Take him to Zanies in Nashville.,0,0.0,,,,54.26,57.27
23,"00:00:57,348","00:00:59,017",-It'll just take me there? -Yup.,0,0.0,,,,57.35,59.02
24,"00:00:59,100","00:01:00,268",It's like a Tesla?,0,0.0,,,,59.1,60.27
25,"00:01:00,351","00:01:02,312",What's a Tesla?,0,0.0,,,,60.35,62.31
26,"00:01:02,395","00:01:03,980",It's a long story.,0,0.0,,,,62.4,63.98
27,"00:01:04,064","00:01:05,774","-Thanks. -See you, man.",1,6.180000000000007,"#4, ","65.69, ","71.87, ",64.06,65.77
28,"00:01:11,654","00:01:14,199",Honey. That was Tim McGraw.,1,33.91,"#5, ","74.33, ","108.24, ",71.65,74.2
29,"00:01:16,493","00:01:19,287",[announcer] Live from the Wild West Comedy Festival,0,0.0,,,,76.49,79.29
30,"00:01:19,370","00:01:21,206","in Nashville, Tennessee,",0,0.0,,,,79.37,81.21
31,"00:01:21,289","00:01:24,793",please welcome to the stage country superstar,0,0.0,,,,81.29,84.79
32,"00:01:24,876","00:01:27,045",Brad Paisley!,0,0.0,,,,84.88,87.05
33,"00:01:27,128","00:01:29,506",[cheers and applause],0,0.0,,,,87.13,89.51
34,"00:01:43,686","00:01:46,189","Thank you very much, everyone. Great to see you.",1,1.7199999999999989,"#6, ","108.5, ","110.22, ",103.69,106.19
35,"00:01:50,193","00:01:52,445",I am thrilled to be in my hometown.,1,0.9500000000000028,"#7, ","114.35, ","115.3, ",110.19,112.44
36,"00:01:53,363","00:01:55,073",-Where are we? -[laughter],0,0.0,,,,113.36,115.07
37,"00:01:55,156","00:01:57,075","Nashville, Tennessee.",1,1.3800000000000097,"#8, ","118.21, ","119.59, ",115.16,117.08
38,"00:02:03,414","00:02:06,167",â™ª She's a yellow pair of running shoes â™ª,0,0.0,,,,123.41,126.17
39,"00:02:06,251","00:02:08,211",â™ª A holey pair of jeans â™ª,0,0.0,,,,126.25,128.21
40,"00:02:08,294","00:02:11,339",â™ª She looks great in cheap sunglasses â™ª,0,0.0,,,,128.29,131.34
41,"00:02:11,422","00:02:13,466",â™ª She's a passive-aggressive little thing â™ª,1,1.5900000000000034,"#9, ","133.18, ","134.77, ",131.42,133.47
42,"00:02:13,550","00:02:14,884",[laughter],0,0.0,,,,133.55,134.88
43,"00:02:14,968","00:02:17,387",â™ª She said I want a piece of chocolate â™ª,0,0.0,,,,134.97,137.39
44,"00:02:18,221","00:02:20,098",â™ª She snores like a train â™ª,1,1.3700000000000045,"#10, ","139.79, ","141.16, ",138.22,140.1
45,"00:02:23,101","00:02:24,686",â™ª She can be an angel â™ª,0,0.0,,,,143.1,144.69
46,"00:02:25,854","00:02:27,313",â™ª She can be a pain â™ª,0,0.0,,,,145.85,147.31
47,"00:02:28,481","00:02:31,776",â™ª She's almost everything I ever wanted â™ª,1,0.9699999999999989,"#11, ","151.92, ","152.89, ",148.48,151.78
48,"00:02:31,860","00:02:32,986",[laughter],0,0.0,,,,151.86,152.99
49,"00:02:33,069","00:02:35,864",â™ª Almost everything I need â™ª,0,0.0,,,,153.07,155.86
50,"00:02:38,241","00:02:40,577",â™ª She's almost â™ª,0,0.0,,,,158.24,160.58
51,"00:02:40,660","00:02:43,121",â™ª Everything to me â™ª,1,1.990000000000009,"#12, ","162.56, ","164.55, ",160.66,163.12
52,"00:02:45,331","00:02:47,625",That was the director's cut of that song.,1,1.4099999999999966,"#13, ","167.83, ","169.24, ",165.33,167.62
53,"00:02:47,709","00:02:48,751",[laughter],0,0.0,,,,167.71,168.75
54,"00:02:50,795","00:02:54,257","Actually, most of our songs, we've realized, were that way.",0,0.0,,,,170.79,174.26
55,"00:02:55,550","00:02:57,302",I've a new single that just came out.,0,0.0,,,,175.55,177.3
56,"00:02:57,385","00:02:58,636",[cheers],0,0.0,,,,177.38,178.64
57,"00:02:58,720","00:03:00,179",Originally it was...,0,0.0,,,,178.72,180.18
58,"00:03:00,263","00:03:03,224",â™ª Using a fake ID at a college bar â™ª,0,0.0,,,,180.26,183.22
59,"00:03:03,308","00:03:04,142",That stayed.,1,0.539999999999992,"#14, ","184.85, ","185.39, ",183.31,184.14
60,"00:03:06,936","00:03:10,607",â™ª Taping Cinemax on your parents' VCR â™ª,1,2.530000000000001,"#15, ","190.84, ","193.37, ",186.94,190.61
61,"00:03:10,690","00:03:12,233",[laughter],0,0.0,,,,190.69,192.23
62,"00:03:15,486","00:03:19,032",â™ª Making sweet love with the door unlocked â™ª,0,0.0,,,,195.49,199.03
63,"00:03:19,115","00:03:21,284",â™ª Think your kids are fast asleep â™ª,1,1.1899999999999977,"#16, ","201.73, ","202.92, ",199.12,201.28
64,"00:03:22,243","00:03:25,955",â™ª There's a last time for everything â™ª,1,5.199999999999989,"#17, ","206.33, ","211.53, ",202.24,205.96
65,"00:03:26,039","00:03:28,625",[cheers and applause],0,0.0,,,,206.04,208.62
66,"00:03:30,501","00:03:31,502",So...,0,0.0,,,,210.5,211.5
67,"00:03:32,337","00:03:34,505","I mean, it works for any of 'em. Name one of my hits.",0,0.0,,,,212.34,214.5
68,"00:03:34,589","00:03:36,841","I'll tell you what it was, what it used to be.",0,0.0,,,,214.59,216.84
69,"00:03:36,925","00:03:38,509","-""Celebrity."" -""Celebrity""?",0,0.0,,,,216.93,218.51
70,"00:03:38,593","00:03:39,636",That's a good one.,0,0.0,,,,218.59,219.64
71,"00:03:39,719","00:03:42,263","Man, that was a great one.",0,0.0,,,,219.72,222.26
72,"00:03:42,347","00:03:44,432",They told me you can't do this.,1,3.670000000000016,"#18, ","223.98, ","227.65, ",222.35,224.43
73,"00:03:47,810","00:03:51,147","I said ""Why? It's gonna be all the rage in 2017.""",0,0.0,,,,227.81,231.15
74,"00:03:51,231","00:03:52,232","They said, ""No.""",1,1.9399999999999977,"#19, ","231.95, ","233.89, ",231.23,232.23
75,"00:03:54,108","00:03:56,819",â™ª I'll get to cry to Barbara Walters â™ª,1,1.8199999999999932,"#20, ","236.5, ","238.32, ",234.11,236.82
76,"00:03:58,029","00:04:00,073",â™ª When things don't go my way â™ª,1,1.5300000000000011,"#21, ","240.28, ","241.81, ",238.03,240.07
77,"00:04:01,950","00:04:04,786",â™ª I'll get community service â™ª,1,1.6100000000000136,"#22, ","244.66, ","246.27, ",241.95,244.79
78,"00:04:05,995","00:04:08,706",â™ª No matter which law I break â™ª,1,1.2700000000000102,"#23, ","248.64, ","249.91, ",246.0,248.71
79,"00:04:09,624","00:04:12,502",â™ª I'll make the supermarket tabloids â™ª,1,1.740000000000009,"#24, ","251.88, ","253.62, ",249.62,252.5
80,"00:04:13,544","00:04:16,005","â™ª I'll drive a big, fancy car â™ª",1,1.150000000000034,"#25, ","256.21, ","257.36, ",253.54,256.0
81,"00:04:17,298","00:04:20,009",â™ª I'll reach out and grab 'em by the pussy â™ª,1,4.71999999999997,"#26, ","259.87, ","264.59, ",257.3,260.01
82,"00:04:20,093","00:04:21,219",[laughter],0,0.0,,,,260.09,261.22
83,"00:04:21,302","00:04:23,471",â™ª 'Cause they'll let you when you are â™ª,0,0.0,,,,261.3,263.47
84,"00:04:24,806","00:04:27,058",â™ª A celebrity â™ª,1,1.0,"#27, ","266.02, ","267.02, ",264.81,267.06
85,"00:04:27,141","00:04:28,935",And I told you that would work.,0,0.0,,,,267.14,268.94
86,"00:04:29,018","00:04:31,854","And they said, ""No, it won't work.""",1,0.6200000000000045,"#28, ","271.24, ","271.86, ",269.02,271.85
87,"00:04:31,938","00:04:33,481",Now one of those guys on that tape--,0,0.0,,,,271.94,273.48
88,"00:04:33,564","00:04:35,483",You talk about short end of the straw.,0,0.0,,,,273.56,275.48
89,"00:04:35,566","00:04:37,235","One of those guys is in the Oval Office,",0,0.0,,,,275.57,277.24
90,"00:04:37,318","00:04:39,988",the other guy is adding to the unemployment numbers.,0,0.0,,,,277.32,279.99
91,"00:04:40,071","00:04:42,657",[laughter],0,0.0,,,,280.07,282.66
92,"00:04:42,740","00:04:43,866","Now it's weird, though.",0,0.0,,,,282.74,283.87
93,"00:04:43,950","00:04:47,287",Isn't it weird in today's society how mad people get?,0,0.0,,,,283.95,287.29
94,"00:04:47,370","00:04:49,330","I mean, they get mad about the crazy--",0,0.0,,,,287.37,289.33
95,"00:04:49,414","00:04:52,000",They have the craziest sensitivities.,0,0.0,,,,289.41,292.0
96,"00:04:52,083","00:04:55,295","I mean, even Disney makes people mad.",0,0.0,,,,292.08,295.3
