,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,758","00:00:11,010",[audience cheering],0,0.0,,,,8.76,11.01
1,"00:00:11,094","00:00:12,637",[announcer] Ladies and gentlemen...,1,2.49,"#0, ","11.18, ","13.67, ",11.09,12.64
2,"00:00:15,015","00:00:18,685",please welcome Brian Regan!,1,1.0899999999999999,"#1, ","17.12, ","18.21, ",15.02,18.68
3,"00:00:18,768","00:00:20,770",[cheering and applause],2,17.409999999999993,"#2, #3, ","21.3, 35.34, ","35.04, 39.01, ",18.77,20.77
4,"00:00:36,870","00:00:37,704",Thank you.,0,0.0,,,,36.87,37.7
5,"00:00:39,039","00:00:40,832","Thank you very much, everybody.",2,11.920000000000002,"#4, #5, ","39.41, 44.15, ","41.47, 54.01, ",39.04,40.83
6,"00:00:44,419","00:00:45,253",Thank you.,0,0.0,,,,44.42,45.25
7,"00:00:46,838","00:00:47,672",All right.,0,0.0,,,,46.84,47.67
8,"00:00:50,550","00:00:52,510",I think we're done with the hour.,0,0.0,,,,50.55,52.51
9,"00:00:53,887","00:00:57,807",I am very honored by that. That means a lot. Thank you very much.,0,0.0,,,,53.89,57.81
10,"00:00:58,141","00:01:00,143",[cheering and applause],1,3.740000000000002,"#6, ","58.19, ","61.93, ",58.14,60.14
11,"00:01:01,478","00:01:05,231","Well, it was my New Year's resolution to lose 15 pounds this year.",0,0.0,,,,61.48,65.23
12,"00:01:06,733","00:01:08,693",I've only got 25 pounds to go.,2,2.780000000000001,"#7, #8, ","68.73, 70.53, ","70.14, 71.9, ",66.73,68.69
13,"00:01:08,860","00:01:10,445",[audience laughing],0,0.0,,,,68.86,70.44
14,"00:01:11,112","00:01:12,238",Little by little.,0,0.0,,,,71.11,72.24
15,"00:01:12,739","00:01:13,656",[audience laughing],0,0.0,,,,72.74,73.66
16,"00:01:14,449","00:01:16,868",I gained ten pounds just for that joke.,0,0.0,,,,74.45,76.87
17,"00:01:18,036","00:01:19,621",That's how dedicated I am.,0,0.0,,,,78.04,79.62
18,"00:01:20,914","00:01:24,209",I learned there are milestones in putting on a few pounds.,0,0.0,,,,80.91,84.21
19,"00:01:24,292","00:01:26,669","Little moments where you go, ""That was new.""",0,0.0,,,,84.29,86.67
20,"00:01:28,421","00:01:31,716","It used to be I'd put on my underwear, and that was it.",1,0.8100000000000023,"#9, ","90.74, ","91.55, ",88.42,91.72
21,"00:01:32,425","00:01:34,052",I'd just get on with my day.,0,0.0,,,,92.42,94.05
22,"00:01:35,094","00:01:37,806","You put on a few pounds, put on your underwear,",0,0.0,,,,95.09,97.81
23,"00:01:37,889","00:01:40,683","you bend over, and your waistband flips down.",1,2.539999999999992,"#10, ","100.95, ","103.49, ",97.89,100.68
24,"00:01:41,100","00:01:42,519",[audience laughing],0,0.0,,,,101.1,102.52
25,"00:01:43,144","00:01:46,064","You stand back up, and it flaps back into place...",0,0.0,,,,103.14,106.06
26,"00:01:47,732","00:01:49,692",with an awkward little snap:,0,0.0,,,,107.73,109.69
27,"00:01:49,776","00:01:51,152",[mimics snapping sound] Whoa.,1,0.6400000000000006,"#11, ","109.8, ","110.44, ",109.78,111.15
28,"00:01:51,319","00:01:53,363",That hurt and felt nice.,0,0.0,,,,111.32,113.36
29,"00:01:53,822","00:01:55,824",[audience laughing],0,0.0,,,,113.82,115.82
30,"00:01:57,492","00:02:01,830","Then you put on a few more pounds, you bend over, your waistband flips down.",0,0.0,,,,117.49,121.83
31,"00:02:02,205","00:02:05,583","And when you stand back up, it doesn't flap back into place.",1,0.769999999999996,"#12, ","126.28, ","127.05, ",122.2,125.58
32,"00:02:05,667","00:02:06,793",[audience laughing],0,0.0,,,,125.67,126.79
33,"00:02:06,876","00:02:09,295","Hey, where was the awkward little snap?",0,0.0,,,,126.88,129.29
