,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,275","00:00:10,043",[♪♪♪],0,0.0,,,,8.28,10.04
1,"00:00:16,450","00:00:17,351",♪<i> Fire </i>♪,0,0.0,,,,16.45,17.35
2,"00:00:28,362","00:00:29,263",♪ <i>Fire </i>♪,0,0.0,,,,28.36,29.26
3,"00:00:29,329","00:00:30,197",[audience cheering],0,0.0,,,,29.33,30.2
4,"00:00:30,264","00:00:31,798",♪<i> Man on fire </i>♪,0,0.0,,,,30.26,31.8
5,"00:00:34,334","00:00:35,202",♪<i> Fire </i>♪,0,0.0,,,,34.33,35.2
6,"00:00:37,271","00:00:38,138",♪<i> Fire </i>♪,0,0.0,,,,37.27,38.14
7,"00:00:40,407","00:00:41,275",♪<i> Fire </i>♪,0,0.0,,,,40.41,41.27
8,"00:00:42,042","00:00:43,744",♪ <i>Man on fire </i>♪,0,0.0,,,,42.04,43.74
9,"00:00:46,079","00:00:46,780",Yes.,0,0.0,,,,46.08,46.78
10,"00:00:47,047","00:00:49,082",[audience continues cheering],0,0.0,,,,47.05,49.08
11,"00:00:51,685","00:00:53,320",Yes. All right.,0,0.0,,,,51.69,53.32
12,"00:00:55,389","00:00:56,256",Yeah.,0,0.0,,,,55.39,56.26
13,"00:01:03,263","00:01:04,798",All right. Just relax.,0,0.0,,,,63.26,64.8
14,"00:01:05,198","00:01:07,234","We're fucking here, doing this in Canada.",1,0.5900000000000034,"#1, ","66.32, ","66.91, ",65.2,67.23
15,"00:01:07,301","00:01:08,335",I'm happy about that.,1,5.840000000000003,"#2, ","68.53, ","74.37, ",67.3,68.33
16,"00:01:08,535","00:01:11,505",[audience cheering],0,0.0,,,,68.53,71.5
17,"00:01:13,373","00:01:15,776","Look at this crowd. Yo, all right. I know, uh--",0,0.0,,,,73.37,75.78
18,"00:01:16,410","00:01:18,779",I know I look like a tired eagle. Um...,1,0.9000000000000057,"#3, ","79.57, ","80.47, ",76.41,78.78
19,"00:01:18,845","00:01:20,547",[audience laughing],0,0.0,,,,78.84,80.55
20,"00:01:25,819","00:01:28,588","I don't like how you laughed, to be honest. It's fine--",0,0.0,,,,85.82,88.59
21,"00:01:28,655","00:01:30,290","It's fine that you laughed at it,",0,0.0,,,,88.66,90.29
22,"00:01:30,357","00:01:32,626","but the way you laughed at it was shitty, you know?",0,0.0,,,,90.36,92.63
23,"00:01:32,826","00:01:34,494",You laughed like you realized it.,1,1.3199999999999932,"#4, ","94.42, ","95.74, ",92.83,94.49
24,"00:01:34,561","00:01:35,829",[audience laughing],0,0.0,,,,94.56,95.83
25,"00:01:36,096","00:01:38,865","Ha, ha, oh.",0,0.0,,,,96.1,98.86
26,"00:01:43,103","00:01:45,872","Eagles are cool, though. They're fucking-- You know what I mean?",1,1.2600000000000051,"#5, ","105.8, ","107.06, ",103.1,105.87
27,"00:01:46,139","00:01:47,841",[squawks] They do that shit.,0,0.0,,,,106.14,107.84
28,"00:01:48,508","00:01:51,244",I don't look like that eagle that would be like fucking--,0,0.0,,,,108.51,111.24
29,"00:01:51,311","00:01:53,680",I look like an eagle that would be like this: Caw.,0,0.0,,,,111.31,113.68
30,"00:01:53,747","00:01:57,284","You know what I mean? Like... just tired as shit, stuck in traffic:",0,0.0,,,,113.75,117.28
31,"00:01:57,351","00:01:58,385",Caw.,0,0.0,,,,117.35,118.39
32,"00:02:03,256","00:02:05,559",I've been thinking about the way I look a lot lately,0,0.0,,,,123.26,125.56
33,"00:02:05,626","00:02:07,327",because I'm finally the age I look.,0,0.0,,,,125.63,127.33
34,"00:02:07,394","00:02:09,396","I'm like-- I always looked older than I was,",0,0.0,,,,127.39,129.4
35,"00:02:09,463","00:02:11,898",but now I'm 36 and that's a hundred percent obvious.,0,0.0,,,,129.46,131.9
36,"00:02:12,165","00:02:14,835","Like... it's-- Like-- Here's what I mean ""I'm the age I look.""",0,0.0,,,,132.16,134.84
37,"00:02:14,901","00:02:17,537","When I say I'm 36, nobody in here goes like this:",0,0.0,,,,134.9,137.54
38,"00:02:17,704","00:02:18,805","""No."" You know?",1,0.9900000000000091,"#6, ","139.19, ","140.18, ",137.7,138.81
39,"00:02:18,872","00:02:20,407",[audience laughing],0,0.0,,,,138.87,140.41
40,"00:02:20,841","00:02:24,678","Like, I'm an adult. It's fucking crazy to realize yourself as an adult, right?",0,0.0,,,,140.84,144.68
41,"00:02:24,745","00:02:29,182","I mean, I've been an adult for a while, but I just kind of-- Recently it sunk in.",0,0.0,,,,144.75,149.18
42,"00:02:29,249","00:02:32,786","Here's what happened when I realized it. I saw a picture, uh, of me",0,0.0,,,,149.25,152.79
43,"00:02:32,853","00:02:34,755",and I didn't recognize me.,0,0.0,,,,152.85,154.75
44,"00:02:34,821","00:02:36,623","I just saw, like, an adult male.",1,0.6400000000000148,"#7, ","156.89, ","157.53, ",154.82,156.62
45,"00:02:37,357","00:02:40,460","I literally saw me and I thought, ""Fuck that guy. He looks creepy.""",0,0.0,,,,157.36,160.46
46,"00:02:40,527","00:02:44,264","That's what I thought. I was like, ""I don't like his whole story. Fuck him.""",0,0.0,,,,160.53,164.26
47,"00:02:44,698","00:02:46,900",And then I realized it was me. I look like that.,0,0.0,,,,164.7,166.9
48,"00:02:47,167","00:02:49,936",I look like a guy that'd fuck your girl and then be like:,0,0.0,,,,167.17,169.94
49,"00:02:50,203","00:02:51,905","""That's the game."" You know what I mean?",1,1.0300000000000011,"#8, ","171.96, ","172.99, ",170.2,171.91
50,"00:02:52,172","00:02:52,873",[audience laughing],0,0.0,,,,172.17,172.87
51,"00:02:52,939","00:02:54,374",I'm sorry. I didn't do it.,0,0.0,,,,172.94,174.37
52,"00:02:57,310","00:02:58,845","I'm so fucking 36, man.",0,0.0,,,,177.31,178.84
53,"00:03:00,313","00:03:02,816",When I was in my 20s I was a completely different person.,0,0.0,,,,180.31,182.82
54,"00:03:02,916","00:03:05,452","I don't-- I feel girls say shit like that, actually.",0,0.0,,,,182.92,185.45
55,"00:03:05,519","00:03:08,622",I don't mean it like that. I feel like girls say dramatic shit like:,0,0.0,,,,185.52,188.62
56,"00:03:08,688","00:03:10,724","""I used to be a completely different person.""",0,0.0,,,,188.69,190.72
57,"00:03:10,791","00:03:11,925",[audience laughing],0,0.0,,,,190.79,191.93
58,"00:03:12,192","00:03:15,262","I feel like when a girl says it, it means she used to fuck a lot, you know?",1,0.960000000000008,"#9, ","195.48, ","196.44, ",192.19,195.26
59,"00:03:15,328","00:03:16,596",[audience laughing],0,0.0,,,,195.33,196.6
60,"00:03:16,763","00:03:19,433","I feel like when a girl says that, part of her thinks",0,0.0,,,,196.76,199.43
61,"00:03:19,499","00:03:22,469","that she was someone else for real. She'll be, ""No, for real.",0,0.0,,,,199.5,202.47
62,"00:03:22,536","00:03:24,905","I used to be a little Japanese man,"" or whatever.",0,0.0,,,,202.54,204.91
63,"00:03:25,705","00:03:27,908","Like, ""No, you weren't."" ""Oh, really?",0,0.0,,,,205.71,207.91
64,"00:03:29,443","00:03:30,777","Then explain this:""",0,0.0,,,,209.44,210.78
65,"00:03:30,844","00:03:31,978",[mimics Japanese dialogue],0,0.0,,,,210.84,211.98
66,"00:03:32,245","00:03:34,247","You're like, ""Okay, I don't wanna argue.",0,0.0,,,,212.25,214.25
67,"00:03:34,314","00:03:36,349","You were Japanese for a summer or something.""",0,0.0,,,,214.31,216.35
68,"00:03:39,986","00:03:41,988","Ha, ha. I don't mean I was a different person.",0,0.0,,,,219.99,221.99
69,"00:03:42,255","00:03:43,957",I was a lot different than I am now.,0,0.0,,,,222.25,223.96
70,"00:03:44,224","00:03:44,891","And I was, dude.",0,0.0,,,,224.22,224.89
71,"00:03:45,258","00:03:46,393",Just take ten years ago.,0,0.0,,,,225.26,226.39
72,"00:03:46,460","00:03:49,262","When I was 26 I was married, which is crazy.",0,0.0,,,,226.46,229.26
73,"00:03:49,463","00:03:52,632","Which-- And that's true. But by the way, don't do that. Uh, yeah.",1,0.7199999999999989,"#10, ","233.17, ","233.89, ",229.46,232.63
74,"00:03:52,699","00:03:53,600",[audience laughing],0,0.0,,,,232.7,233.6
75,"00:03:53,667","00:03:56,870","I don't bad-mouth marriage. You can get married and it can work out,",0,0.0,,,,233.67,236.87
76,"00:03:56,937","00:04:00,240","but not if you're 26 and a dude. That's way too young, okay?",0,0.0,,,,236.94,240.24
77,"00:04:00,407","00:04:02,976","I mean, maybe some of you are 26 and married out there,",0,0.0,,,,240.41,242.98
78,"00:04:03,243","00:04:05,312","in which case, oops, but you know what I mean?",1,1.2200000000000273,"#11, ","244.89, ","246.11, ",243.24,245.31
79,"00:04:05,779","00:04:07,447","It's not gonna work out, you know?",0,0.0,,,,245.78,247.45
80,"00:04:07,881","00:04:10,417","I mean, it might, but it won't. You know what I mean?",0,0.0,,,,247.88,250.42
81,"00:04:10,517","00:04:12,519","But it could, but it's not going to, right?",0,0.0,,,,250.52,252.52
82,"00:04:12,886","00:04:16,556","But some are like, ""This one's special."" And you're wrong, but, uh...",2,2.6200000000000614,"#12, #13, ","257.08, 259.84, ","257.79, 261.75, ",252.89,256.56
83,"00:04:17,357","00:04:20,360","Yeah, you're not special. You're just somebody. [laughs]",0,0.0,,,,257.36,260.36
84,"00:04:21,661","00:04:23,830",That's fucked up. We're not special at all.,0,0.0,,,,261.66,263.83
85,"00:04:23,897","00:04:24,865",That's so fucked.,1,5.699999999999989,"#14, ","264.98, ","270.68, ",263.9,264.87
