,filename,laughs,start,end,threshold,duration
1,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_1.wav,66.32,66.91,0.5,0.5
2,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_2.wav,68.53,74.37,0.5,0.5
3,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_3.wav,79.57,80.47,0.5,0.5
4,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_4.wav,94.42,95.74,0.5,0.5
5,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_5.wav,105.8,107.06,0.5,0.5
6,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_6.wav,139.19,140.18,0.5,0.5
7,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_7.wav,156.89,157.53,0.5,0.5
8,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_8.wav,171.96,172.99,0.5,0.5
9,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_9.wav,195.48,196.44,0.5,0.5
10,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_10.wav,233.17,233.89,0.5,0.5
11,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_11.wav,244.89,246.11,0.5,0.5
12,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_12.wav,257.08,257.79,0.5,0.5
13,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_13.wav,259.84,261.75,0.5,0.5
14,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_14.wav,264.98,270.68,0.5,0.5
15,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_15.wav,273.1,274.04,0.5,0.5
16,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_16.wav,289.73,290.74,0.5,0.5
17,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_17.wav,308.46,309.66,0.5,0.5
18,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_18.wav,313.52,314.05,0.5,0.5
19,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_19.wav,328.16,329.13,0.5,0.5
20,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_20.wav,338.55,346.15,0.5,0.5
21,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_21.wav,349.19,349.92,0.5,0.5
22,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_22.wav,368.44,369.02,0.5,0.5
23,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_23.wav,388.8,389.74,0.5,0.5
24,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_24.wav,397.0,397.83,0.5,0.5
25,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_25.wav,399.94,400.55,0.5,0.5
26,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_26.wav,413.41,415.57,0.5,0.5
27,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_27.wav,418.21,419.08,0.5,0.5
28,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_28.wav,450.64,451.93,0.5,0.5
29,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_29.wav,466.36,469.15,0.5,0.5
30,chris.delia.man.on.fire.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_30.wav,472.96,476.67,0.5,0.5
