,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,381","00:00:07,257","[""Killing Me Softly with His Song"" playing]",0,0.0,,,,6.38,7.26
1,"00:00:07,340","00:00:10,093",[woman vocalizes],1,0.8600000000000003,"#0, ","7.87, ","8.73, ",7.34,10.09
2,"00:00:11,177","00:00:14,973",♪ I heard he sang a good song ♪,0,0.0,,,,11.18,14.97
3,"00:00:15,056","00:00:19,102",♪ I heard he had a style ♪ - [camera shutter clicks],0,0.0,,,,15.06,19.1
4,"00:00:19,185","00:00:24,107",♪ And so I came to see him To listen for a while ♪,0,0.0,,,,19.18,24.11
5,"00:00:24,190","00:00:25,525",[audience cheers],1,1.6000000000000014,"#1, ","24.66, ","26.26, ",24.19,25.52
6,"00:00:26,776","00:00:30,822",♪ And there he was This young boy ♪,0,0.0,,,,26.78,30.82
7,"00:00:31,322","00:00:34,284",♪ A stranger to my eyes ♪,0,0.0,,,,31.32,34.28
8,"00:00:34,367","00:00:37,954",♪ Strumming my pain With his fingers ♪,1,3.3299999999999983,"#2, ","34.42, ","37.75, ",34.37,37.95
9,"00:00:38,371","00:00:41,583",♪ Singing my life with his words ♪,1,6.969999999999999,"#3, ","38.88, ","45.85, ",38.37,41.58
10,"00:00:42,292","00:00:45,336",♪ Killing me softly with his song ♪,0,0.0,,,,42.29,45.34
11,"00:00:48,298","00:00:51,426",[Dave Chappelle] I came back here where I started,0,0.0,,,,48.3,51.43
12,"00:00:51,509","00:00:55,305",because I will shoot my final Netflix special tonight.,2,8.059999999999995,"#4, #5, ","55.87, 59.1, ","58.54, 64.49, ",51.51,55.3
13,"00:00:55,388","00:00:57,390",[audience cheering],0,0.0,,,,55.39,57.39
14,"00:01:01,436","00:01:02,312",That's right.,1,1.230000000000004,"#6, ","65.46, ","66.69, ",61.44,62.31
15,"00:01:06,024","00:01:07,358",And after this shit...,0,0.0,,,,66.02,67.36
16,"00:01:08,735","00:01:10,820",it's time to make America wait again.,0,0.0,,,,68.73,70.82
