,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:10,010","00:00:12,246",[hip-hop music playing],0,0.0,,,,10.01,12.25
1,"00:00:17,117","00:00:19,720","[narrator]  The '80s and '90s were a storm of politics,",1,2.6000000000000014,"#1, ","18.58, ","21.18, ",17.12,19.72
2,"00:00:19,786","00:00:21,121","pop culture, sports,",0,0.0,,,,19.79,21.12
3,"00:00:21,188","00:00:24,391","and a new, groundbreaking genre of music called hip-hop.",0,0.0,,,,21.19,24.39
4,"00:00:26,927","00:00:28,428","Hip-hop was the sounding board,",0,0.0,,,,26.93,28.43
5,"00:00:28,495","00:00:31,798",revealing the hard-hitting issues that faced black America.,0,0.0,,,,28.5,31.8
6,"00:00:31,865","00:00:35,802","Steve Young reports on a new kind of cocaine, called crack.",0,0.0,,,,31.86,35.8
7,"00:00:35,869","00:00:38,739",[reporter]  Health officials said there has been a dramatic rise in AIDS,0,0.0,,,,35.87,38.74
8,"00:00:38,805","00:00:40,707",in the black and Hispanic communities.,0,0.0,,,,38.8,40.71
9,"00:00:40,774","00:00:41,775",Young America...,0,0.0,,,,40.77,41.77
10,"00:00:42,743","00:00:44,244",hold your head high now.,0,0.0,,,,42.74,44.24
11,"00:00:45,379","00:00:46,380",We can win.,0,0.0,,,,45.38,46.38
12,"00:00:47,114","00:00:49,983","[narrator]  In a time desperately in need of comic relief,",0,0.0,,,,47.11,49.98
13,"00:00:50,050","00:00:52,319",stand-up comedy exploded.,0,0.0,,,,50.05,52.32
14,"00:00:53,387","00:00:57,424",But many underground black comedians had yet to make the same breakthrough,0,0.0,,,,53.39,57.42
15,"00:00:57,491","00:00:58,725",as hip-hop musicians.,0,0.0,,,,57.49,58.73
16,"00:00:59,392","00:01:00,427","Noticing a void,",0,0.0,,,,59.39,60.43
17,"00:01:01,195","00:01:04,097","Russell Simmons partnered with comedy director Stan Lathan,",0,0.0,,,,61.2,64.1
18,"00:01:04,164","00:01:06,600","and together, they built a team",0,0.0,,,,64.16,66.6
19,"00:01:06,667","00:01:10,437",to discover and develop new and edgy comedic voices,0,0.0,,,,66.67,70.44
20,"00:01:10,503","00:01:13,139",that harnessed the same raw energy of hip-hop.,0,0.0,,,,70.5,73.14
21,"00:01:13,207","00:01:16,143","Then on July 1, 1992,",1,0.7199999999999989,"#2, ","75.48, ","76.2, ",73.21,76.14
22,"00:01:16,210","00:01:18,612",Def Comedy Jam  hit the airwaves.,1,6.560000000000002,"#3, ","78.14, ","84.7, ",76.21,78.61
