,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,588","00:00:07,757",<i>[gun cocks and fires]</i>,2,47.660000000000004,"#1, #2, ","7.81, 8.93, ","8.62, 55.78, ",5.59,7.76
1,"00:00:09,843","00:00:12,387",<i>[cheering and applause]</i>,0,0.0,,,,9.84,12.39
2,"00:00:16,808","00:00:19,936","<i>[announcer] </i><span style=""style_2"">Chicago, are you ready?</i>",0,0.0,,,,16.81,19.94
3,"00:00:20,020","00:00:22,397",<i>[cheering and applause]</i>,0,0.0,,,,20.02,22.4
4,"00:00:22,480","00:00:26,443","<i>Party goblins, are you ready?</i>",0,0.0,,,,22.48,26.44
5,"00:00:26,526","00:00:28,111",<i>[cheering and applause]</i>,0,0.0,,,,26.53,28.11
6,"00:00:28,194","00:00:29,738","<i>Ladies and gentlemen,</i>",0,0.0,,,,28.19,29.74
7,"00:00:29,821","00:00:31,573","<i>please welcome to the stage,</i>",0,0.0,,,,29.82,31.57
8,"00:00:31,656","00:00:33,825",<i>Iliza!</i>,0,0.0,,,,31.66,33.83
9,"00:00:33,908","00:00:37,912",<i>[cheering and applause]</i>,0,0.0,,,,33.91,37.91
10,"00:00:44,794","00:00:47,130",<i>[cheering and applause]</i>,0,0.0,,,,44.79,47.13
11,"00:00:51,176","00:00:53,803",<i>-Chicago!</i> <i>-[cheering]</i>,0,0.0,,,,51.18,53.8
12,"00:00:53,887","00:00:55,889",<i>-Thank you!</i> <i>-[cheering]</i>,0,0.0,,,,53.89,55.89
13,"00:00:57,724","00:00:59,100",<i>Thank you for having me.</i>,0,0.0,,,,57.72,59.1
14,"00:00:59,184","00:01:01,686",<i>I'd like to discuss something with you.</i>,1,2.460000000000001,"#3, ","61.43, ","63.89, ",59.18,61.69
15,"00:01:02,896","00:01:05,857",<i>There are two kinds of hungover.</i>,0,0.0,,,,62.9,65.86
16,"00:01:05,940","00:01:07,650",<i>[laughter]</i>,0,0.0,,,,65.94,67.65
17,"00:01:07,734","00:01:10,820",<i>There's the kind of hungover</i> <i>where you wake up the next morning</i>,1,1.309999999999988,"#4, ","67.76, ","69.07, ",67.73,70.82
18,"00:01:10,904","00:01:14,407","<i>and you're like,</i> <i>""What? I touched his penis over his jeans?</i>",1,3.8499999999999943,"#5, ","71.4, ","75.25, ",70.9,74.41
19,"00:01:14,491","00:01:17,786","<i>-It's okay, I'm sassy."" And then...</i> <i>-[laughter]</i>",0,0.0,,,,74.49,77.79
