,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,299","00:00:10,677",-[applause] -[man] Awesome.,0,0.0,,,,8.3,10.68
1,"00:00:11,386","00:00:12,512",How’s everyone doing?,0,0.0,,,,11.39,12.51
2,"00:00:12,595","00:00:14,055",My name is Joe Mande.,0,0.0,,,,12.6,14.05
3,"00:00:14,139","00:00:15,932","I’m a comedian, and in two weeks,",0,0.0,,,,14.14,15.93
4,"00:00:16,016","00:00:18,601",I am shooting my first one-hour comedy special.,1,3.3100000000000023,"#1, ","18.49, ","21.8, ",16.02,18.6
5,"00:00:18,685","00:00:20,770",[beeping],0,0.0,,,,18.68,20.77
6,"00:00:20,854","00:00:24,649","It sounds stupid to some people, but I take comedy very seriously.",0,0.0,,,,20.85,24.65
7,"00:00:24,733","00:00:26,943",<i>We forgot Domino’s delivered pizza.</i>,0,0.0,,,,24.73,26.94
8,"00:00:27,027","00:00:27,861",[audience laughing],0,0.0,,,,27.03,27.86
9,"00:00:27,944","00:00:30,071",[chuckles] That’s funny.,0,0.0,,,,27.94,30.07
10,"00:00:30,155","00:00:33,116","It’s my life. I eat, breathe, shit and fuck comedy.",1,1.870000000000001,"#2, ","31.94, ","33.81, ",30.16,33.12
11,"00:00:33,199","00:00:35,368",That’s why this special is such a big deal for me.,0,0.0,,,,33.2,35.37
12,"00:00:35,452","00:00:38,538","I have to get it just right, and I think if I can live up to my potential...",1,0.6999999999999957,"#3, ","35.59, ","36.29, ",35.45,38.54
13,"00:00:39,456","00:00:41,041",I can win the American Humour Award.,0,0.0,,,,39.46,41.04
14,"00:00:42,417","00:00:45,128",It’s the most prestigious award in comedy.,0,0.0,,,,42.42,45.13
15,"00:00:45,211","00:00:47,464",All the legends of this industry have won it:,0,0.0,,,,45.21,47.46
16,"00:00:47,547","00:00:51,301","Whoopi Goldberg, Seinfeld, Todd Barry.",0,0.0,,,,47.55,51.3
17,"00:00:51,384","00:00:52,886",The list goes on on and on.,0,0.0,,,,51.38,52.89
18,"00:00:53,553","00:00:56,556","{\an8}And as you can see, I made some room right here on my bookshelf",0,0.0,,,,53.55,56.56
19,"00:00:56,639","00:00:58,641",{\an8}for the American Humour Award trophy.,0,0.0,,,,56.64,58.64
20,"00:01:00,351","00:01:02,479","Kind of lonely there right now, but it’ll look good.",0,0.0,,,,60.35,62.48
21,"00:01:03,021","00:01:05,023","{\an8}Well, thanks for meeting me, guys.",0,0.0,,,,63.02,65.02
22,"00:01:05,106","00:01:08,860","{\an8}I thought, since we’re friends and you both have won the American Humour Award,",0,0.0,,,,65.11,68.86
23,"00:01:08,943","00:01:12,113",I thought I could get a little quick advice from you.,1,0.9500000000000028,"#4, ","70.36, ","71.31, ",68.94,72.11
24,"00:01:12,197","00:01:15,450",You think you can win an American Humour Award in your first special?,0,0.0,,,,72.2,75.45
25,"00:01:16,159","00:01:18,411","{\an8}-Um, yeah. -He has the personality, first of all.",0,0.0,,,,76.16,78.41
26,"00:01:18,495","00:01:20,121","{\an8}When he walks out, everybody’s gonna like him.",0,0.0,,,,78.5,80.12
27,"00:01:20,205","00:01:22,373",{\an8}The judges are gonna like him. You’re aware there are judges?,1,0.7199999999999989,"#5, ","81.06, ","81.78, ",80.2,82.37
28,"00:01:22,457","00:01:25,627",But the judges-- It’s not just about him and the material.,0,0.0,,,,82.46,85.63
29,"00:01:25,710","00:01:28,421","It’s the set design, it’s his wardrobe.",0,0.0,,,,85.71,88.42
30,"00:01:28,505","00:01:31,299",The intro is huge for the judges. You know the judges are gonna be there?,1,0.6599999999999966,"#6, ","90.16, ","90.82, ",88.5,91.3
31,"00:01:31,382","00:01:35,345",I just need to know what I need to do to win. What’s the process?,1,0.9099999999999966,"#7, ","94.89, ","95.8, ",91.38,95.34
32,"00:01:35,428","00:01:37,680",This is what the judges want out of an intro. For real.,0,0.0,,,,95.43,97.68
33,"00:01:37,764","00:01:39,432","Smart, smart. Yeah.",1,1.2199999999999989,"#8, ","97.9, ","99.12, ",97.76,99.43
34,"00:01:39,516","00:01:40,892",-You’re shooting in New York? -Correct.,0,0.0,,,,99.52,100.89
35,"00:01:40,975","00:01:44,437","Black-and-white, slow-mo, shots of the city.",0,0.0,,,,100.97,104.44
36,"00:01:44,521","00:01:47,232",You and the city and the people and the traffic and the--,1,0.9899999999999949,"#9, ","107.0, ","107.99, ",104.52,107.23
37,"00:01:47,315","00:01:49,484","-Yeah. -All that shit, like hot dog carts.",0,0.0,,,,107.31,109.48
38,"00:01:49,567","00:01:51,069",-Yeah. Taxis. -Horses.,0,0.0,,,,109.57,111.07
39,"00:01:51,152","00:01:53,321",So really just emphasize that I’m in New York.,0,0.0,,,,111.15,113.32
