,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:10,886",America's public enemy number one in the United States is drug abuse.,0,0.0,,,,5.0,10.89
1,"00:00:11,929","00:00:14,306","<i>In order to fight and defeat this enemy,</i>",0,0.0,,,,11.93,14.31
2,"00:00:14,389","00:00:18,560",it is necessary to wage a new all-out offensive.,0,0.0,,,,14.39,18.56
3,"00:00:19,978","00:00:22,689",<i>We have not only the responsibility but the authority</i>,0,0.0,,,,19.98,22.69
4,"00:00:22,773","00:00:26,985",<i>to see that we wage this offensive effectively and in a coordinated way.</i>,0,0.0,,,,22.77,26.98
5,"00:00:27,736","00:00:30,280","Finally, in order for this program to be effective,",0,0.0,,,,27.74,30.28
6,"00:00:30,364","00:00:32,533",<i>the American people all join in it.</i>,0,0.0,,,,30.36,32.53
7,"00:00:48,215","00:00:53,303","<i> Brooklyn,</i> <i>give it up for the Lucas Brothers!</i>",0,0.0,,,,48.22,53.3
8,"00:01:21,582","00:01:24,584","- Sorry for walking around you. - No, it's all good.",0,0.0,,,,81.58,84.58
9,"00:01:24,668","00:01:26,479",- How are you guys doing? - You guys all right?,1,3.0700000000000074,"#1, ","86.19, ","89.26, ",84.67,86.48
10,"00:01:26,503","00:01:27,504",You all right?,0,0.0,,,,86.5,87.5
11,"00:01:29,631","00:01:30,924",- Cool. - Yeah.,1,1.75,"#2, ","90.51, ","92.26, ",89.63,90.92
12,"00:01:33,051","00:01:36,388",You're probably wondering why we got all this shit up here.,0,0.0,,,,93.05,96.39
13,"00:01:36,471","00:01:37,472",Yeah.,1,1.4299999999999926,"#3, ","96.62, ","98.05, ",96.47,97.47
14,"00:01:39,224","00:01:41,310",- It's Richard Nixon. - Yep. It's Richard.,1,1.3200000000000074,"#4, ","101.36, ","102.68, ",99.22,101.31
15,"00:01:42,227","00:01:45,772",Sir Richard. Thirty-seventh President of the United States.,1,0.5900000000000034,"#5, ","105.8, ","106.39, ",102.23,105.77
16,"00:01:45,856","00:01:46,857",Yep.,0,0.0,,,,105.86,106.86
17,"00:01:46,940","00:01:48,942","- He was an asshole. - Yes, he was.",1,1.8999999999999915,"#6, ","108.26, ","110.16, ",106.94,108.94
18,"00:01:50,402","00:01:51,903",- An asshole. - Yeah.,0,0.0,,,,110.4,111.9
19,"00:01:51,987","00:01:56,658","We like to start all of our sets by saying, ""Fuck Richard Nixon""",1,1.6899999999999977,"#7, ","116.36, ","118.05, ",111.99,116.66
20,"00:01:57,868","00:02:00,037",- because it gives us motivation. - That's right.,1,1.9799999999999898,"#8, ","119.87, ","121.85, ",117.87,120.04
21,"00:02:01,622","00:02:03,165","So, fuck Richard Nixon.",1,8.329999999999998,"#9, ","122.71, ","131.04, ",121.62,123.17
22,"00:02:05,459","00:02:06,585",Fuck him.,0,0.0,,,,125.46,126.58
23,"00:02:10,922","00:02:12,966",You're probably wondering why we hate him so much.,1,1.7299999999999898,"#10, ","133.03, ","134.76, ",130.92,132.97
24,"00:02:14,843","00:02:17,679","The War on Drugs, man.",0,0.0,,,,134.84,137.68
25,"00:02:18,639","00:02:21,933","Or, as we like to call it, ""The War on Niggas Who Just Want to Have Fun.""",0,0.0,,,,138.64,141.93
26,"00:02:22,017","00:02:23,018",That's right.,1,4.22999999999999,"#11, ","142.62, ","146.85, ",142.02,143.02
27,"00:02:24,561","00:02:25,937",That's all we want to do.,0,0.0,,,,144.56,145.94
28,"00:02:26,688","00:02:28,458","I mean, if white women can have fun, why can't we?",0,0.0,,,,146.69,148.46
29,"00:02:28,482","00:02:29,775","We can have fun, too.",1,1.6800000000000068,"#12, ","149.25, ","150.93, ",148.48,149.78
30,"00:02:32,361","00:02:34,071",- We're niggas. - Mm-hmm.,1,1.4199999999999875,"#13, ","153.93, ","155.35, ",152.36,154.07
31,"00:02:35,238","00:02:37,491","We've done a lot of drugs, and we've had a lot of fun.",1,2.9599999999999795,"#14, ","157.46, ","160.42, ",155.24,157.49
32,"00:02:37,574","00:02:38,575",That's right.,0,0.0,,,,157.57,158.57
33,"00:02:40,327","00:02:42,496",But you can't do all types of drugs.,0,0.0,,,,160.33,162.5
34,"00:02:42,579","00:02:44,456",No. All drugs aren't created equal.,1,1.0900000000000034,"#15, ","162.64, ","163.73, ",162.58,164.46
35,"00:02:44,539","00:02:45,540",That's right.,1,1.5400000000000205,"#16, ","164.79, ","166.33, ",164.54,165.54
36,"00:02:46,541","00:02:48,585","- Abraham Lincoln said that. - That's right, man.",1,2.4399999999999977,"#17, ","167.83, ","170.27, ",166.54,168.59
37,"00:02:49,628","00:02:51,022",But all drugs aren't created equal.,0,0.0,,,,169.63,171.02
38,"00:02:51,046","00:02:55,008",We did shrooms a year ago for the very first time.,0,0.0,,,,171.05,175.01
39,"00:02:55,092","00:02:56,134",Yeah.,0,0.0,,,,175.09,176.13
40,"00:02:56,218","00:02:57,928",And here's a rule of thumb:,0,0.0,,,,176.22,177.93
41,"00:02:58,011","00:03:00,680",You should never do shrooms with a dude who looks like you.,1,10.030000000000001,"#18, ","180.67, ","190.7, ",178.01,180.68
42,"00:03:00,764","00:03:01,890",I'm telling you.,0,0.0,,,,180.76,181.89
43,"00:03:10,857","00:03:12,251",- Some weird shit. - It was terrible.,0,0.0,,,,190.86,192.25
44,"00:03:12,275","00:03:14,528",It was weird. It was weird.,2,4.539999999999992,"#19, #20, ","192.55, 195.85, ","194.95, 197.99, ",192.28,194.53
45,"00:03:17,823","00:03:19,574",- Stick to weed. - That's right.,1,2.530000000000001,"#21, ","199.4, ","201.93, ",197.82,199.57
46,"00:03:21,201","00:03:22,202",That's right.,1,1.5300000000000011,"#22, ","202.19, ","203.72, ",201.2,202.2
47,"00:03:23,120","00:03:25,122",- We smoke a lot of weed. - Mm-hmm.,1,1.4399999999999977,"#23, ","205.69, ","207.13, ",203.12,205.12
48,"00:03:27,999","00:03:31,128",One of our favorite things to do is to smoke weed on the job.,0,0.0,,,,208.0,211.13
49,"00:03:31,211","00:03:33,171",- That's what we like doing. - Mm-hmm.,1,1.4799999999999898,"#24, ","212.0, ","213.48, ",211.21,213.17
50,"00:03:33,255","00:03:36,466","Because it's a sure-fire way to get fired, right?",0,0.0,,,,213.25,216.47
51,"00:03:37,426","00:03:39,469",- Jobs don't like when you smoke. - No.,0,0.0,,,,217.43,219.47
52,"00:03:39,553","00:03:41,555","Like, we worked for a cable company,",0,0.0,,,,219.55,221.56
53,"00:03:41,638","00:03:45,100","and every time during our lunch break, we'd smoke weed.",0,0.0,,,,221.64,225.1
