,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:36,995","00:00:39,664",[audience chattering],0,0.0,,,,36.99,39.66
1,"00:00:50,508","00:00:52,886","[man]  Ladies and gentlemen, Patton Oswalt.",0,0.0,,,,50.51,52.89
2,"00:00:52,969","00:00:55,805","[cheering, applause]",1,34.230000000000004,"#0, ","53.06, ","87.29, ",52.97,55.8
3,"00:01:08,359","00:01:11,988","[chuckles] Thank you. Okay, guys, please. Thank you.",0,0.0,,,,68.36,71.99
4,"00:01:12,489","00:01:15,533","Thank you. Thank you, guys.",0,0.0,,,,72.49,75.53
5,"00:01:19,287","00:01:20,538","Oh, thank you!",0,0.0,,,,79.29,80.54
6,"00:01:23,041","00:01:25,168",Thank you. Thank you all.,0,0.0,,,,83.04,85.17
7,"00:01:25,251","00:01:28,671","Please! Oh, dear God in heaven!",0,0.0,,,,85.25,88.67
8,"00:01:28,755","00:01:31,090",Thank you for that. Wow! Um--,1,0.9299999999999926,"#1, ","90.98, ","91.91, ",88.75,91.09
9,"00:01:31,841","00:01:36,221",Thank you guys for coming out and being so enthusiastic,0,0.0,,,,91.84,96.22
10,"00:01:36,304","00:01:40,183","and… happy about, like… um--",1,8.22999999999999,"#2, ","96.43, ","104.66, ",96.3,100.18
11,"00:01:44,145","00:01:47,398","I’m genuinely-- I’m genuinely surprised that you’re in such a good mood,",0,0.0,,,,104.14,107.4
12,"00:01:47,482","00:01:48,983",especially with what--,0,0.0,,,,107.48,108.98
13,"00:01:49,067","00:01:52,445",I’m sure you guys saw what just went down on Twitter five minutes ago.,0,0.0,,,,109.07,112.44
14,"00:01:52,529","00:01:53,947",Did you-- You didn’t see?,0,0.0,,,,112.53,113.95
15,"00:01:54,531","00:01:55,657",The-- No?,0,0.0,,,,114.53,115.66
16,"00:01:55,740","00:01:56,866",I’m kidding. Nothing happened.,0,0.0,,,,115.74,116.87
17,"00:01:56,950","00:02:01,371",But that’s the world we’re living in right now basically is every--,0,0.0,,,,116.95,121.37
18,"00:02:01,454","00:02:03,998","“Oh, fuck, what did he do? What? Wait. What do you mean?”",1,1.1500000000000057,"#3, ","122.94, ","124.09, ",121.45,124.0
19,"00:02:05,875","00:02:08,795",I almost feel like I could get out of a mugging using that,0,0.0,,,,125.88,128.79
20,"00:02:08,878","00:02:11,005",for the next couple of years.,0,0.0,,,,128.88,131.0
21,"00:02:11,089","00:02:13,758","Like if someone put a gun in my face, “Give me your wallet.”",0,0.0,,,,131.09,133.76
22,"00:02:13,842","00:02:16,803","“You know what, take my keys, man. It’s over. Go check Twitter.”",0,0.0,,,,133.84,136.8
23,"00:02:16,886","00:02:18,388",“What?” I just bolt. Like I could…,1,4.710000000000008,"#4, ","138.48, ","143.19, ",136.89,138.39
24,"00:02:19,848","00:02:23,393",make it… to survive. [chuckles],0,0.0,,,,139.85,143.39
25,"00:02:24,310","00:02:27,730","Because that was-- My routine in the morning is, uh,",1,0.7400000000000091,"#5, ","144.59, ","145.33, ",144.31,147.73
26,"00:02:27,814","00:02:30,191","the alarm goes off on my phone, I get up.",0,0.0,,,,147.81,150.19
27,"00:02:30,275","00:02:34,404","Have I had any calls, any texts? Okay. I check e-mail, then I check Twitter.",0,0.0,,,,150.28,154.4
28,"00:02:34,487","00:02:38,449",And now my feet are on the ground and I can start my day.,0,0.0,,,,154.49,158.45
29,"00:02:38,533","00:02:41,452","And now the routine’s the same, except the alarm goes off.",0,0.0,,,,158.53,161.45
30,"00:02:41,536","00:02:44,539","Okay, any calls, any texts? All right. Check e-mail.",0,0.0,,,,161.54,164.54
31,"00:02:44,622","00:02:48,793","But I check Twitter like this now, “Oh, shit!",1,1.1500000000000057,"#6, ","167.38, ","168.53, ",164.62,168.79
32,"00:02:48,877","00:02:51,462","Oh, what did he do? What did he do?”",1,1.2300000000000182,"#7, ","170.1, ","171.33, ",168.88,171.46
33,"00:02:51,546","00:02:56,217","And no matter what is trending, I immediately link it to Trump",0,0.0,,,,171.55,176.22
34,"00:02:56,301","00:02:58,469","and it’s bad, like, in my head.",1,1.0,"#8, ","177.79, ","178.79, ",176.3,178.47
