,filename,laughs,start,end,threshold,duration
0,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_0.wav,23.07,24.78,0.5,0.5
1,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_1.wav,25.09,30.54,0.5,0.5
2,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_2.wav,32.14,33.2,0.5,0.5
3,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_3.wav,52.64,56.75,0.5,0.5
4,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_4.wav,63.35,65.03,0.5,0.5
5,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_5.wav,89.05,93.15,0.5,0.5
6,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_6.wav,97.71,98.86,0.5,0.5
7,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_7.wav,100.65,102.13,0.5,0.5
8,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_8.wav,104.08,105.74,0.5,0.5
9,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_9.wav,106.11,109.12,0.5,0.5
10,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_10.wav,110.27,112.56,0.5,0.5
11,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_11.wav,113.94,115.26,0.5,0.5
12,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_12.wav,117.66,118.81,0.5,0.5
13,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_13.wav,119.38,121.05,0.5,0.5
14,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_14.wav,122.48,124.13,0.5,0.5
15,rory.scovel.tries.stand.up.for.the.first.time.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_15.wav,126.54,128.75,0.5,0.5
