,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:16,016","00:00:17,601",[train horn honking],0,0.0,,,,16.02,17.6
1,"00:00:31,490","00:00:34,117","♪ <i>Well, you can tell by the way</i> <i>I use my walk</i> ♪",0,0.0,,,,31.49,34.12
2,"00:00:34,201","00:00:36,745",♪ <i>I’m a woman’s man</i> <i>No time to talk</i> ♪,0,0.0,,,,34.2,36.74
3,"00:00:36,828","00:00:38,539",♪ <i>Music loud and women warm</i> ♪,0,0.0,,,,36.83,38.54
4,"00:00:38,622","00:00:40,832",♪ <i>I’ve been kicked around</i> <i>Since I was born</i> ♪,0,0.0,,,,38.62,40.83
5,"00:00:40,916","00:00:43,293",♪ <i>And now it’s all right</i> <i>It’s okay</i> ♪,0,0.0,,,,40.92,43.29
6,"00:00:43,377","00:00:45,545",♪ <i>And you may look the other way</i> ♪,0,0.0,,,,43.38,45.55
7,"00:00:45,629","00:00:47,673",♪ <i>We can try to understand</i> ♪,0,0.0,,,,45.63,47.67
8,"00:00:47,756","00:00:49,758",♪ <i>The </i>New York Times’ <i>effect on man</i> ♪,0,0.0,,,,47.76,49.76
9,"00:00:49,841","00:00:51,903",♪ <i>Whether you’re a brother</i> <i>Or whether you’re a mother</i> ♪,0,0.0,,,,49.84,51.9
10,"00:00:51,927","00:00:54,388","♪ <i>You’re stayin’ alive, stayin’ alive</i> ♪",0,0.0,,,,51.93,54.39
11,"00:00:54,471","00:00:56,324",♪ <i>Feel the city breakin’</i> <i>And everybody shakin’</i> ♪,0,0.0,,,,54.47,56.32
12,"00:00:56,348","00:00:57,182",♪ <i>And we’re stayin’ alive</i> ♪,0,0.0,,,,56.35,57.18
13,"00:00:57,266","00:00:59,309",- One or two? - Let me get three.,0,0.0,,,,57.27,59.31
14,"00:00:59,851","00:01:00,851",Three.,0,0.0,,,,59.85,60.85
15,"00:01:01,353","00:01:02,938","How you feelin’, Tracy?",0,0.0,,,,61.35,62.94
16,"00:01:04,314","00:01:05,399",Who’s Tracy?,0,0.0,,,,64.31,65.4
