,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:13,296","00:00:16,005",<i>♪ Sometimes I feel so happy ♪</i>,line_0000.wav,5.1211,48.568283,-1.0,49.568283,15.432282999999998,0.8637627432808156,0.015227925,0.007141798299999999,0.024450452999999997,0.017308654,0.003941665,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,13.3,16.0
1,"00:00:19,463","00:00:21,588",<i>♪ Sometimes I feel so sad ♪</i>,line_0001.wav,15.312744,58.643616,-1.0,59.643616,21.690409,0.6361474435196195,0.015994564,0.00868602,0.022963597999999998,0.014277578,0.0036046998999999997,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.46,21.59
2,"00:00:25,005","00:00:27,296",<i>♪ Sometimes I feel so happy ♪</i>,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0162998,0.006542482,0.028473578,0.021931097000000004,0.004333104,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,25.0,27.3
3,"00:00:29,088","00:00:32,838",<i>♪ But mostly you just make me mad ♪</i>,line_0003.wav,7.165342999999999,76.5625,-1.0,77.5625,19.697231,0.8484646194926568,0.01476806,0.004961293,0.035186626,0.030225332999999997,0.0044243684999999994,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.09,32.84
4,"00:00:35,296","00:00:38,796","<i>♪ Baby, you just make me mad ♪</i>",line_0004.wav,8.751508,66.415665,-1.0,67.415665,19.185579999999998,0.7919366450683946,0.015066082,0.007139645500000001,0.03192724,0.024787594,0.004700898,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,35.3,38.8
5,"00:00:42,838","00:00:47,255",<i>♪ Linger on ♪</i>,line_0005.wav,11.151375999999999,69.33962,-1.0,70.33962,22.23871,0.7628458498023716,0.014237241000000001,0.006808409499999999,0.03148861,0.024680200000000003,0.0042990674,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,42.84,47.26
6,"00:00:47,880","00:00:50,880",<i>♪ Your pale blue eyes ♪</i>,line_0006.wav,16.604232999999997,67.63804,-1.0,68.63804,23.486313,0.6333052985702271,0.013859483999999998,0.007281305,0.0218682,0.014586894,0.0034965596000000004,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,47.88,50.88
7,"00:00:54,505","00:00:56,171",<i>♪ Linger on ♪</i>,line_0007.wav,5.819128,53.519417000000004,-1.0,54.519417000000004,16.543955,0.8534743202416919,0.01503113,0.009046102,0.024504183,0.015458081,0.00369859,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,54.51,56.17
8,"00:00:58,171","00:01:00,046",<i>Aziz Ansari's </i>Right Now!,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013417773999999999,0.008147732,0.022788081,0.014640348999999999,0.0032749102000000003,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,58.17,60.05
9,"00:01:00,755","00:01:03,838",<i>Aziz Ansari!</i>,line_0009.wav,6.794242,45.55785,-1.0,46.55785,16.81462,0.8230519480519479,0.013430382,0.005424361700000001,0.020884732,0.01546037,0.0028234837,,,,,,,,,,,,,,,,,,,,,1,1.4799999999999969,"#0, ","62.43, ","63.91, ",60.76,63.84
10,"00:01:08,713","00:01:11,171",<i>♪ Thought of you as my mountaintop ♪</i>,line_0010.wav,7.0974580000000005,68.478264,-1.0,69.478264,19.711786,0.8532110091743119,0.017463006,0.009332905,0.027958186,0.018625282,0.0042087897,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,68.71,71.17
11,"00:01:14,546","00:01:16,713",<i>♪ Thought of you as my peak ♪</i>,line_0011.wav,18.415009,55.40201,-1.0,56.40201,22.869987,0.5789473684210527,0.015978092,0.0071015162,0.02794659,0.020845073999999998,0.0040888283,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,2.5,0.125,0.6875,0.1875,3.333333333333333,0.611077606678009,0.8333333333333334,6.0,"['thought_of', 'of_you', 'you_as', 'as_my', 'my_peak']",0.0,0.21415340900421145,2.5,2.768804799261668,2.768804799261668,0,0.0,,,,74.55,76.71
12,"00:01:20,505","00:01:22,963",<i>Thought of you as everything</i>,line_0012.wav,22.564554,81.06618,-1.0,82.06618,26.134079,0.5402061855670103,0.01513394,0.0045143985,0.033297144,0.028782746,0.0056006075,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.875,0.125,4.8,0.6949867606163025,0.8,5.0,"['thought_of', 'of_you', 'you_as', 'as_everything']",0.0,0.4091709852218628,2.0,2.0341741253051278,2.8478437754271786,1,0.7199999999999989,"#1, ","83.8, ","84.52, ",80.5,82.96
13,"00:01:25,255","00:01:28,005",<i>I've had but couldn't keep</i>,line_0013.wav,15.162956,72.5329,-1.0,73.5329,23.184002,0.6660617059891107,0.016757301999999998,0.007946299,0.028235062999999998,0.020288764,0.0049948893,0.0,0.2,0.0,0.0,0.0,0.8,3.0,0.15625,0.71875,0.125,3.2857142857142856,0.8126071095466614,0.8571428571428572,7.0,"['i_have', 'have_had', 'had_but', 'but_could', 'could_not', 'not_keep']",0.0,0.39485779404640203,3.0,2.5454545454545454,2.5454545454545454,0,0.0,,,,85.25,88.0
14,"00:01:31,046","00:01:33,880",<i>I've had but couldn't keep</i>,line_0014.wav,11.429184,90.36885,-1.0,91.36885,23.090445000000003,0.7643932683790965,0.017320458,0.0047424557,0.031918496,0.027176041,0.00647968,0.0,0.2,0.0,0.0,0.0,0.8,3.0,0.15625,0.71875,0.125,3.2857142857142856,0.8126071095466614,0.8571428571428572,7.0,"['i_have', 'have_had', 'had_but', 'but_could', 'could_not', 'not_keep']",0.0,0.39485779404640203,3.0,2.4700070571630297,2.4700070571630297,0,0.0,,,,91.05,93.88
15,"00:01:33,963","00:01:37,171",Thank you. Thank you very much!,line_0015.wav,17.492420000000003,62.288136,-1.0,63.288136,23.720167,0.6149019607843137,0.015138451,0.008559166,0.01944419,0.0108850235,0.0019416397,0.0,0.5,0.0,0.0,0.0,0.5,2.5,0.0625,0.84375,0.09375,4.0,0.7721424102783203,0.8333333333333334,6.0,"['thank_you', 'you_thank', 'thank_you', 'you_very', 'very_much']",0.0,0.4849710166454315,2.5,1.8703241895261769,2.18204488778054,1,0.7099999999999937,"#2, ","95.34, ","96.05, ",93.96,97.17
16,"00:01:37,588","00:01:38,963",Thank you. Thanks.,line_0016.wav,2.683236,63.728325,-1.0,64.728325,12.6732855,0.9206642066420664,0.012713861000000002,0.007825677,0.016468313999999998,0.008642637,0.0021399995000000002,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,4.666666666666667,0.8531628251075745,0.6666666666666667,3.0,"['thank_you', 'you_thanks']",0.0,0.4749234318733215,1.0,2.1818181818181817,2.1818181818181817,2,4.730000000000004,"#3, #4, ","97.84, 100.55, ","99.03, 104.09, ",97.59,98.96
