,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:14,431","00:00:16,891",[cheers and applause],line_0000.wav,7.5183063,81.06618,-1.0,82.06618,21.53033,0.8568507157464212,0.114026904,0.08948009,0.14560354,0.05612345,0.012063586999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.43,16.89
1,"00:00:19,519","00:00:22,188","{\an8}All right, thank you!",line_0001.wav,6.4904910000000005,94.23076999999999,-1.0,95.23076999999999,21.881933,0.8889934148635936,0.09766613,0.071974315,0.1383573,0.06638298,0.015330838999999999,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.875,0.125,4.25,0.713990330696106,0.75,4.0,"['8all_right', 'right_thank', 'thank_you']",0.0,0.0,1.5,1.4986886474334955,1.1240164855751216,0,0.0,,,,19.52,22.19
2,"00:00:22,272","00:00:24,107",{\an8}Thank you very much!,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.10164745,0.069033735,0.13769688,0.06866314,0.019210383,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.125,0.6875,0.1875,4.25,0.7721424102783203,0.75,4.0,"['8thank_you', 'you_very', 'very_much']",0.0,0.0,1.5,2.1798365122615797,2.1798365122615797,0,0.0,,,,22.27,24.11
3,"00:00:24,190","00:00:27,610",Thank you. Thank you. Thank you. How are you?,line_0003.wav,4.108788,60.245903000000006,-1.0,61.245903000000006,14.994093,0.8948905109489051,0.09293421,0.06362988,0.13723987,0.07360999,0.016462747,0.0,0.2,0.0,0.0,0.0,0.8,4.0,0.03125,0.90625,0.0625,3.6666666666666665,0.7103059887886047,0.8888888888888888,9.0,"['thank_you', 'you_thank', 'thank_you', 'you_thank', 'thank_you', 'you_how', 'how_are', 'are_you']",0.0,0.2809888422489166,4.0,2.6315789473684226,2.6315789473684226,0,0.0,,,,24.19,27.61
4,"00:00:27,694","00:00:29,946",What's going on?,line_0004.wav,8.026563000000001,131.25,-1.0,132.25,31.446892,0.9229050279329608,0.082604915,0.042726427000000004,0.13512751,0.09240109,0.027918506000000003,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.5,0.0625,0.8125,0.125,3.25,0.7354308366775513,0.75,4.0,"['what_is', 'is_going', 'going_on']",0.0,0.3106151223182678,1.5,1.7761989342806377,2.2202486678507967,0,0.0,,,,27.69,29.95
5,"00:00:30,030","00:00:31,364",Thank you.,line_0005.wav,12.484158,67.22561,-1.0,68.22561,24.49401,0.7671755725190841,0.07793707400000001,0.056441455999999994,0.11871924,0.062277785999999995,0.018009653,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.499250374812594,1.499250374812594,0,0.0,,,,30.03,31.36
6,"00:00:31,448","00:00:35,118",It's a pleasure to be here,line_0006.wav,37.767445,118.54838600000001,-1.0,119.54838600000001,41.064754,0.4702258726899384,0.06891824,0.024800826,0.14037952,0.115578696,0.033866134,0.0,0.2,0.2,0.2,0.0,0.4,3.0,0.0625,0.8125,0.125,3.0,0.7129520773887634,0.8571428571428572,7.0,"['it_is', 'is_a', 'a_pleasure', 'pleasure_to', 'to_be', 'be_here']",0.0,0.3372532427310944,3.0,1.907356948228882,2.1798365122615797,1,5.089999999999996,"#1, ","33.2, ","38.29, ",31.45,35.12
7,"00:00:35,201","00:00:40,498","in the greater Atlanta, Georgia, area, this oasis.",line_0007.wav,15.726644,129.70588999999998,-1.0,130.70588999999998,27.089363,0.6991984912776992,0.03912434,0.0027544465999999996,0.13945688,0.13670243,0.030113911,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,3.5,0.0,1.0,0.0,4.875,0.8153306245803833,0.875,8.0,"['in_the', 'the_greater', 'greater_atlanta', 'atlanta_georgia', 'georgia_area', 'area_this', 'this_oasis']",0.0,0.0709434375166893,3.5,1.5102888427411751,3.0205776854823503,0,0.0,,,,35.2,40.5
8,"00:00:42,542","00:00:45,128",It's nice to be here. I don't know why I came here in June.,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.014992171,0.0049519559999999995,0.05661821,0.051666252,0.007837795,0.09090909090909093,0.3636363636363637,0.0,0.0,0.09090909090909093,0.4545454545454545,7.5,0.09722222222222222,0.75,0.1527777777777778,2.75,0.8612554669380188,0.9375,16.0,"['it_is', 'is_nice', 'nice_to', 'to_be', 'be_here', 'here_i', 'i_do', 'do_not', 'not_know', 'know_why', 'why_i', 'i_came', 'came_here', 'here_in', 'in_june']",0.0,0.08823644369840622,7.5,6.1871616395978375,6.1871616395978375,1,2.029999999999994,"#2, ","43.2, ","45.23, ",42.54,45.13
9,"00:00:45,211","00:00:48,590",It's nice to be here. Wasn't thinking.,line_0009.wav,21.19223,99.324326,-1.0,100.324326,29.939629999999998,0.6117734724292101,0.03427211,0.0031899371999999995,0.11884926,0.11565933,0.033406217,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,4.0,0.14285714285714285,0.625,0.23214285714285715,3.333333333333333,0.8306507468223572,0.8888888888888888,9.0,"['it_is', 'is_nice', 'nice_to', 'to_be', 'be_here', 'here_was', 'was_not', 'not_thinking']",0.0,0.3583620488643646,4.0,2.6635099141757883,2.95945546019532,2,1.2899999999999991,"#3, #4, ","48.03, 49.53, ","48.61, 50.24, ",45.21,48.59
