,filename,laughs,start,end,threshold,duration
1,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_1.wav,11.35,14.69,0.7,0.3
2,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_2.wav,18.04,21.62,0.7,0.3
3,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_3.wav,22.38,41.95,0.7,0.3
4,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_4.wav,48.16,49.06,0.7,0.3
5,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_5.wav,50.37,50.87,0.7,0.3
6,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_6.wav,64.48,65.44,0.7,0.3
7,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_7.wav,107.22,109.38,0.7,0.3
8,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_8.wav,114.5,115.02,0.7,0.3
9,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_9.wav,116.26,117.39,0.7,0.3
10,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_10.wav,133.87,134.89,0.7,0.3
11,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_11.wav,143.84,144.83,0.7,0.3
12,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_12.wav,146.69,148.61,0.7,0.3
13,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_13.wav,167.23,167.81,0.7,0.3
14,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_14.wav,170.91,171.35,0.7,0.3
15,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_15.wav,186.34,192.82,0.7,0.3
16,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_16.wav,206.04,209.79,0.7,0.3
17,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_17.wav,218.38,221.64,0.7,0.3
18,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_18.wav,240.49,241.9,0.7,0.3
19,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_19.wav,249.57,251.13,0.7,0.3
20,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_20.wav,252.9,253.97,0.7,0.3
21,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_21.wav,269.5,270.5,0.7,0.3
22,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_22.wav,290.92,292.11,0.7,0.3
23,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_23.wav,294.44,294.77,0.7,0.3
24,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_24.wav,305.31,306.27,0.7,0.3
25,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_25.wav,337.22,338.11,0.7,0.3
26,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_26.wav,345.13,346.37,0.7,0.3
27,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_27.wav,367.53,368.06,0.7,0.3
28,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_28.wav,373.38,374.24,0.7,0.3
29,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_29.wav,378.78,380.58,0.7,0.3
30,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_30.wav,412.76,414.4,0.7,0.3
31,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_31.wav,422.97,424.78,0.7,0.3
32,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_32.wav,426.13,427.65,0.7,0.3
33,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_33.wav,438.41,440.72,0.7,0.3
34,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_34.wav,457.97,459.11,0.7,0.3
35,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_35.wav,469.57,470.92,0.7,0.3
36,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_36.wav,472.73,474.64,0.7,0.3
37,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_37.wav,479.05,480.21,0.7,0.3
38,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_38.wav,485.32,487.07,0.7,0.3
39,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_39.wav,496.73,497.96,0.7,0.3
40,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_40.wav,501.45,503.17,0.7,0.3
41,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_41.wav,504.96,505.78,0.7,0.3
42,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_42.wav,509.36,510.92,0.7,0.3
43,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_43.wav,514.27,514.95,0.7,0.3
44,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_44.wav,528.82,529.69,0.7,0.3
45,Bill.Burr.Paper.Tiger.2019.iNTERNAL.1080p.WEB.X264-AMRAP-music.wav,/laughs/laugh_45.wav,537.34,543.65,0.7,0.3
