,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,005","00:00:09,342","[woman on TV] <i>That has been, really,</i> <i>a difficult thing for me.</i>",line_0000.wav,12.390578,64.09884,-1.0,65.09884,21.633097,0.7203007518796992,0.0044655586,0.0018914167000000002,0.010321578,0.0084301615,0.0018417902,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,4.0,0.175,0.6,0.225,4.111111111111111,0.8262136578559875,0.8888888888888888,9.0,"['that_has', 'has_been', 'been_really', 'really_a', 'a_difficult', 'difficult_thing', 'thing_for', 'for_me']",0.0,0.33271270990371704,4.0,2.697033263410248,3.5960443512136644,0,0.0,,,,6.0,9.34
1,"00:00:09,426","00:00:12,762",<i>My mother has always been</i> <i>a very difficult person all her life.</i>,line_0001.wav,28.788342,94.23076999999999,-1.0,95.23076999999999,25.959288,0.4092953523238381,0.004542364,0.0012695062,0.010360857,0.00909135,0.0018129791,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.0,0.16666666666666666,5.5,0.125,0.7916666666666666,0.08333333333333333,4.25,0.7919117212295532,0.9166666666666666,12.0,"['my_mother', 'mother_has', 'has_always', 'always_been', 'been_a', 'a_very', 'very_difficult', 'difficult_person', 'person_all', 'all_her', 'her_life']",0.0,0.3074277639389038,5.5,3.5971223021582728,5.395683453237409,0,0.0,,,,9.43,12.76
2,"00:00:12,846","00:00:16,641",<i>Very unhappy. I can never remember</i> <i>my mother being happy.</i>,line_0002.wav,5.331108,64.85294,-1.0,65.85294,17.605997,0.8841826604897419,0.0039532864000000004,0.0014720137,0.008386248,0.0069142343000000005,0.0016180594,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,4.5,0.21875,0.609375,0.171875,4.6,0.7267656326293945,0.9,10.0,"['very_unhappy', 'unhappy_i', 'i_can', 'can_never', 'never_remember', 'remember_my', 'my_mother', 'mother_being', 'being_happy']",0.0,0.2424608021974564,4.5,2.635046113306984,5.006587615283269,0,0.0,,,,12.85,16.64
3,"00:00:16,725","00:00:21,104","[inhales deeply] <i>And as she gets older,</i> <i>however she was as a young person,</i>",line_0003.wav,22.679928,111.36363999999999,-1.0,112.36363999999999,27.410648,0.5487385321100917,0.0042663077,0.0016302838,0.007735941999999999,0.006105658000000001,0.0015196514999999999,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,5.5,0.10416666666666667,0.75,0.14583333333333334,3.6666666666666665,0.674368679523468,0.9166666666666666,12.0,"['and_as', 'as_she', 'she_gets', 'gets_older', 'older_however', 'however_she', 'she_was', 'was_as', 'as_a', 'a_young', 'young_person']",0.0,0.28459471464157104,5.5,2.7403516784654043,3.653802237953872,0,0.0,,,,16.73,21.1
4,"00:00:21,229","00:00:24,482","<i>I find it's just now exaggerated</i> <i>and, uh...</i>",line_0004.wav,18.228977,68.05556,-1.0,69.05556,24.126947,0.6063418406805878,0.0040538106,0.0015228644,0.0083285635,0.006805699300000001,0.0014274342,0.2,0.4,0.0,0.0,0.0,0.4,4.0,0.025,0.9,0.075,3.555555555555556,0.8111451864242554,0.8888888888888888,9.0,"['i_find', 'find_it', 'it_is', 'is_just', 'just_now', 'now_exaggerated', 'exaggerated_and', 'and_uh']",0.0,0.129231795668602,4.0,2.7666769136181983,3.9963110974485088,0,0.0,,,,21.23,24.48
5,"00:00:24,566","00:00:29,821","<i>so, she's, uh, 83</i> <i>and now very extremely negative,</i>",line_0005.wav,8.10339,85.46512,-1.0,86.46512,20.813935999999998,0.8296049500237982,0.0036130971,0.001351518,0.0090928115,0.0077412934,0.001657592,0.2,0.6,0.0,0.0,0.0,0.2,4.5,0.25,0.525,0.225,3.8,0.8768736720085144,0.9,10.0,"['so_she', 'she_is', 'is_uh', 'uh_83', '83_and', 'and_now', 'now_very', 'very_extremely', 'extremely_negative']",0.0,-0.016185551881790158,4.5,1.9029495718363452,2.6641294005708835,0,0.0,,,,24.57,29.82
6,"00:00:29,904","00:00:34,200","<i>very extremely unhappy, and, uh...</i> <i>that has been hard for me...</i>",line_0006.wav,11.764183000000001,80.47445,-1.0,81.47445,22.574568,0.75,0.025843962999999998,0.002249646,0.07441346,0.07216382,0.022272805,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.2857142857142857,5.0,0.3125,0.4583333333333333,0.22916666666666666,4.090909090909091,0.8768736720085144,0.9090909090909092,11.0,"['very_extremely', 'extremely_unhappy', 'unhappy_and', 'and_uh', 'uh_that', 'that_has', 'has_been', 'been_hard', 'hard_for', 'for_me']",0.0,0.11594042927026747,5.0,2.560521415270017,3.7243947858472968,1,32.38,"#0, ","31.39, ","63.77, ",29.9,34.2
7,"00:00:34,284","00:00:38,455",-[classical music playing] -[audience cheering and applauding],line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.048855282,0.03130593,0.06770854,0.036402605,0.009067211,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,34.28,38.45
8,"00:01:04,647","00:01:06,232","[woman] <i>Hello, audience.</i>",line_0008.wav,24.778297,53.260868,-1.0,54.260868,22.07023,0.4224,0.013397861,0.0067853443,0.047027398,0.040242054,0.008137393,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,6.5,0.1871889978647232,0.5,2.0,['hello_audience'],0.0,0.1871889978647232,0.5,1.2618296529968505,3.1545741324921264,1,1.4200000000000017,"#1, ","65.01, ","66.43, ",64.65,66.23
9,"00:01:07,275","00:01:09,069",<i>Thank you for coming.</i>,line_0009.wav,16.735706,114.84375,-1.0,115.84375,30.279774,0.7128712871287128,0.022312103,0.0008344766,0.07538411,0.07454963,0.021636764,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,1.0,0.0,4.25,0.5647585391998291,0.75,4.0,"['thank_you', 'you_for', 'for_coming']",0.0,0.3989732265472412,1.5,2.229654403567451,2.787068004459313,0,0.0,,,,67.28,69.07
