,filename,laughs,start,end,threshold,duration
1,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_1.wav,10.76,11.51,0.7,0.3
2,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_2.wav,12.5,13.22,0.7,0.3
3,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_3.wav,15.44,18.35,0.7,0.3
4,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_4.wav,22.0,22.9,0.7,0.3
5,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_5.wav,24.57,25.66,0.7,0.3
6,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_6.wav,34.45,34.95,0.7,0.3
7,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_7.wav,38.33,87.95,0.7,0.3
8,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_8.wav,88.58,155.45,0.7,0.3
9,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_9.wav,156.77,178.36,0.7,0.3
10,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_10.wav,180.95,184.11,0.7,0.3
11,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_11.wav,185.06,186.63,0.7,0.3
12,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_12.wav,188.12,188.48,0.7,0.3
13,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_13.wav,190.73,193.64,0.7,0.3
14,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_14.wav,194.04,195.45,0.7,0.3
15,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_15.wav,197.66,199.31,0.7,0.3
16,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_16.wav,200.8,202.46,0.7,0.3
17,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_17.wav,203.8,210.18,0.7,0.3
18,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_18.wav,212.43,214.73,0.7,0.3
19,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_19.wav,215.58,224.09,0.7,0.3
20,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_20.wav,224.29,242.55,0.7,0.3
21,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_21.wav,245.83,246.16,0.7,0.3
22,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_22.wav,247.59,249.8,0.7,0.3
23,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_23.wav,251.22,253.14,0.7,0.3
24,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_24.wav,254.25,265.49,0.7,0.3
25,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_25.wav,266.23,268.59,0.7,0.3
26,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_26.wav,276.65,277.04,0.7,0.3
27,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_27.wav,283.15,302.69,0.7,0.3
28,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_28.wav,304.09,313.21,0.7,0.3
29,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_29.wav,313.5,316.02,0.7,0.3
30,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_30.wav,316.9,317.54,0.7,0.3
31,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_31.wav,323.14,324.87,0.7,0.3
32,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_32.wav,325.96,329.58,0.7,0.3
33,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_33.wav,331.68,332.81,0.7,0.3
34,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_34.wav,335.47,339.06,0.7,0.3
35,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_35.wav,340.6,342.65,0.7,0.3
36,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_36.wav,344.03,345.41,0.7,0.3
37,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_37.wav,346.05,348.96,0.7,0.3
38,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_38.wav,350.37,360.23,0.7,0.3
39,Cedric.the.Entertainer...Live.from.the.Ville.2016.720p.WEBRip.x264.TheRival-music.wav,/laughs/laugh_39.wav,361.26,369.58,0.7,0.3
