,filename,laughs,start,end,threshold,duration
1,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_1.wav,18.06,21.74,0.7,0.3
2,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_2.wav,24.24,27.55,0.7,0.3
3,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_3.wav,27.94,30.04,0.7,0.3
4,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_4.wav,31.13,34.6,0.7,0.3
5,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_5.wav,35.45,36.72,0.7,0.3
6,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_6.wav,38.89,40.22,0.7,0.3
7,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_7.wav,41.12,46.2,0.7,0.3
8,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_8.wav,46.9,48.42,0.7,0.3
9,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_9.wav,49.31,50.47,0.7,0.3
10,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_10.wav,53.39,53.78,0.7,0.3
11,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_11.wav,55.05,57.12,0.7,0.3
12,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_12.wav,58.22,59.7,0.7,0.3
13,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_13.wav,61.22,67.75,0.7,0.3
14,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_14.wav,69.1,70.08,0.7,0.3
15,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_15.wav,74.43,75.99,0.7,0.3
16,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_16.wav,77.71,80.42,0.7,0.3
17,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_17.wav,81.91,83.42,0.7,0.3
18,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_18.wav,88.34,89.73,0.7,0.3
19,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_19.wav,92.31,92.69,0.7,0.3
20,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_20.wav,93.67,96.17,0.7,0.3
21,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_21.wav,96.75,98.21,0.7,0.3
22,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_22.wav,99.74,102.07,0.7,0.3
23,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_23.wav,106.42,107.47,0.7,0.3
24,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_24.wav,111.83,115.47,0.7,0.3
25,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_25.wav,116.99,119.09,0.7,0.3
26,Chelsea.Peretti...One.of.the.Greats..2014.-music.wav,/laughs/laugh_26.wav,121.87,126.21,0.7,0.3
