,filename,laughs,start,end,threshold,duration
0,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_0.wav,8.79,11.52,0.7,0.3
1,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_1.wav,14.56,15.49,0.7,0.3
2,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_2.wav,23.75,28.1,0.7,0.3
3,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_3.wav,39.54,42.37,0.7,0.3
4,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_4.wav,46.86,49.52,0.7,0.3
5,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_5.wav,53.21,55.39,0.7,0.3
6,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_6.wav,59.76,60.96,0.7,0.3
7,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_7.wav,62.62,65.04,0.7,0.3
8,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_8.wav,71.87,72.58,0.7,0.3
9,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_9.wav,74.19,75.03,0.7,0.3
10,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_10.wav,81.86,82.87,0.7,0.3
11,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_11.wav,85.03,85.44,0.7,0.3
12,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_12.wav,96.51,98.48,0.7,0.3
13,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_13.wav,101.2,102.3,0.7,0.3
14,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_14.wav,109.94,110.96,0.7,0.3
15,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_15.wav,115.28,116.57,0.7,0.3
16,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_16.wav,120.55,121.39,0.7,0.3
17,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_17.wav,130.59,130.96,0.7,0.3
18,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_18.wav,136.4,137.18,0.7,0.3
19,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_19.wav,146.46,149.52,0.7,0.3
20,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_20.wav,158.01,160.59,0.7,0.3
21,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_21.wav,162.24,163.74,0.7,0.3
22,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_22.wav,170.4,172.79,0.7,0.3
23,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_23.wav,190.8,196.37,0.7,0.3
24,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_24.wav,198.42,199.33,0.7,0.3
25,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_25.wav,202.02,203.88,0.7,0.3
26,D.L..Hughley...Contrarian.2018.720p.WEB.X264.AMRAP[xsn]-music.wav,/laughs/laugh_26.wav,217.34,218.67,0.7,0.3
