,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:12,262","00:00:16,558",A NETFLIX ORIGINAL COMEDY SPECIAL,line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019935025,0.010563746,0.039519962,0.028956216,0.0043550874,0.0,0.0,0.2,0.2,0.6,0.0,2.0,0.0,1.0,0.0,5.8,0.4506182670593262,0.8,5.0,"['a_netflix', 'netflix_original', 'original_comedy', 'comedy_special']",0.0,0.04380990564823151,2.0,1.1638733705772817,2.327746741154563,2,1.25,"#2, #3, ","20.83, 26.73, ","21.52, 27.29, ",12.26,16.56
1,"00:00:19,394","00:00:21,688",[crowd cheers],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.048673715,0.027225334,0.060849663,0.03362433,0.006907246999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.39,21.69
2,"00:00:27,736","00:00:29,738",[background song],line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.034568712,0.024714326000000002,0.055345383,0.030631056,0.0072792247,,,,,,,,,,,,,,,,,,,,,3,23.900000000000006,"#4, #5, #6, ","37.71, 51.01, 55.91, ","38.41, 51.97, 78.15, ",27.74,29.74
3,"00:01:00,685","00:01:02,062",Thank you so much.,line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.031362776,0.023659693,0.050035894000000004,0.0263762,0.005929314000000001,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.9583333333333334,0.04166666666666666,3.5,0.8314532637596129,0.75,4.0,"['thank_you', 'you_so', 'so_much']",0.0,0.4849710166454315,1.5,2.904865649963699,2.904865649963699,0,0.0,,,,60.69,62.06
4,"00:01:06,149","00:01:07,067",Thank you.,line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.036359705,0.029888897999999997,0.04360457,0.013715673000000001,0.0028743588,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.178649237472785,2.178649237472785,0,0.0,,,,66.15,67.07
5,"00:01:07,442","00:01:09,152",That is lovely energy.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.02974808,0.018656692,0.044750877,0.026094185,0.0061354553,0.25,0.0,0.25,0.25,0.0,0.25,1.5,0.04166666666666666,0.6666666666666666,0.2916666666666667,4.5,0.6942722797393799,0.75,4.0,"['that_is', 'is_lovely', 'lovely_energy']",0.0,0.10866102576255797,1.5,2.339181286549697,4.0935672514619705,0,0.0,,,,67.44,69.15
6,"00:01:09,235","00:01:10,236",I appreciate it.,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021845467,0.014799981,0.031243907,0.016443927,0.0047869263,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.75,0.125,4.333333333333333,0.5529550909996033,0.6666666666666667,3.0,"['i_appreciate', 'appreciate_it']",0.0,0.4539616405963898,1.0,2.9970029970029826,5.994005994005965,0,0.0,,,,69.23,70.24
7,"00:01:10,320","00:01:12,405","Thank you so much for being here, Seattle.",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020085547,0.012086548999999999,0.03455021,0.02246366,0.0046949494,0.0,0.4,0.0,0.0,0.0,0.6,3.0,0.03125,0.875,0.09375,4.714285714285714,0.8314532637596129,0.8571428571428572,7.0,"['thank_you', 'you_so', 'so_much', 'much_for', 'for_being', 'being_hereseattle']",0.0,0.0,3.0,3.3573141486810423,3.3573141486810423,0,0.0,,,,70.32,72.41
8,"00:01:18,119","00:01:19,913",So it's been 15 years since I've done stand-up,line_0008.wav,40.76698,204.16666999999998,-1.0,205.16666999999998,46.598904,0.4275668073136428,0.0125965765,0.0030016196000000003,0.033942528,0.030940909,0.007373917,0.0,0.0,0.0,0.2,0.0,0.8,5.0,0.0625,0.75,0.1875,3.4545454545454546,0.8282917141914368,0.9090909090909092,11.0,"['so_it', 'it_is', 'is_been', 'been_15', '15_years', 'years_since', 'since_i', 'i_have', 'have_donestand', 'donestand_up']",0.0,0.0,5.0,6.131549609810491,5.016722408026764,0,0.0,,,,78.12,79.91
9,"00:01:19,996","00:01:22,082",and when I decided to do this special,line_0009.wav,54.38635,175.0,-1.0,176.0,46.406483,0.26123936816524906,0.011138536000000001,0.0011589509,0.028031603999999998,0.026872654,0.0061257575,0.0,0.25,0.0,0.25,0.0,0.5,3.0,0.0,1.0,0.0,4.285714285714286,0.6112433671951294,0.8571428571428572,7.0,"['and_when', 'when_i', 'i_decided', 'decided_to', 'to_do', 'do_thisspecial']",0.0,0.0,3.0,3.3557046979865794,3.835091083413234,0,0.0,,,,80.0,82.08
10,"00:01:22,165","00:01:24,793",a friend of mine was at my house and I told him:,line_0010.wav,49.658806,196.875,-1.0,197.875,38.48048,0.2382324687800192,0.011432326999999999,0.0010114044,0.024024958,0.023013553,0.006200495,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,5.5,0.025,0.9,0.075,3.0,0.6422117352485657,0.9166666666666666,12.0,"['a_friend', 'friend_of', 'of_mine', 'mine_was', 'was_at', 'at_my', 'my_house', 'house_and', 'and_i', 'i_told', 'told_him']",0.0,0.22144648432731628,5.5,4.5662100456621015,4.5662100456621015,0,0.0,,,,82.17,84.79
