,filename,laughs,start,end,threshold,duration
0,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_0.wav,8.91,18.5,0.7,0.3
1,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_1.wav,19.45,32.43,0.7,0.3
2,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_2.wav,33.43,35.21,0.7,0.3
3,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_3.wav,35.91,37.15,0.7,0.3
4,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_4.wav,37.46,40.16,0.7,0.3
5,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_5.wav,44.07,48.72,0.7,0.3
6,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_6.wav,68.66,69.53,0.7,0.3
7,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_7.wav,76.64,78.12,0.7,0.3
8,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_8.wav,85.53,86.46,0.7,0.3
9,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_9.wav,86.9,87.66,0.7,0.3
10,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_10.wav,90.95,91.71,0.7,0.3
11,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_11.wav,92.94,93.74,0.7,0.3
12,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_12.wav,96.92,97.69,0.7,0.3
13,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_13.wav,103.6,105.7,0.7,0.3
14,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_14.wav,106.25,107.26,0.7,0.3
15,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_15.wav,150.14,151.02,0.7,0.3
16,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_16.wav,153.13,155.45,0.7,0.3
17,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_17.wav,157.26,158.52,0.7,0.3
18,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_18.wav,160.34,163.55,0.7,0.3
19,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_19.wav,172.88,173.94,0.7,0.3
20,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_20.wav,199.15,199.97,0.7,0.3
21,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_21.wav,205.8,207.05,0.7,0.3
22,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_22.wav,238.66,239.22,0.7,0.3
23,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_23.wav,300.05,300.67,0.7,0.3
24,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_24.wav,303.5,304.18,0.7,0.3
25,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_25.wav,304.94,305.93,0.7,0.3
26,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_26.wav,309.97,310.35,0.7,0.3
27,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_27.wav,317.29,317.75,0.7,0.3
28,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_28.wav,321.66,322.27,0.7,0.3
29,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_29.wav,356.88,357.84,0.7,0.3
30,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_30.wav,384.87,393.26,0.7,0.3
31,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_31.wav,393.45,397.72,0.7,0.3
32,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_32.wav,401.63,411.1,0.7,0.3
33,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_33.wav,411.89,413.39,0.7,0.3
34,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_34.wav,414.56,418.89,0.7,0.3
35,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_35.wav,419.23,423.34,0.7,0.3
36,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_36.wav,424.31,425.76,0.7,0.3
37,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_37.wav,480.71,482.5,0.7,0.3
38,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_38.wav,484.58,485.48,0.7,0.3
39,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_39.wav,490.64,500.93,0.7,0.3
40,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_40.wav,503.05,503.94,0.7,0.3
41,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_41.wav,529.08,530.15,0.7,0.3
42,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_42.wav,539.53,542.93,0.7,0.3
43,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_43.wav,586.91,588.16,0.7,0.3
44,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_44.wav,659.34,659.83,0.7,0.3
45,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_45.wav,678.33,678.64,0.7,0.3
46,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_46.wav,738.11,738.5,0.7,0.3
47,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_47.wav,781.87,782.72,0.7,0.3
48,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_48.wav,813.16,813.58,0.7,0.3
49,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_49.wav,815.63,816.51,0.7,0.3
50,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_50.wav,827.55,828.8,0.7,0.3
51,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_51.wav,843.58,845.0,0.7,0.3
52,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_52.wav,879.4,881.82,0.7,0.3
53,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_53.wav,884.9,886.26,0.7,0.3
54,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_54.wav,889.5,890.14,0.7,0.3
55,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_55.wav,900.2,901.14,0.7,0.3
56,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_56.wav,905.8,912.51,0.7,0.3
57,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_57.wav,923.9,925.34,0.7,0.3
58,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_58.wav,926.72,928.01,0.7,0.3
59,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_59.wav,932.96,933.35,0.7,0.3
60,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_60.wav,942.25,943.62,0.7,0.3
61,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_61.wav,947.21,948.02,0.7,0.3
62,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_62.wav,955.67,957.94,0.7,0.3
63,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_63.wav,962.59,962.94,0.7,0.3
64,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_64.wav,995.4,997.16,0.7,0.3
65,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_65.wav,1026.92,1027.6,0.7,0.3
66,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_66.wav,1048.08,1048.93,0.7,0.3
67,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_67.wav,1074.17,1075.08,0.7,0.3
68,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_68.wav,1235.87,1237.08,0.7,0.3
69,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_69.wav,1250.75,1251.37,0.7,0.3
70,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_70.wav,1260.06,1264.39,0.7,0.3
71,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_71.wav,1265.66,1266.75,0.7,0.3
72,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_72.wav,1280.79,1281.78,0.7,0.3
73,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_73.wav,1296.69,1297.31,0.7,0.3
74,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_74.wav,1308.03,1312.39,0.7,0.3
75,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_75.wav,1316.65,1317.51,0.7,0.3
76,Fred.Armisen.Standup.For.Drummers..2018.-music.wav,/laughs/laugh_76.wav,1331.02,1331.82,0.7,0.3
