,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,676","00:00:13,096","<i>[crowd chanting] Fluffy!</i><span style=""style2""> </i><i>Fluffy!</i>",line_0000.wav,6.3547080000000005,57.5718,-1.0,58.5718,17.604057,0.8494860499265786,0.010051655,0.0020828457,0.019261764,0.01717892,0.0045482926,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,9.68,13.1
1,"00:00:13,805","00:00:17,475",<i>[Fluffy shouts] Houston!</i>,line_0001.wav,7.254886,58.643616,-1.0,59.643616,18.589703,0.8334470989761092,0.017107034,0.005095878,0.02467613,0.01958025,0.0033379623,,,,,,,,,,,,,,,,,,,,,3,3.1999999999999993,"#0, #1, #2, ","15.45, 17.89, 21.07, ","16.5, 19.52, 21.59, ",13.8,17.48
2,"00:00:17,559","00:00:19,686",{\an8}<i>[crowd cheering]</i>,line_0002.wav,8.302599,58.488064,-1.0,59.488064,18.851760000000002,0.8026159334126041,0.012307823999999998,0.008020689000000001,0.016802182,0.008781494,0.0020297875,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,17.56,19.69
3,"00:00:21,688","00:00:26,735","<i>[audience] Five, four, three, two, one!</i>",line_0003.wav,2.0514212,58.33333199999999,-1.0,59.33333199999999,11.971630000000001,0.9383697813121272,0.009017956,0.0029938784000000003,0.018461691000000002,0.015467813,0.0033657753,,,,,,,,,,,,,,,,,,,,,2,2.4499999999999993,"#3, #4, ","23.66, 27.05, ","25.0, 28.16, ",21.69,26.73
4,"00:00:27,110","00:00:29,446",<i>[cheering]</i>,line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01702915,0.012370528,0.022017341,0.009646813,0.0022792376,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,27.11,29.45
5,"00:00:29,863","00:00:33,241","<i>♪ Macho, macho man ♪</i>",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.018108226,0.010066771,0.032361686,0.022294916,0.0044998135,,,,,,,,,,,,,,,,,,,,,1,0.8699999999999974,"#5, ","31.43, ","32.3, ",29.86,33.24
6,"00:00:33,533","00:00:37,120",<i>♪ I've got to be a macho man ♪</i>,line_0006.wav,0.31443506,50.80645,-1.0,51.80645,7.5552115,0.9705263157894736,0.017080618,0.011284701000000001,0.03001537,0.01873067,0.0041666855,,,,,,,,,,,,,,,,,,,,,1,4.240000000000002,"#6, ","36.1, ","40.34, ",33.53,37.12
7,"00:00:37,203","00:00:40,457","<i>♪ Macho, macho man ♪</i>",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01732309,0.0101349475,0.03303749,0.022902545,0.004911731,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,37.2,40.46
8,"00:00:40,874","00:00:43,168",{\an8}<i>♪ I've got to be a macho! ♪</i>,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01775182,0.012708286999999999,0.029551992000000003,0.016843706,0.0041959146000000004,,,,,,,,,,,,,,,,,,,,,1,2.6499999999999986,"#7, ","41.4, ","44.05, ",40.87,43.17
9,"00:00:44,461","00:00:47,839","{\an8}<i>♪ Macho, macho man ♪</i>",line_0009.wav,7.553132499999999,73.993286,-1.0,74.993286,18.943964,0.8260547742413027,0.017522166000000002,0.010334659,0.03212335,0.02178869,0.0050246487,,,,,,,,,,,,,,,,,,,,,1,0.9399999999999977,"#8, ","46.02, ","46.96, ",44.46,47.84
10,"00:00:48,089","00:00:51,259",{\an8}<i>♪ I've got to be a macho man ♪</i>,line_0010.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016384529,0.009245006,0.02925119,0.020006184,0.004824735,,,,,,,,,,,,,,,,,,,,,2,1.8699999999999974,"#9, #10, ","48.77, 50.89, ","49.94, 51.59, ",48.09,51.26
11,"00:00:51,634","00:00:54,929","{\an8}<i>♪ Macho, macho man ♪</i>",line_0011.wav,4.995132,63.0,-1.0,64.0,16.108107,0.8764302059496567,0.017219936,0.009674638000000001,0.029318886000000002,0.01964425,0.005030498400000001,,,,,,,,,,,,,,,,,,,,,1,0.740000000000002,"#11, ","53.14, ","53.88, ",51.63,54.93
12,"00:00:55,346","00:00:57,515",{\an8}<i>♪ I've got to be a macho! ♪</i>,line_0012.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016316018999999998,0.009343674,0.034475878,0.025132203,0.0051260507,0.0,0.0,0.2,0.2,0.0,0.6,3.5,0.15625,0.59375,0.25,2.375,0.7436676025390625,0.875,8.0,"['8_i', 'i_have', 'have_got', 'got_to', 'to_be', 'be_a', 'a_macho']",0.0,-0.10454639792442323,3.5,3.688335638543101,3.688335638543101,1,2.25,"#12, ","55.47, ","57.72, ",55.35,57.52
13,"00:01:04,397","00:01:05,398",{\an8}<i>How are you?</i>,line_0013.wav,43.724144,112.5,-1.0,113.5,35.326405,0.3333333333333333,0.0186669,0.005845085999999999,0.03506153,0.029216443999999998,0.006658122,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.125,0.625,0.25,3.333333333333333,0.5631888508796692,0.6666666666666667,3.0,"['8how_are', 'are_you']",0.0,0.0,1.0,2.9970029970030247,1.998001998002017,0,0.0,,,,64.4,65.4
14,"00:01:05,732","00:01:07,525",<i>[crowd roars]</i>,line_0014.wav,26.858711,64.66275999999999,-1.0,65.66275999999999,24.58906,0.4323570432357043,0.017327925,0.01095181,0.032250557,0.021298748,0.0044502313,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,65.73,67.53
15,"00:01:08,860","00:01:10,028",{\an8}<i>[Fluffy] Whoo!</i>,line_0015.wav,28.487322,175.0,-1.0,176.0,40.08923,0.5717391304347826,0.013754172,0.0047486373,0.024893952999999996,0.020145316,0.0069103977,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.5,2.0,['8_whoo'],0.0,-0.11465131491422652,0.5,1.7123287671232783,0.0,1,1.2800000000000011,"#13, ","68.95, ","70.23, ",68.86,70.03
16,"00:01:11,071","00:01:13,156","<i>Oh, man! That's a long walk.</i>",line_0016.wav,57.893730000000005,153.125,-1.0,154.125,39.520046,0.14819277108433734,0.011537211,0.002770392,0.027162002,0.02439161,0.006661958000000001,0.2,0.0,0.4,0.2,0.0,0.2,3.0,0.04166666666666666,0.875,0.08333333333333333,2.8571428571428568,0.6942722797393799,0.8571428571428572,7.0,"['oh_man', 'man_that', 'that_is', 'is_a', 'a_long', 'long_walk']",0.0,0.2509196996688843,3.0,3.3573141486810423,3.3573141486810423,0,0.0,,,,71.07,73.16
17,"00:01:14,991","00:01:16,659","<i>Thank you so much, Houston.</i>",line_0017.wav,44.992435,159.78261,-1.0,160.78261,41.162033,0.3288084464555053,0.013218002,0.0025501393,0.02937979,0.02682965,0.005635073399999999,0.0,0.5,0.0,0.0,0.25,0.25,2.0,0.0,0.9583333333333334,0.04166666666666666,4.2,0.8314532637596129,0.8,5.0,"['thank_you', 'you_so', 'so_much', 'much_houston']",0.0,0.11923452466726304,2.0,2.9976019184652163,3.5971223021582595,2,4.159999999999997,"#14, #15, ","77.59, 83.47, ","80.26, 84.96, ",74.99,76.66
18,"00:01:16,743","00:01:19,454",<i>[crowd cheering]</i>,line_0018.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013360816999999999,0.0031348686,0.019708587,0.016573718,0.004601244,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,76.74,79.45
19,"00:01:25,251","00:01:29,422","<i>One year ago,</i> <i>this city was flipped upside down</i>",line_0019.wav,55.1755,147.98657,-1.0,148.98657,35.867992,0.17237237237237238,0.010734536999999999,0.0012688343,0.024876637000000004,0.023607804,0.006577771,0.0,0.375,0.125,0.25,0.0,0.25,4.0,0.04166666666666666,0.9166666666666666,0.04166666666666666,4.222222222222221,0.6766721606254578,0.8888888888888888,9.0,"['one_year', 'year_ago', 'ago_this', 'this_city', 'city_was', 'was_flipped', 'flipped_upside', 'upside_down']",0.0,0.10066808760166167,4.0,2.1577559338288217,2.877007911771763,0,0.0,,,,85.25,89.42
20,"00:01:31,049","00:01:32,300","<i>by a hurricane,</i>",line_0020.wav,32.602776,121.15385,-1.0,122.15385,49.69875,0.6827309236947792,0.011013792,0.0011731338,0.032088306000000004,0.030915172999999997,0.0075532603000000005,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.29651498794555664,0.6666666666666667,3.0,"['by_a', 'a_hurricane']",0.0,0.13614091277122498,1.0,2.3980815347722,3.996802557953668,0,0.0,,,,91.05,92.3
21,"00:01:33,051","00:01:34,552","<i>un cabrón </i><span style=""style1"">named Harvey.</i>",line_0021.wav,24.75692,112.5,-1.0,113.5,38.095924,0.6566666666666666,0.009983476,0.0008252761,0.025336823999999997,0.024511547999999998,0.0068215462,0.25,0.0,0.0,0.25,0.25,0.25,1.5,0.0,0.75,0.25,4.5,0.09790625423192978,0.75,4.0,"['un_cabrn', 'cabrn_named', 'named_harvey']",0.0,0.0,1.5,2.6648900732844685,2.6648900732844685,0,0.0,,,,93.05,94.55
22,"00:01:37,222","00:01:40,058",<i>And they said that this city</i> <i>would never be the same.</i>,line_0022.wav,27.416952000000002,131.25,-1.0,132.25,31.816999999999997,0.5283185840707965,0.010969282,0.000915235,0.0221364,0.021221165,0.005714584,0.125,0.125,0.25,0.125,0.0,0.375,5.0,0.15,0.8,0.05,3.8181818181818175,0.8348053097724915,0.9090909090909092,11.0,"['and_they', 'they_said', 'said_that', 'that_this', 'this_city', 'city_would', 'would_never', 'never_be', 'be_the', 'the_same']",0.0,0.2923368215560913,5.0,3.878702397743283,4.58392101551479,0,0.0,,,,97.22,100.06
