,filename,laughs,start,end,threshold,duration
1,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_1.wav,13.45,16.6,0.7,0.3
2,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_2.wav,21.64,23.03,0.7,0.3
3,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_3.wav,24.22,27.53,0.7,0.3
4,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_4.wav,28.17,35.0,0.7,0.3
5,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_5.wav,35.77,37.74,0.7,0.3
6,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_6.wav,38.7,41.49,0.7,0.3
7,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_7.wav,42.99,51.32,0.7,0.3
8,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_8.wav,51.73,53.55,0.7,0.3
9,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_9.wav,63.12,65.54,0.7,0.3
10,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_10.wav,96.59,96.92,0.7,0.3
11,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_11.wav,134.18,134.84,0.7,0.3
12,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_12.wav,149.25,150.16,0.7,0.3
13,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_13.wav,168.72,169.35,0.7,0.3
14,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_14.wav,190.71,192.69,0.7,0.3
15,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_15.wav,196.37,198.57,0.7,0.3
16,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_16.wav,207.42,208.24,0.7,0.3
17,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_17.wav,227.45,228.08,0.7,0.3
18,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_18.wav,257.18,259.86,0.7,0.3
19,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_19.wav,260.2,261.38,0.7,0.3
20,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_20.wav,264.23,270.46,0.7,0.3
21,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_21.wav,301.64,303.18,0.7,0.3
22,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_22.wav,357.31,357.71,0.7,0.3
23,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_23.wav,396.56,403.24,0.7,0.3
24,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_24.wav,425.4,425.78,0.7,0.3
25,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_25.wav,428.62,430.91,0.7,0.3
26,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_26.wav,433.84,434.84,0.7,0.3
27,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_27.wav,446.79,447.94,0.7,0.3
28,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_28.wav,449.79,450.75,0.7,0.3
29,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_29.wav,452.18,452.82,0.7,0.3
30,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_30.wav,454.02,456.17,0.7,0.3
31,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_31.wav,458.59,461.03,0.7,0.3
32,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_32.wav,465.17,471.4,0.7,0.3
33,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_33.wav,540.75,542.68,0.7,0.3
34,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_34.wav,561.29,561.85,0.7,0.3
35,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_35.wav,566.5,568.12,0.7,0.3
36,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_36.wav,569.77,574.97,0.7,0.3
37,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_37.wav,609.77,610.74,0.7,0.3
38,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_38.wav,622.42,623.83,0.7,0.3
39,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_39.wav,630.83,633.23,0.7,0.3
40,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_40.wav,635.51,636.82,0.7,0.3
41,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_41.wav,650.41,651.08,0.7,0.3
42,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_42.wav,713.72,714.33,0.7,0.3
43,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_43.wav,720.03,721.06,0.7,0.3
44,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_44.wav,724.4,725.06,0.7,0.3
45,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_45.wav,728.6,729.03,0.7,0.3
46,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_46.wav,739.01,740.21,0.7,0.3
47,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_47.wav,743.82,744.56,0.7,0.3
48,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_48.wav,746.37,747.8,0.7,0.3
49,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_49.wav,751.29,751.71,0.7,0.3
50,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_50.wav,754.65,756.03,0.7,0.3
51,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_51.wav,811.76,812.39,0.7,0.3
52,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_52.wav,819.75,820.46,0.7,0.3
53,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_53.wav,854.97,855.7,0.7,0.3
54,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_54.wav,872.16,872.81,0.7,0.3
55,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_55.wav,876.29,877.14,0.7,0.3
56,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_56.wav,878.77,881.17,0.7,0.3
57,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_57.wav,883.51,883.86,0.7,0.3
58,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_58.wav,910.25,911.27,0.7,0.3
59,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_59.wav,917.36,921.23,0.7,0.3
60,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_60.wav,927.68,929.92,0.7,0.3
61,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_61.wav,933.94,938.39,0.7,0.3
62,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_62.wav,939.0,939.95,0.7,0.3
63,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_63.wav,941.61,942.39,0.7,0.3
64,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_64.wav,959.96,960.82,0.7,0.3
65,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_65.wav,971.95,973.06,0.7,0.3
66,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_66.wav,1013.73,1014.37,0.7,0.3
67,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_67.wav,1038.73,1045.73,0.7,0.3
68,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_68.wav,1061.88,1062.85,0.7,0.3
69,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_69.wav,1077.46,1077.83,0.7,0.3
70,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_70.wav,1079.59,1080.95,0.7,0.3
71,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_71.wav,1081.13,1081.96,0.7,0.3
72,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_72.wav,1085.43,1086.17,0.7,0.3
73,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_73.wav,1121.19,1121.86,0.7,0.3
74,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_74.wav,1130.26,1131.0,0.7,0.3
75,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_75.wav,1169.6,1170.3,0.7,0.3
76,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_76.wav,1179.05,1179.62,0.7,0.3
77,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_77.wav,1201.14,1201.98,0.7,0.3
78,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_78.wav,1205.94,1207.38,0.7,0.3
79,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_79.wav,1219.31,1220.19,0.7,0.3
80,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_80.wav,1224.66,1226.22,0.7,0.3
81,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_81.wav,1240.5,1242.61,0.7,0.3
82,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_82.wav,1265.22,1266.13,0.7,0.3
83,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_83.wav,1267.07,1267.99,0.7,0.3
84,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_84.wav,1275.92,1276.22,0.7,0.3
85,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_85.wav,1302.36,1302.73,0.7,0.3
86,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_86.wav,1308.98,1309.97,0.7,0.3
87,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_87.wav,1330.87,1332.49,0.7,0.3
88,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_88.wav,1337.04,1338.11,0.7,0.3
89,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_89.wav,1340.23,1341.22,0.7,0.3
90,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_90.wav,1342.11,1342.95,0.7,0.3
91,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_91.wav,1363.08,1364.61,0.7,0.3
92,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_92.wav,1373.3,1373.92,0.7,0.3
93,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_93.wav,1380.01,1380.9,0.7,0.3
94,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_94.wav,1383.14,1384.0,0.7,0.3
95,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_95.wav,1402.58,1403.12,0.7,0.3
96,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_96.wav,1450.2,1450.63,0.7,0.3
97,Gad.Elmaleh...American.Dream..2018.-music.wav,/laughs/laugh_97.wav,1468.02,1468.57,0.7,0.3
