,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,280","00:00:09,960","♪ Now I'm not trying to be rude ♪ But, hey, pretty girl, I'm feeling you ♪",line_0000.wav,56.797633999999995,114.84375,-1.0,115.84375,19.288332,0.006160164271047228,0.041379112999999995,3.8466307999999996e-10,0.09745857,0.09745857,0.01632571,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.28,9.96
1,"00:00:10,040","00:00:13,360",♪ The way you do the things you do Reminds me of my Lexus Coupe ♪,line_0001.wav,4.9902816,65.625,-1.0,66.625,16.212626,0.8775510204081632,0.04404637,0.011743483,0.0888962,0.077152714,0.015366989,,,,,,,,,,,,,,,,,,,,,1,1.0700000000000003,"#1, ","10.19, ","11.26, ",10.04,13.36
2,"00:00:13,440","00:00:16,880","♪ Baby, give me that toot-toot Let me give you that beep-beep ♪",line_0002.wav,11.001476,105.0,-1.0,106.0,25.38764,0.8029197080291971,0.044489395,0.009511361999999999,0.08786197,0.07835061,0.013650437,,,,,,,,,,,,,,,,,,,,,1,4.07,"#2, ","14.68, ","18.75, ",13.44,16.88
3,"00:00:16,960","00:00:20,680",♪ Running my hands through my 'fro Bouncing on 24s ♪,line_0003.wav,5.752119,57.272728,-1.0,58.272728,16.684732,0.8583951449763992,0.0454444,0.013362431000000001,0.080195315,0.066832885,0.014389843000000001,,,,,,,,,,,,,,,,,,,,,1,1.8099999999999987,"#3, ","19.27, ","21.08, ",16.96,20.68
4,"00:00:20,760","00:00:24,560","♪ It's the remix to ""Ignition"" Hot and fresh out the kitchen ♪",line_0004.wav,6.1735888,55.54156,-1.0,56.54156,17.676868,0.8576158940397351,0.040834095,0.01441312,0.08260891,0.06819579,0.014036937,,,,,,,,,,,,,,,,,,,,,1,3.669999999999998,"#4, ","23.03, ","26.7, ",20.76,24.56
5,"00:00:24,640","00:00:27,960",♪ Mama rolling that body Got every man in here wishin' ♪,line_0005.wav,8.467611999999999,139.55696,-1.0,140.55696,24.595713,0.8496978851963746,0.044676035999999995,0.014604407,0.08421264,0.069608234,0.0138827525,,,,,,,,,,,,,,,,,,,,,1,2.5199999999999996,"#5, ","27.1, ","29.62, ",24.64,27.96
6,"00:00:28,040","00:00:31,960","♪ Sippin' on coke and rum I'm like, ""So what? I'm drunk ♪",line_0006.wav,1.3306234,53.260868,-1.0,54.260868,10.643039,0.95405232929164,0.04447588,0.015143891000000001,0.087096065,0.07195217,0.012824053,,,,,,,,,,,,,,,,,,,,,1,7.110000000000003,"#6, ","30.24, ","37.35, ",28.04,31.96
7,"00:00:32,040","00:00:35,520","♪ It's the freakin' weekend, baby I'm about to have me some fun ♪",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.04275943,0.02031964,0.08047833,0.060158692,0.011861896,0.2,0.0,0.2,0.3,0.0,0.3,6.5,0.03571428571428571,0.8035714285714286,0.16071428571428573,3.4285714285714284,0.7056353092193604,0.9285714285714286,14.0,"['it_is', 'is_the', 'the_freakin', 'freakin_weekend', 'weekend_baby', 'baby_i', 'i_am', 'am_about', 'about_to', 'to_have', 'have_me', 'me_some', 'some_fun']",0.0,0.12427151948213574,6.5,4.022988505747122,4.597701149425283,0,0.0,,,,32.04,35.52
8,"00:00:35,800","00:00:38,800",It's always good to start a television special,line_0008.wav,24.713089,139.55696,-1.0,140.55696,34.345127000000005,0.5783738474434199,0.030189183999999997,0.005175466,0.06274161,0.05756614,0.014901415,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,4.0,0.02083333333333333,0.8125,0.16666666666666666,4.333333333333333,0.6935866475105286,0.8888888888888888,9.0,"['it_is', 'is_always', 'always_good', 'good_to', 'to_start', 'start_a', 'a_television', 'television_special']",0.0,0.2131611704826355,4.0,3.0,4.666666666666667,0,0.0,,,,35.8,38.8
9,"00:00:39,200","00:00:41,840","with a joke that you'll never be able to air, isn't it?",line_0009.wav,41.866985,129.70588999999998,-1.0,130.70588999999998,40.707508000000004,0.3921380632790029,0.035946857,0.010838137,0.06598502,0.05514688,0.012034476,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,6.5,0.203125,0.671875,0.125,3.071428571428572,0.8309826850891113,0.9285714285714286,14.0,"['with_a', 'a_joke', 'joke_that', 'that_you', 'you_will', 'will_never', 'never_be', 'be_able', 'able_to', 'to_air', 'air_is', 'is_not', 'not_it']",0.0,0.19690805673599246,6.5,5.303030303030302,6.06060606060606,1,8.82,"#7, ","40.86, ","49.68, ",39.2,41.84
