,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:18,060","00:00:21,146",[indistinct conversations],line_0000.wav,21.1928,167.04546000000002,-1.0,168.04546000000002,34.675979999999996,0.6634146341463415,0.021348203,0.010960171999999999,0.049039874000000004,0.038079699999999994,0.006330485,,,,,,,,,,,,,,,,,,,,,1,1.1700000000000017,"#2, ","21.2, ","22.37, ",18.06,21.15
1,"00:00:23,148","00:00:24,649",[woman laughing],line_0001.wav,1.0031086999999999,66.818184,-1.0,67.818184,10.8376875,0.9666666666666668,0.01820334,0.013257257,0.026757738,0.013500481000000002,0.0035014045000000002,,,,,,,,,,,,,,,,,,,,,1,3.0799999999999983,"#3, ","23.37, ","26.45, ",23.15,24.65
2,"00:00:27,319","00:00:32,574",{\an8}[host] Please welcome to the stage Hannibal Buress!,line_0002.wav,42.46102,134.45122,-1.0,135.45122,25.660372,0.20381861575179,0.10841147599999999,0.0018574948000000002,0.20514096,0.20328347,0.056156505,0.0,0.0,0.2,0.2,0.4,0.2,3.5,0.0,1.0,0.0,4.75,0.6140341758728027,0.875,8.0,"['8_please', 'please_welcome', 'welcome_to', 'to_the', 'the_stage', 'stage_hannibal', 'hannibal_buress']",0.0,-0.1531355082988739,3.5,1.5223596574690774,1.712654614652712,1,12.809999999999999,"#4, ","28.38, ","41.19, ",27.32,32.57
3,"00:00:32,657","00:00:34,409",[audience cheering],line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.07242233,0.056288093,0.08959557,0.033307478,0.0077610565,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,32.66,34.41
4,"00:00:34,492","00:00:36,411",[hip-hop music playing],line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.063895285,0.051795237,0.090801835,0.039006599999999995,0.009349113000000001,,,,,,,,,,,,,,,,,,,,,1,12.939999999999998,"#5, ","42.38, ","55.32, ",34.49,36.41
5,"00:00:44,252","00:00:46,171","What's up, Minneapolis?",line_0005.wav,15.769235,73.5,-1.0,74.5,24.880419,0.6805736636245111,0.08408478,0.03329449,0.22013293,0.18683845,0.045112,0.0,0.25,0.0,0.25,0.25,0.25,1.5,0.0625,0.8125,0.125,4.75,0.5817388296127319,0.75,4.0,"['what_is', 'is_up', 'up_minneapolis']",0.0,0.029106412082910538,1.5,2.084418968212614,4.168837936425228,0,0.0,,,,44.25,46.17
6,"00:00:47,339","00:00:49,382",Thank you.,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.038161653999999996,0.028161686000000002,0.052222393,0.024060707999999997,0.004934844,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,0.9789525208027414,0.9789525208027414,0,0.0,,,,47.34,49.38
7,"00:00:50,550","00:00:53,345","Thank you, Minneapolis!",line_0007.wav,10.373267,71.129036,-1.0,72.129036,22.211588,0.7864864864864864,0.05123773,0.01672387,0.16837902,0.15165515,0.03882381,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,6.333333333333332,0.5647585391998291,0.6666666666666667,3.0,"['thank_you', 'you_minneapolis']",0.0,0.060080435127019875,1.0,1.0733452593917705,2.5044722719141306,0,0.0,,,,50.55,53.34
8,"00:00:54,929","00:00:56,098",Yeah!,line_0008.wav,1.6880661,53.260868,-1.0,54.260868,11.002096,0.9432314410480348,0.008941432,0.0041672178,0.017187886,0.013020668,0.002934434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.8554319931565463,0.8554319931565463,1,1.9299999999999997,"#6, ","56.69, ","58.62, ",54.93,56.1
9,"00:00:57,140","00:00:59,101",[audience cheering],line_0009.wav,46.597218,100.22726999999999,-1.0,101.22726999999999,22.052542000000003,0.13409961685823754,0.009209036,0.003427507,0.025532506,0.022104999,0.0045649223,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,57.14,59.1
10,"00:01:00,310","00:01:01,394",Yeah.,line_0010.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0012549356,0.0007225863499999999,0.0023766335,0.001654047,0.000419286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9225092250922544,0.9225092250922544,0,0.0,,,,60.31,61.39
11,"00:01:02,979","00:01:08,901","A lot of people were asking me, why am I filming my special in Minneapolis?",line_0011.wav,32.344894000000004,104.00944,-1.0,105.00943999999998,35.61155,0.5209302325581395,0.030558448,0.00032545402,0.12525216,0.1249267,0.03202198,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.2727272727272727,0.09090909090909093,0.3636363636363637,7.0,0.03571428571428571,0.8928571428571429,0.07142857142857142,3.933333333333333,0.7584683895111084,0.9333333333333332,15.0,"['a_lot', 'lot_of', 'of_people', 'people_were', 'were_asking', 'asking_me', 'me_why', 'why_am', 'am_i', 'i_filming', 'filming_my', 'my_special', 'special_in', 'in_minneapolis']",0.0,0.008455416187644005,7.0,2.5329280648429595,3.8838230327592047,0,0.0,,,,62.98,68.9
12,"00:01:08,985","00:01:09,986",[man] Why?,line_0012.wav,11.497471,62.288136,-1.0,63.288136,22.207008,0.755,0.047841232000000004,0.0054388954,0.19696866,0.19152977,0.056881923,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990009944,0.9990009990009944,0,0.0,,,,68.98,69.99
13,"00:01:10,070","00:01:15,408","Even people in Minneapolis were like, ""Why are you doing this?""",line_0013.wav,57.982567,204.16666999999998,-1.0,205.16666999999998,37.457221999999994,0.16588345864661655,0.053409122,0.0035313809999999997,0.152109,0.14857762,0.04050684,0.0,0.25,0.125,0.125,0.125,0.375,5.0,0.05,0.825,0.125,4.454545454545454,0.7510359287261963,0.9090909090909092,11.0,"['even_people', 'people_in', 'in_minneapolis', 'minneapolis_were', 'were_like', 'like_why', 'why_are', 'are_you', 'you_doing', 'doing_this']",0.0,0.008455416187644005,5.0,2.0606968902210534,3.3720494567253603,1,2.6000000000000085,"#7, ","73.69, ","76.29, ",70.07,75.41
14,"00:01:15,492","00:01:17,077",[audience laughing],line_0014.wav,6.395796,78.75,-1.0,79.75,21.067719,0.8887122416534181,0.011028497,0.001982414,0.042300813,0.040318400000000004,0.009996068,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,75.49,77.08
15,"00:01:18,035","00:01:20,872","""Why are you doing this?"" And it's because...",line_0015.wav,35.796209999999995,162.13235,-1.0,163.13235,45.987759999999994,0.5549645390070922,0.03749241,0.0003767822,0.15098038,0.1506036,0.034224164,0.0,0.2,0.2,0.0,0.0,0.6,4.0,0.08333333333333333,0.75,0.16666666666666666,3.555555555555556,0.8086063265800476,0.8888888888888888,9.0,"['why_are', 'are_you', 'you_doing', 'doing_this', 'this_and', 'and_it', 'it_is', 'is_because']",0.0,0.4002462029457092,4.0,3.1723651744800807,3.877335213253432,0,0.0,,,,78.03,80.87
16,"00:01:20,955","00:01:24,417","The rest of the country doesn't know this, but touring comedians...",line_0016.wav,39.759853,160.9489,-1.0,161.9489,37.75057,0.4140681653372009,0.0392717,0.0003836979,0.14402859,0.14364488,0.032838386000000004,0.0,0.1,0.3,0.3,0.0,0.3,5.5,0.08928571428571429,0.9107142857142856,0.0,4.416666666666667,0.9999999403953552,0.9166666666666666,12.0,"['the_rest', 'rest_of', 'of_the', 'the_country', 'country_does', 'does_not', 'not_know', 'know_this', 'this_but', 'but_touring', 'touring_comedians']",0.0,0.07661322504281998,5.5,3.4662045060658544,4.910456383593294,0,0.0,,,,80.95,84.42
17,"00:01:24,501","00:01:27,295",know and recognize Minneapolis,line_0017.wav,36.49197,104.00944,-1.0,105.00943999999998,37.421833,0.4540540540540541,0.028075807,0.0003717279,0.08102347,0.080651745,0.02148829,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.5,0.0,1.0,0.0,6.75,0.6065769195556641,0.75,4.0,"['know_and', 'and_recognize', 'recognize_minneapolis']",0.0,0.029966995120048526,1.5,1.4316392269148193,3.579098067287048,0,0.0,,,,84.5,87.3
18,"00:01:27,379","00:01:30,423",as one of the best cities to perform comedy in.,line_0018.wav,42.31299,111.36363999999999,-1.0,112.36363999999999,36.807034,0.3634105960264901,0.03173736,0.0006653377,0.10756121,0.10689587,0.025111752,0.2,0.0,0.2,0.4,0.0,0.2,4.5,0.0,0.8125,0.1875,3.7,0.7139386534690857,0.9,10.0,"['as_one', 'one_of', 'of_the', 'the_best', 'best_cities', 'cities_to', 'to_perform', 'perform_comedy', 'comedy_in']",0.0,0.12306103855371475,4.5,3.285151116951383,4.599211563731937,1,7.070000000000007,"#8, ","90.02, ","97.09, ",87.38,90.42
19,"00:01:30,507","00:01:31,549",You know? I'm just sayin'.,line_0019.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.09128513,0.063818455,0.12249960000000001,0.058681145,0.013714388000000001,0.25,0.25,0.0,0.0,0.0,0.5,2.5,0.04166666666666666,0.875,0.08333333333333333,3.1666666666666665,0.8122768998146057,0.8333333333333334,6.0,"['you_know', 'know_i', 'i_am', 'am_just', 'just_sayin']",0.0,0.2728595733642578,2.5,5.758157389635308,4.798464491362757,0,0.0,,,,90.51,91.55
