,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:13,680","00:00:15,140",[rock music playing],line_0000.wav,18.464517999999998,59.433964,-1.0,60.433964,25.131439999999998,0.6221837088388215,0.016254714,0.005437422,0.039120103999999996,0.03368268,0.0074068075,,,,,,,,,,,,,,,,,,,,,1,4.189999999999998,"#2, ","15.89, ","20.08, ",13.68,15.14
1,"00:00:22,439","00:00:25,859","[announcer] Please welcome to the stage, Hari Kondabolu.",line_0001.wav,7.973536500000001,136.11111,-1.0,137.11111,22.272202,0.8426470588235294,0.018988231,0.008241692,0.029055586,0.020813894,0.004136339,0.0,0.0,0.2,0.2,0.4,0.2,3.0,0.0,1.0,0.0,5.142857142857143,0.6140341758728027,0.8571428571428572,7.0,"['please_welcome', 'welcome_to', 'to_the', 'the_stage', 'stage_hari', 'hari_kondabolu']",0.0,-0.09140317142009736,3.0,2.0467836257309933,2.3391812865497066,2,5.069999999999997,"#3, #4, ","22.85, 29.92, ","27.45, 30.39, ",22.44,25.86
2,"00:00:25,942","00:00:27,235",[audience cheering],line_0002.wav,2.2679708,46.716103000000004,-1.0,47.716103000000004,11.46914,0.9247524752475248,0.019679947,0.012845103,0.024711287000000002,0.011866183999999998,0.0025385874,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,25.94,27.23
3,"00:00:30,196","00:00:32,198","Hello, Seattle. Are you good?",line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019025534,0.012812387,0.024280943,0.011468556000000001,0.0032186138,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.0625,0.4375,0.5,4.4,0.6143297553062439,0.8,5.0,"['hello_seattle', 'seattle_are', 'are_you', 'you_good']",0.0,0.10968150198459624,2.0,2.497502497502499,3.9960039960039984,0,0.0,,,,30.2,32.2
4,"00:00:33,491","00:00:34,951","Oh, it's beautiful.",line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01769729,0.012587215,0.02136587,0.008778655,0.0016166307,0.5,0.0,0.0,0.0,0.0,0.5,1.5,0.0625,0.4375,0.5,3.75,0.6935866475105286,0.75,4.0,"['oh_it', 'it_is', 'is_beautiful']",0.0,0.2909218966960907,1.5,2.7397260273972597,4.109589041095888,0,0.0,,,,33.49,34.95
5,"00:00:35,493","00:00:37,704",It is beautiful from here.,line_0005.wav,19.890062,68.478264,-1.0,69.478264,25.247662,0.5856164383561644,0.016486175,0.011981021000000001,0.021692831,0.00971181,0.0023894676,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,2.0,0.04166666666666666,0.625,0.3333333333333333,4.2,0.6935866475105286,0.8,5.0,"['it_is', 'is_beautiful', 'beautiful_from', 'from_here']",0.0,0.2842308580875397,2.0,2.2614201718679348,3.1659882406151083,1,5.140000000000001,"#5, ","36.23, ","41.37, ",35.49,37.7
6,"00:00:39,164","00:00:40,248",Man.,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.014277979,0.009022170999999999,0.02371719,0.0146950185,0.0033442925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9225092250922544,0.9225092250922544,0,0.0,,,,39.16,40.25
7,"00:00:42,000","00:00:45,295",It's packed in here. We got like 800 people in here.,line_0007.wav,31.354408000000003,122.5,-1.0,123.5,31.912086,0.4576659038901602,0.014966243,0.002057654,0.025971873,0.023914217999999998,0.006033605,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,5.5,0.02083333333333333,0.9166666666666666,0.0625,3.333333333333333,0.6935866475105286,0.9166666666666666,12.0,"['it_is', 'is_packed', 'packed_in', 'in_here', 'here_we', 'we_got', 'got_like', 'like_800', '800_people', 'people_in', 'in_here']",0.0,0.08488258719444275,5.5,3.641881638846736,3.641881638846736,1,7.509999999999998,"#6, ","44.09, ","51.6, ",42.0,45.3
8,"00:00:45,378","00:00:46,796",-Fantastic. -[audience cheering],line_0008.wav,1.2376341999999998,459.375,-1.0,460.375,30.625343,0.9946619217081851,0.016667789,0.013619606000000001,0.023196599,0.009576992,0.0021498364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,9.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.7052186177715095,2.1156558533145287,0,0.0,,,,45.38,46.8
9,"00:00:47,714","00:00:48,548",Great.,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.011301631999999999,0.008886774,0.017467586,0.008580812,0.0024164694000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.1990407673860866,1.1990407673860866,0,0.0,,,,47.71,48.55
10,"00:00:51,551","00:00:54,054","It's important that I know how many are here,",line_0010.wav,53.0119,111.36363999999999,-1.0,112.36363999999999,33.087814,0.22391084093211752,0.010336739000000001,0.0012302333,0.022974959,0.021744724,0.0056488530000000006,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,4.5,0.04166666666666666,0.7291666666666666,0.22916666666666666,3.6,0.8309826850891113,0.9,10.0,"['it_is', 'is_important', 'important_that', 'that_i', 'i_know', 'know_how', 'how_many', 'many_are', 'are_here']",0.0,0.2716112434864044,4.5,3.995205753096284,5.19376747902517,0,0.0,,,,51.55,54.05
11,"00:00:54,137","00:00:57,390",because my father will ask me after how many showed up.,line_0011.wav,48.4297,92.64706,-1.0,93.64706,21.89803,0.13369397217928902,0.011034947,0.0012533555,0.024944643,0.023691287000000002,0.0055639967000000005,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,5.0,0.0,1.0,0.0,4.0,0.7584683895111084,0.9090909090909092,11.0,"['because_my', 'my_father', 'father_will', 'will_ask', 'ask_me', 'me_after', 'after_how', 'how_many', 'many_showed', 'showed_up']",0.0,0.2909262776374817,5.0,3.3814940055333538,4.611128189363664,0,0.0,,,,54.14,57.39
12,"00:00:57,474","00:01:00,935",It doesn't matter what I say. He'll always say the same thing.,line_0012.wav,52.53448,88.2,-1.0,89.2,19.302132,0.09229651162790696,0.009069515,0.00071452715,0.021562283999999998,0.020847756000000002,0.00573,0.09090909090909093,0.18181818181818185,0.09090909090909093,0.18181818181818185,0.0,0.4545454545454545,6.5,0.06944444444444445,0.9305555555555556,0.0,3.571428571428572,0.8229971528053284,0.9285714285714286,14.0,"['it_does', 'does_not', 'not_matter', 'matter_what', 'what_i', 'i_say', 'say_he', 'he_will', 'will_always', 'always_say', 'say_the', 'the_same', 'same_thing']",0.0,0.31160902976989746,6.5,4.045073678127702,4.622941346431659,0,0.0,,,,57.47,60.94
13,"00:01:01,019","00:01:04,481","""How many people came to the show?"" ""Eight hundred."" ""Oh, that's it?""",line_0013.wav,45.862614,126.72413999999999,-1.0,127.72413999999999,29.858744,0.21568627450980396,0.01019089,0.00028766092000000003,0.030978376000000002,0.030690715,0.007560669399999999,0.125,0.125,0.25,0.25,0.0,0.25,6.0,0.025,0.925,0.05,3.692307692307693,0.8309826850891113,0.9230769230769232,13.0,"['how_many', 'many_people', 'people_came', 'came_to', 'to_the', 'the_show', 'show_eight', 'eight_hundred', 'hundred_oh', 'oh_that', 'that_is', 'is_it']",0.0,0.18925319612026212,6.0,3.75505488157135,4.6216060080878165,0,0.0,,,,61.02,64.48
14,"00:01:04,564","00:01:05,648",[audience laughing],line_0014.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.009178396,0.0010975364,0.017167695,0.01607016,0.00524642,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,64.56,65.65
15,"00:01:05,732","00:01:07,984",How is 800 not significant?,line_0015.wav,34.49501,79.891304,-1.0,80.891304,27.179249,0.34451901565995524,0.012084943999999999,0.002128618,0.02068789,0.018559271000000002,0.004700483,0.25,0.5,0.0,0.0,0.0,0.25,2.0,0.25,0.5416666666666666,0.20833333333333331,4.4,0.6519985795021057,0.8,5.0,"['how_is', 'is_800', '800_not', 'not_significant']",0.0,0.117726169526577,2.0,2.220248667850804,3.1083481349911253,0,0.0,,,,65.73,67.98
16,"00:01:08,068","00:01:12,072",Then I remember my parents are from India. Eight hundred is not a big number.,line_0016.wav,28.70453,122.5,-1.0,123.5,32.60556,0.5028248587570622,0.010496641499999999,0.00039109302000000005,0.024474517,0.024083424,0.006641446,0.18181818181818185,0.18181818181818185,0.09090909090909093,0.18181818181818185,0.09090909090909093,0.2727272727272727,7.0,0.171875,0.734375,0.09375,4.066666666666666,0.6730895638465881,0.9333333333333332,15.0,"['then_i', 'i_remember', 'remember_my', 'my_parents', 'parents_are', 'are_from', 'from_india', 'india_eight', 'eight_hundred', 'hundred_is', 'is_not', 'not_a', 'a_big', 'big_number']",0.0,0.06569468975067139,7.0,3.7462537462537417,5.494505494505487,1,0.7000000000000028,"#7, ","72.41, ","73.11, ",68.07,72.07
17,"00:01:12,155","00:01:13,615",[audience laughing],line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0142639475,0.0052658212,0.023159776,0.017893955,0.005023807,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,72.16,73.61
18,"00:01:13,865","00:01:17,786","""Oh, 800 people? Were you performing in a single Indian train car?""",line_0018.wav,54.780125,159.78261,-1.0,160.78261,39.063390000000005,0.212998712998713,0.013088328,0.0020116485999999998,0.025196608,0.023184958999999998,0.0051737926,0.25,0.0,0.125,0.375,0.0,0.25,5.5,0.017857142857142856,0.9464285714285714,0.03571428571428571,4.25,0.615680992603302,0.9166666666666666,12.0,"['oh_800', '800_people', 'people_were', 'were_you', 'you_performing', 'performing_in', 'in_a', 'a_single', 'single_indian', 'indian_train', 'train_car']",0.0,0.027174903079867363,5.5,3.060443764345825,4.335628666156587,1,1.1699999999999875,"#8, ","78.43, ","79.6, ",73.86,77.79
19,"00:01:17,869","00:01:19,370",[audience laughing],line_0019.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015859524,0.006426100600000001,0.024312628,0.017886527,0.0043157903000000004,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,77.87,79.37
20,"00:01:21,539","00:01:25,460","""Oh, 50,000 people? Were you performing at my high school reunion?""",line_0020.wav,38.757366,126.72413999999999,-1.0,127.72413999999999,29.230808000000003,0.3064619321817019,0.013742615500000001,0.0024239658,0.029395808,0.026971841,0.0058058471999999995,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,5.0,0.0625,0.875,0.0625,4.636363636363637,0.615680992603302,0.9090909090909092,11.0,"['oh_50000', '50000_people', 'people_were', 'were_you', 'you_performing', 'performing_at', 'at_my', 'my_high', 'high_school', 'school_reunion']",0.0,-0.0866115465760231,5.0,2.805406783983684,3.825554705432295,1,1.1200000000000045,"#9, ","85.5, ","86.62, ",81.54,85.46
21,"00:01:25,543","00:01:26,836",[audience laughing],line_0021.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013614,0.006413855,0.020944363,0.014530508000000001,0.0041805007,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,85.54,86.84
22,"00:01:28,630","00:01:31,508",I get nervous when I perform in front of my parents.,line_0022.wav,40.14392,82.27611999999999,-1.0,83.27611999999999,28.663496000000002,0.2969432314410481,0.010899131999999999,0.0012001036,0.032502558,0.031302456,0.0069861490000000005,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,5.0,0.0,0.95,0.05,3.727272727272727,0.6571947336196899,0.9090909090909092,11.0,"['i_get', 'get_nervous', 'nervous_when', 'when_i', 'i_perform', 'perform_in', 'in_front', 'front_of', 'of_my', 'my_parents']",0.0,0.1833001673221588,5.0,3.822098679638638,4.864489228630994,0,0.0,,,,88.63,91.51
23,"00:01:31,591","00:01:34,677",I want them to be proud. I don't wanna embarrass them.,line_0023.wav,54.118862,90.36885,-1.0,91.36885,15.990832000000001,0.05781758957654722,0.009244944,0.00045577540000000003,0.022991799,0.022536023,0.006056655,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,6.0,0.17857142857142858,0.6607142857142857,0.16071428571428573,3.3076923076923075,0.8306507468223572,0.9230769230769232,13.0,"['i_want', 'want_them', 'them_to', 'to_be', 'be_proud', 'proud_i', 'i_do', 'do_not', 'not_want', 'want_to', 'to_embarrass', 'embarrass_them']",0.0,0.1444171667098999,6.0,4.212572909915732,4.860661049902767,0,0.0,,,,91.59,94.68
