,filename,laughs,start,end,threshold,duration
1,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_1.wav,21.87,22.47,0.7,0.3
2,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_2.wav,26.87,28.86,0.7,0.3
3,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_3.wav,29.24,30.71,0.7,0.3
4,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_4.wav,32.07,36.69,0.7,0.3
5,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_5.wav,37.22,41.67,0.7,0.3
6,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_6.wav,47.36,51.41,0.7,0.3
7,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_7.wav,58.6,61.94,0.7,0.3
8,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_8.wav,75.57,75.87,0.7,0.3
9,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_9.wav,79.05,79.43,0.7,0.3
10,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_10.wav,96.33,96.98,0.7,0.3
11,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_11.wav,103.83,104.56,0.7,0.3
12,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_12.wav,134.68,139.95,0.7,0.3
13,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_13.wav,146.48,147.07,0.7,0.3
14,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_14.wav,188.53,193.26,0.7,0.3
15,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_15.wav,207.73,208.99,0.7,0.3
16,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_16.wav,242.12,242.54,0.7,0.3
17,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_17.wav,267.97,269.14,0.7,0.3
18,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_18.wav,274.94,277.8,0.7,0.3
19,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_19.wav,278.71,279.7,0.7,0.3
20,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_20.wav,283.65,284.19,0.7,0.3
21,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_21.wav,303.52,304.65,0.7,0.3
22,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_22.wav,311.24,311.6,0.7,0.3
23,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_23.wav,329.5,330.62,0.7,0.3
24,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_24.wav,344.64,345.49,0.7,0.3
25,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_25.wav,346.68,347.16,0.7,0.3
26,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_26.wav,397.54,398.12,0.7,0.3
27,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_27.wav,401.66,404.76,0.7,0.3
28,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_28.wav,418.84,420.5,0.7,0.3
29,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_29.wav,422.11,423.03,0.7,0.3
30,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_30.wav,434.4,435.45,0.7,0.3
31,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_31.wav,439.99,442.27,0.7,0.3
32,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_32.wav,448.3,449.86,0.7,0.3
33,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_33.wav,452.76,454.66,0.7,0.3
34,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_34.wav,458.12,459.13,0.7,0.3
35,Hasan.Minhaj.Homecoming.King.2017.WEBRip.x264.iFLiX-music.wav,/laughs/laugh_35.wav,465.06,465.5,0.7,0.3
