,filename,laughs,start,end,threshold,duration
0,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_0.wav,11.52,13.07,0.7,0.3
1,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_1.wav,13.74,16.08,0.7,0.3
2,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_2.wav,16.79,17.77,0.7,0.3
3,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_3.wav,18.68,20.52,0.7,0.3
4,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_4.wav,21.9,35.64,0.7,0.3
5,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_5.wav,44.33,45.95,0.7,0.3
6,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_6.wav,47.72,49.12,0.7,0.3
7,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_7.wav,51.5,52.55,0.7,0.3
8,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_8.wav,56.33,58.23,0.7,0.3
9,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_9.wav,63.12,63.97,0.7,0.3
10,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_10.wav,65.63,66.27,0.7,0.3
11,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_11.wav,68.93,70.88,0.7,0.3
12,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_12.wav,71.86,72.88,0.7,0.3
13,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_13.wav,75.24,77.42,0.7,0.3
14,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_14.wav,79.38,86.05,0.7,0.3
15,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_15.wav,87.44,89.34,0.7,0.3
16,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_16.wav,90.82,92.4,0.7,0.3
17,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_17.wav,99.11,99.65,0.7,0.3
18,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_18.wav,100.06,106.29,0.7,0.3
19,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_19.wav,109.1,112.16,0.7,0.3
20,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_20.wav,114.91,124.57,0.7,0.3
21,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_21.wav,126.82,157.3,0.7,0.3
22,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_22.wav,160.12,167.1,0.7,0.3
23,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_23.wav,168.59,170.55,0.7,0.3
24,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_24.wav,172.23,174.35,0.7,0.3
25,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_25.wav,175.46,176.85,0.7,0.3
26,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_26.wav,177.84,179.29,0.7,0.3
27,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_27.wav,181.06,182.63,0.7,0.3
28,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_28.wav,183.69,185.95,0.7,0.3
29,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_29.wav,186.49,188.79,0.7,0.3
30,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_30.wav,191.11,193.39,0.7,0.3
31,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_31.wav,194.43,199.43,0.7,0.3
32,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_32.wav,201.43,201.86,0.7,0.3
33,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_33.wav,205.35,206.47,0.7,0.3
34,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_34.wav,207.52,213.56,0.7,0.3
35,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_35.wav,214.54,216.39,0.7,0.3
36,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_36.wav,218.25,219.94,0.7,0.3
37,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_37.wav,221.78,224.9,0.7,0.3
38,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_38.wav,225.89,226.29,0.7,0.3
39,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_39.wav,226.84,231.37,0.7,0.3
40,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_40.wav,234.27,241.02,0.7,0.3
41,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_41.wav,241.89,243.99,0.7,0.3
42,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_42.wav,245.66,247.8,0.7,0.3
43,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_43.wav,248.94,249.92,0.7,0.3
44,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_44.wav,251.89,253.78,0.7,0.3
45,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_45.wav,256.49,259.26,0.7,0.3
46,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_46.wav,262.16,263.17,0.7,0.3
47,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_47.wav,264.53,265.07,0.7,0.3
48,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_48.wav,267.59,270.62,0.7,0.3
49,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_49.wav,272.33,274.72,0.7,0.3
50,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_50.wav,276.23,278.08,0.7,0.3
51,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_51.wav,279.25,281.67,0.7,0.3
52,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_52.wav,282.14,285.32,0.7,0.3
53,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_53.wav,286.14,287.53,0.7,0.3
54,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_54.wav,290.11,292.71,0.7,0.3
55,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_55.wav,298.17,299.25,0.7,0.3
56,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_56.wav,299.37,301.56,0.7,0.3
57,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_57.wav,303.42,305.0,0.7,0.3
58,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_58.wav,305.69,308.24,0.7,0.3
59,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_59.wav,310.07,313.5,0.7,0.3
60,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_60.wav,318.85,325.81,0.7,0.3
61,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_61.wav,328.22,336.85,0.7,0.3
62,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_62.wav,337.31,341.51,0.7,0.3
63,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_63.wav,346.71,350.98,0.7,0.3
64,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_64.wav,352.41,353.44,0.7,0.3
65,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_65.wav,357.44,361.81,0.7,0.3
66,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_66.wav,362.95,364.05,0.7,0.3
67,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_67.wav,366.53,375.43,0.7,0.3
68,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_68.wav,377.29,380.11,0.7,0.3
69,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_69.wav,381.47,382.02,0.7,0.3
70,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_70.wav,383.44,385.93,0.7,0.3
71,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_71.wav,387.03,391.4,0.7,0.3
72,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_72.wav,393.16,396.59,0.7,0.3
73,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_73.wav,400.68,405.94,0.7,0.3
74,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_74.wav,407.96,413.23,0.7,0.3
75,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_75.wav,416.81,423.75,0.7,0.3
76,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_76.wav,424.26,428.98,0.7,0.3
77,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_77.wav,431.18,432.03,0.7,0.3
78,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_78.wav,432.78,436.84,0.7,0.3
79,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_79.wav,438.49,449.03,0.7,0.3
80,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_80.wav,452.58,453.38,0.7,0.3
81,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_81.wav,454.08,456.07,0.7,0.3
82,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_82.wav,457.76,460.66,0.7,0.3
83,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_83.wav,462.71,464.24,0.7,0.3
84,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_84.wav,468.08,480.96,0.7,0.3
85,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_85.wav,482.41,483.12,0.7,0.3
86,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_86.wav,485.95,487.51,0.7,0.3
87,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_87.wav,489.15,493.06,0.7,0.3
88,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_88.wav,493.63,495.26,0.7,0.3
89,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_89.wav,495.93,500.68,0.7,0.3
90,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_90.wav,502.38,507.36,0.7,0.3
91,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_91.wav,508.27,513.64,0.7,0.3
92,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_92.wav,516.79,520.16,0.7,0.3
93,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_93.wav,524.23,526.56,0.7,0.3
94,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_94.wav,527.61,531.57,0.7,0.3
95,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_95.wav,533.61,534.78,0.7,0.3
96,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_96.wav,535.42,536.59,0.7,0.3
97,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_97.wav,537.06,545.03,0.7,0.3
98,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_98.wav,546.41,547.55,0.7,0.3
99,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_99.wav,551.51,552.68,0.7,0.3
100,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_100.wav,552.9,559.35,0.7,0.3
101,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_101.wav,568.57,570.68,0.7,0.3
102,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_102.wav,571.9,575.67,0.7,0.3
103,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_103.wav,581.9,584.79,0.7,0.3
104,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_104.wav,585.74,587.81,0.7,0.3
105,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_105.wav,589.19,591.92,0.7,0.3
106,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_106.wav,598.01,599.35,0.7,0.3
107,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_107.wav,600.51,604.82,0.7,0.3
108,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_108.wav,609.19,610.74,0.7,0.3
109,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_109.wav,614.04,619.39,0.7,0.3
110,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_110.wav,632.69,642.02,0.7,0.3
111,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_111.wav,643.03,645.85,0.7,0.3
112,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_112.wav,645.93,648.48,0.7,0.3
113,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_113.wav,650.37,653.78,0.7,0.3
114,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_114.wav,655.39,659.08,0.7,0.3
115,Jim.Gaffigan.Cinco.2017-music.wav,/laughs/laugh_115.wav,660.99,665.09,0.7,0.3
