,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:36,620","00:00:37,663",Thank you.,line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019709077,0.014716193,0.031290907,0.016574713999999997,0.004069072,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.917545541706617,1.917545541706617,0,0.0,,,,36.62,37.66
1,"00:00:37,746","00:00:39,248","Oh, my God.",line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019420521,0.013793231000000001,0.033092037000000005,0.019298807,0.0040802113,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,2.333333333333333,0.6244778037071228,0.6666666666666667,3.0,"['oh_my', 'my_god']",0.0,0.3776611387729645,1.0,1.9973368841544668,1.9973368841544668,0,0.0,,,,37.75,39.25
2,"00:00:39,331","00:00:40,832",Sit down.,line_0002.wav,9.703182,52.00472,-1.0,53.00471999999999,19.249691000000002,0.7625418060200669,0.01724074,0.010623948999999999,0.029218112999999997,0.018594164,0.0040379264,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,3.5,0.5990027785301208,0.5,2.0,['sit_down'],0.0,0.5990027785301208,0.5,1.332445036642241,1.332445036642241,2,8.169999999999995,"#2, #3, ","41.31, 44.13, ","43.64, 49.97, ",39.33,40.83
3,"00:00:45,128","00:00:46,255",All right.,line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01638765,0.011094372,0.022032699,0.010938327,0.0035406477000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.375,4.0,0.5601648092269897,0.5,2.0,['all_right'],0.0,0.5601648092269897,0.5,1.7746228926353111,1.7746228926353111,0,0.0,,,,45.13,46.26
4,"00:00:48,090","00:00:51,051","Get down, get down. We got jokes to tell. Come on.",line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.014483853,0.006537389,0.02640844,0.01987105,0.005051624,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,5.0,0.0,0.875,0.125,3.272727272727273,1.0000001192092896,0.9090909090909092,11.0,"['get_down', 'down_get', 'get_down', 'down_we', 'we_got', 'got_jokes', 'jokes_to', 'to_tell', 'tell_come', 'come_on']",0.0,0.2014886438846588,5.0,3.7149611617696734,3.7149611617696734,1,4.149999999999999,"#4, ","50.15, ","54.3, ",48.09,51.05
5,"00:00:52,970","00:00:54,930","All right, let's start this shit.",line_0005.wav,10.246945,114.84375,-1.0,115.84375,25.900036,0.8247422680412371,0.0120096225,0.0053364504000000005,0.02199864,0.01666219,0.003908427,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,3.0,0.05,0.8,0.15,3.7142857142857135,0.7154400944709778,0.8571428571428572,7.0,"['all_right', 'right_let', 'let_us', 'us_start', 'start_this', 'this_shit']",0.0,0.33586153388023376,3.0,3.5714285714285694,3.5714285714285694,0,0.0,,,,52.97,54.93
6,"00:00:58,642","00:01:00,018",Bill Cosby.,line_0006.wav,30.824995,227.31957999999997,-1.0,228.31957999999997,34.774796,0.4816176470588235,0.010658504,0.0010292919,0.028391872000000002,0.02736258,0.0073444619999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,4.5,0.2229819893836975,0.5,2.0,['bill_cosby'],0.0,0.2229819893836975,0.5,1.4534883720930256,2.1802325581395388,0,0.0,,,,58.64,60.02
7,"00:01:01,895","00:01:05,732","Now, I don't know if you get all the news here in Nashville...",line_0007.wav,47.411907,74.49324,-1.0,75.49324,16.65758,0.08262295081967214,0.010702142,0.0013942968,0.02307543,0.021681133999999998,0.0055931869999999995,0.1,0.3,0.1,0.1,0.1,0.3,6.5,0.078125,0.90625,0.015625,3.2857142857142856,0.8122768998146057,0.9285714285714286,14.0,"['now_i', 'i_do', 'do_not', 'not_know', 'know_if', 'if_you', 'you_get', 'get_all', 'all_the', 'the_news', 'news_here', 'here_in', 'in_nashville']",0.0,0.04847313463687897,6.5,3.6486838676049036,3.909304143862396,0,0.0,,,,61.9,65.73
8,"00:01:07,150","00:01:08,735",but I may say something,line_0008.wav,62.713936,136.11111,-1.0,137.11111,38.118805,0.15955766192733015,0.011935656000000001,0.0029970070000000003,0.022264827,0.01926782,0.0055150780000000005,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,3.8,0.7771266102790833,0.8,5.0,"['but_i', 'i_may', 'may_say', 'say_something']",0.0,0.3312329649925232,2.0,3.1545741324921264,3.785488958990552,0,0.0,,,,67.15,68.73
9,"00:01:08,819","00:01:11,280",that's very upsetting to many of you.,line_0009.wav,43.528114,111.36363999999999,-1.0,112.36363999999999,25.665052,0.20368474923234392,0.011039961000000001,0.0011616647,0.020384766000000002,0.019223101,0.005752354,0.4,0.2,0.2,0.0,0.0,0.2,3.5,0.28125,0.59375,0.125,3.75,0.701949954032898,0.875,8.0,"['that_is', 'is_very', 'very_upsetting', 'upsetting_to', 'to_many', 'many_of', 'of_you']",0.0,0.13208146393299106,3.5,3.2507110930516068,4.87606663957741,0,0.0,,,,68.82,71.28
