,filename,laughs,start,end,threshold,duration
1,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_1.wav,24.73,28.56,0.7,0.3
2,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_2.wav,29.55,30.94,0.7,0.3
3,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_3.wav,32.57,34.22,0.7,0.3
4,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_4.wav,36.34,37.06,0.7,0.3
5,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_5.wav,38.46,39.65,0.7,0.3
6,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_6.wav,41.17,45.74,0.7,0.3
7,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_7.wav,45.91,52.08,0.7,0.3
8,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_8.wav,52.85,55.31,0.7,0.3
9,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_9.wav,56.38,58.18,0.7,0.3
10,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_10.wav,59.2,61.18,0.7,0.3
11,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_11.wav,62.34,67.1,0.7,0.3
12,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_12.wav,70.12,72.29,0.7,0.3
13,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_13.wav,78.47,79.1,0.7,0.3
14,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_14.wav,80.94,96.09,0.7,0.3
15,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_15.wav,97.81,103.78,0.7,0.3
16,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_16.wav,104.49,109.62,0.7,0.3
17,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_17.wav,110.81,115.97,0.7,0.3
18,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_18.wav,117.05,120.75,0.7,0.3
19,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_19.wav,122.79,123.72,0.7,0.3
20,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_20.wav,124.78,126.21,0.7,0.3
21,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_21.wav,127.02,140.8,0.7,0.3
22,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_22.wav,141.81,171.11,0.7,0.3
23,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_23.wav,172.19,176.06,0.7,0.3
24,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_24.wav,177.03,186.89,0.7,0.3
25,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_25.wav,188.88,194.64,0.7,0.3
26,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_26.wav,195.1,202.69,0.7,0.3
27,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_27.wav,204.68,206.07,0.7,0.3
28,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_28.wav,207.95,214.56,0.7,0.3
29,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_29.wav,216.16,220.88,0.7,0.3
30,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_30.wav,223.72,227.21,0.7,0.3
31,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_31.wav,230.95,231.65,0.7,0.3
32,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_32.wav,233.29,233.91,0.7,0.3
33,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_33.wav,237.48,239.59,0.7,0.3
34,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_34.wav,240.61,241.02,0.7,0.3
35,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_35.wav,242.71,244.72,0.7,0.3
36,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_36.wav,248.61,251.48,0.7,0.3
37,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_37.wav,252.74,257.05,0.7,0.3
38,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_38.wav,257.64,260.57,0.7,0.3
39,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_39.wav,261.36,262.01,0.7,0.3
40,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_40.wav,264.02,264.81,0.7,0.3
41,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_41.wav,271.08,274.5,0.7,0.3
42,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_42.wav,278.85,284.09,0.7,0.3
43,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_43.wav,284.46,285.69,0.7,0.3
44,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_44.wav,286.78,296.27,0.7,0.3
45,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_45.wav,297.32,306.17,0.7,0.3
46,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_46.wav,311.42,312.51,0.7,0.3
47,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_47.wav,312.95,313.43,0.7,0.3
48,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_48.wav,314.65,315.8,0.7,0.3
49,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_49.wav,316.69,317.92,0.7,0.3
50,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_50.wav,320.6,322.0,0.7,0.3
51,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_51.wav,325.33,330.04,0.7,0.3
52,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_52.wav,331.17,331.68,0.7,0.3
53,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_53.wav,333.18,335.83,0.7,0.3
54,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_54.wav,336.4,337.28,0.7,0.3
55,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_55.wav,341.86,342.34,0.7,0.3
56,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_56.wav,346.18,346.54,0.7,0.3
57,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_57.wav,347.07,349.95,0.7,0.3
58,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_58.wav,353.18,355.26,0.7,0.3
59,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_59.wav,356.44,357.27,0.7,0.3
60,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_60.wav,358.16,361.2,0.7,0.3
61,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_61.wav,364.0,365.05,0.7,0.3
62,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_62.wav,367.82,373.22,0.7,0.3
63,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_63.wav,374.72,385.45,0.7,0.3
64,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_64.wav,387.06,387.4,0.7,0.3
65,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_65.wav,389.08,389.86,0.7,0.3
66,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_66.wav,391.6,394.29,0.7,0.3
67,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_67.wav,394.89,397.75,0.7,0.3
68,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_68.wav,398.06,399.85,0.7,0.3
69,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_69.wav,401.97,403.28,0.7,0.3
70,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_70.wav,404.9,406.55,0.7,0.3
71,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_71.wav,411.62,418.78,0.7,0.3
72,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_72.wav,420.08,421.78,0.7,0.3
73,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_73.wav,422.58,423.33,0.7,0.3
74,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_74.wav,425.56,426.98,0.7,0.3
75,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_75.wav,428.77,436.75,0.7,0.3
76,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_76.wav,437.51,444.06,0.7,0.3
77,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_77.wav,445.78,447.47,0.7,0.3
78,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_78.wav,449.11,453.41,0.7,0.3
79,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_79.wav,454.98,455.66,0.7,0.3
80,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_80.wav,459.16,459.99,0.7,0.3
81,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_81.wav,462.03,462.61,0.7,0.3
82,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_82.wav,463.46,465.69,0.7,0.3
83,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_83.wav,466.35,472.35,0.7,0.3
84,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_84.wav,473.83,483.24,0.7,0.3
85,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_85.wav,484.79,485.8,0.7,0.3
86,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_86.wav,487.39,489.09,0.7,0.3
87,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_87.wav,491.51,493.43,0.7,0.3
88,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_88.wav,496.37,498.28,0.7,0.3
89,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_89.wav,498.92,499.55,0.7,0.3
90,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_90.wav,502.41,503.86,0.7,0.3
91,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_91.wav,504.87,510.35,0.7,0.3
92,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_92.wav,511.93,521.0,0.7,0.3
93,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_93.wav,522.02,523.14,0.7,0.3
94,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_94.wav,524.42,527.53,0.7,0.3
95,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_95.wav,529.36,532.7,0.7,0.3
96,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_96.wav,533.63,534.82,0.7,0.3
97,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_97.wav,536.18,538.13,0.7,0.3
98,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_98.wav,539.81,540.81,0.7,0.3
99,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_99.wav,541.91,543.02,0.7,0.3
100,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_100.wav,546.24,547.4,0.7,0.3
101,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_101.wav,550.28,552.36,0.7,0.3
102,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_102.wav,553.23,556.43,0.7,0.3
103,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_103.wav,557.65,560.22,0.7,0.3
104,Jim.Norton..Mouthful.of.Shame..2017-music.wav,/laughs/laugh_104.wav,560.98,562.04,0.7,0.3
