,filename,laughs,start,end,threshold,duration
1,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_1.wav,10.8,16.06,0.7,0.3
2,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_2.wav,16.82,32.93,0.7,0.3
3,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_3.wav,34.5,36.88,0.7,0.3
4,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_4.wav,38.41,74.68,0.7,0.3
5,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_5.wav,79.0,80.17,0.7,0.3
6,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_6.wav,81.81,82.57,0.7,0.3
7,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_7.wav,87.45,91.3,0.7,0.3
8,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_8.wav,92.03,93.81,0.7,0.3
9,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_9.wav,96.54,97.34,0.7,0.3
10,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_10.wav,100.47,104.95,0.7,0.3
11,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_11.wav,107.03,108.65,0.7,0.3
12,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_12.wav,112.79,114.53,0.7,0.3
13,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_13.wav,119.24,119.96,0.7,0.3
14,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_14.wav,123.73,129.64,0.7,0.3
15,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_15.wav,131.13,133.01,0.7,0.3
16,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_16.wav,137.19,137.6,0.7,0.3
17,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_17.wav,145.08,148.04,0.7,0.3
18,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_18.wav,148.76,155.16,0.7,0.3
19,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_19.wav,159.29,163.77,0.7,0.3
20,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_20.wav,164.96,166.97,0.7,0.3
21,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_21.wav,167.78,169.31,0.7,0.3
22,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_22.wav,169.78,171.26,0.7,0.3
23,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_23.wav,173.86,176.28,0.7,0.3
24,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_24.wav,180.61,182.08,0.7,0.3
25,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_25.wav,183.18,184.41,0.7,0.3
26,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_26.wav,185.75,188.62,0.7,0.3
27,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_27.wav,212.61,218.6,0.7,0.3
28,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_28.wav,220.83,222.07,0.7,0.3
29,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_29.wav,231.98,236.11,0.7,0.3
30,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_30.wav,239.39,244.3,0.7,0.3
31,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_31.wav,246.05,247.4,0.7,0.3
32,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_32.wav,260.65,264.21,0.7,0.3
33,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_33.wav,271.69,273.29,0.7,0.3
34,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_34.wav,278.9,280.37,0.7,0.3
35,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_35.wav,285.19,286.3,0.7,0.3
36,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_36.wav,287.07,289.11,0.7,0.3
37,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_37.wav,290.46,291.18,0.7,0.3
38,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_38.wav,292.54,293.52,0.7,0.3
39,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_39.wav,297.35,301.2,0.7,0.3
40,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_40.wav,303.18,310.7,0.7,0.3
41,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_41.wav,313.28,315.18,0.7,0.3
42,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_42.wav,316.7,325.36,0.7,0.3
43,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_43.wav,327.55,329.66,0.7,0.3
44,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_44.wav,335.66,339.02,0.7,0.3
45,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_45.wav,352.71,355.51,0.7,0.3
46,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_46.wav,358.42,358.75,0.7,0.3
47,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_47.wav,368.52,369.22,0.7,0.3
48,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_48.wav,371.99,373.48,0.7,0.3
49,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_49.wav,378.61,381.77,0.7,0.3
50,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_50.wav,389.34,390.97,0.7,0.3
51,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_51.wav,398.12,398.84,0.7,0.3
52,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_52.wav,407.99,414.2,0.7,0.3
53,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_53.wav,415.25,415.95,0.7,0.3
54,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_54.wav,423.4,437.31,0.7,0.3
55,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_55.wav,438.98,440.71,0.7,0.3
56,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_56.wav,441.76,443.2,0.7,0.3
57,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_57.wav,449.37,450.98,0.7,0.3
58,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_58.wav,452.56,453.81,0.7,0.3
59,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_59.wav,460.59,461.94,0.7,0.3
60,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_60.wav,464.02,466.32,0.7,0.3
61,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_61.wav,467.78,469.28,0.7,0.3
62,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_62.wav,469.47,474.66,0.7,0.3
63,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_63.wav,477.26,482.05,0.7,0.3
64,Joe.Rogan.Triggered.2016.1080p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_64.wav,485.96,499.34,0.7,0.3
