,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:02,000","00:00:06,000",Provided by torrentgalaxy.to,line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.009374722,6.3761513e-06,0.031444192,0.031437814,0.009346506999999999,,,,,,,,,,,,,,,,,,,,,1,2.039999999999999,"#0, ","10.21, ","12.25, ",2.0,6.0
1,"00:00:11,177","00:00:15,974","♪ No gyal can tell me 'bout my mother ♪ ♪ 16 shot, we go longer than a ladder ♪",line_0001.wav,3.1863728,62.288136,-1.0,63.288136,14.259670000000002,0.9203771608171818,0.028993705,0.01500204,0.050018307000000005,0.03501627,0.00795503,,,,,,,,,,,,,,,,,,,,,2,2.1899999999999995,"#1, #2, ","13.51, 15.97, ","14.53, 17.14, ",11.18,15.97
2,"00:00:16,057","00:00:18,393",♪ Dem nuh fi talk  'Bout the real don dada ♪,line_0002.wav,2.752654,56.82989499999999,-1.0,57.82989499999999,13.147888,0.9238197424892703,0.028692900000000004,0.014543341000000001,0.041856233,0.027312892999999998,0.005663744,,,,,,,,,,,,,,,,,,,,,1,0.9100000000000001,"#3, ","18.46, ","19.37, ",16.06,18.39
3,"00:00:18,476","00:00:21,062",♪ Put body inna pot  Dem a bun like grabba ♪,line_0003.wav,0.7892875,63.728325,-1.0,64.728325,10.184289999999999,0.9699903194578896,0.034790392999999996,0.017442191,0.058751553,0.041309364,0.008587257,,,,,,,,,,,,,,,,,,,,,1,1.4899999999999984,"#4, ","20.57, ","22.06, ",18.48,21.06
4,"00:00:21,146","00:00:23,440",♪ No boy can diss me or my mother ♪,line_0004.wav,0.33826637,50.573395,-1.0,51.573395,7.833827499999999,0.9715536105032824,0.028311966,0.013717758500000002,0.0487091,0.03499134,0.0070041902000000005,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,21.15,23.44
5,"00:00:23,523","00:00:26,109",♪ Round here ain't safe Everybody need armour ♪,line_0005.wav,2.1611495,52.251186,-1.0,53.251186,12.09976,0.9357351509250244,0.030908724,0.014634507,0.057178963,0.042544454,0.0074825644999999994,,,,,,,,,,,,,,,,,,,,,2,2.349999999999998,"#5, #6, ","23.6, 26.19, ","24.67, 27.47, ",23.52,26.11
6,"00:00:26,192","00:00:28,570","♪ 16 shot, we go shotta any bluddah ♪",line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.028983843999999998,0.013828881999999999,0.0504675,0.036638618,0.0073442054000000005,,,,,,,,,,,,,,,,,,,,,1,3.830000000000002,"#7, ","28.41, ","32.24, ",26.19,28.57
7,"00:00:28,653","00:00:30,864","♪ Rah-ta, rah-ta Ka-kah, ka-kah, ka-kah ♪",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.037569933,0.013388138,0.06177535,0.04838721,0.010252449,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,28.65,30.86
8,"00:00:30,947","00:00:32,949",♪ Rah-ka-ka-ka-ka-rahh! ♪,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.025438966,0.0084632365,0.05207396,0.04361072,0.011195388999999998,,,,,,,,,,,,,,,,,,,,,1,1.6799999999999997,"#8, ","33.35, ","35.03, ",30.95,32.95
9,"00:00:36,119","00:00:37,328",♪ You couldn't be badder,line_0009.wav,8.42644,54.04411700000001,-1.0,55.04411700000001,18.689384,0.7957894736842105,0.029984822,0.019723743000000002,0.06515181,0.045428067,0.008166708,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.12,37.33
10,"00:00:37,412","00:00:38,705",-♪ Than a King-stony ♪ -Hi!,line_0010.wav,10.368160000000001,81.666664,-1.0,82.666664,24.140156,0.8111332007952287,0.034983423,0.021882903,0.05984259,0.037959687,0.008526735,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,37.41,38.7
11,"00:00:38,788","00:00:41,249",♪ Diss my mother  Then your skin start bleed ♪,line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.038966900000000006,0.02040579,0.065729044,0.045323253,0.009268571,,,,,,,,,,,,,,,,,,,,,1,1.5200000000000031,"#9, ","39.61, ","41.13, ",38.79,41.25
12,"00:00:41,374","00:00:43,710",♪ So don't bother mess with my mommy ♪,line_0012.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.034951746,0.020357113,0.060503334000000006,0.04014622,0.009121608,,,,,,,,,,,,,,,,,,,,,1,5.43,"#10, ","46.34, ","51.77, ",41.37,43.71
13,"00:00:44,335","00:00:46,212",[crowd cheering],line_0013.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.049650226,0.035363846000000004,0.06265605,0.027292207000000002,0.0062577734,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,44.34,46.21
14,"00:00:46,337","00:00:48,965","♪ Baby, tink you bad  Say ya badder than she ♪",line_0014.wav,8.287378,51.760563,-1.0,52.760563,18.359852,0.7954110898661568,0.034904458,0.02282696,0.055653483,0.03282652,0.006418093000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,46.34,48.97
15,"00:00:49,049","00:00:51,384",♪ If dog a-go bark Long time dem doh eat ♪,line_0015.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.037780944,0.027949806,0.059816558,0.03186675,0.0060769045,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,4.5,0.02083333333333333,0.9375,0.04166666666666666,2.9,0.6553521752357483,0.9,10.0,"['if_dog', 'dog_a', 'a_go', 'go_bark', 'bark_long', 'long_time', 'time_dem', 'dem_doh', 'doh_eat']",0.0,-0.0295819491147995,4.5,4.282655246252675,3.854389721627408,3,8.14,"#11, #12, #13, ","52.57, 54.45, 57.25, ","53.13, 56.15, 63.13, ",49.05,51.38
16,"00:00:52,177","00:00:53,803",[crowd cheering],line_0016.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.04752403,0.041109025,0.056756843,0.015647816999999998,0.0036268611,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,52.18,53.8
17,"00:00:59,809","00:01:01,352",Hello!,line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.043315385,0.013714711000000001,0.06342881,0.0497141,0.015024678999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.6480881399870385,1.2961762799740773,0,0.0,,,,59.81,61.35
18,"00:01:02,187","00:01:05,899",Welcome. Thank you so much  for sharing your evening with me.,line_0018.wav,38.60437,239.67392,-1.0,240.67392,38.485336,0.3742414025623736,0.03323579,0.0026745088,0.075318426,0.07264392,0.017808415,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,5.0,0.0,0.95,0.05,4.363636363636363,0.8314532637596129,0.9090909090909092,11.0,"['welcome_thank', 'thank_you', 'you_so', 'so_much', 'much_for', 'for_sharing', 'sharing_your', 'your_evening', 'evening_with', 'with_me']",0.0,0.2626621425151825,5.0,2.9633620689655147,3.771551724137928,0,0.0,,,,62.19,65.9
