,filename,laughs,start,end,threshold,duration
0,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_0.wav,27.37,29.03,0.7,0.3
1,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_1.wav,32.91,37.48,0.7,0.3
2,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_2.wav,56.08,62.78,0.7,0.3
3,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_3.wav,63.82,66.04,0.7,0.3
4,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_4.wav,69.72,77.25,0.7,0.3
5,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_5.wav,79.31,80.07,0.7,0.3
6,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_6.wav,112.45,113.41,0.7,0.3
7,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_7.wav,115.56,116.05,0.7,0.3
8,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_8.wav,121.15,122.47,0.7,0.3
9,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_9.wav,176.78,177.41,0.7,0.3
10,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_10.wav,183.1,183.82,0.7,0.3
11,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_11.wav,186.37,186.7,0.7,0.3
12,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_12.wav,188.04,189.49,0.7,0.3
13,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_13.wav,245.52,246.91,0.7,0.3
14,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_14.wav,259.3,262.04,0.7,0.3
15,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_15.wav,264.6,266.04,0.7,0.3
16,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_16.wav,309.54,311.89,0.7,0.3
17,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_17.wav,351.87,355.99,0.7,0.3
18,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_18.wav,359.52,362.97,0.7,0.3
19,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_19.wav,389.37,390.82,0.7,0.3
20,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_20.wav,399.86,400.73,0.7,0.3
21,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_21.wav,409.7,410.37,0.7,0.3
22,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_22.wav,412.36,412.92,0.7,0.3
23,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_23.wav,415.71,416.29,0.7,0.3
24,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_24.wav,426.94,429.05,0.7,0.3
25,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_25.wav,494.7,496.56,0.7,0.3
26,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_26.wav,519.16,519.91,0.7,0.3
27,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_27.wav,532.48,534.05,0.7,0.3
28,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_28.wav,544.39,546.1,0.7,0.3
29,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_29.wav,560.32,560.99,0.7,0.3
30,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_30.wav,584.89,586.58,0.7,0.3
31,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_31.wav,611.24,612.2,0.7,0.3
32,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_32.wav,641.55,641.97,0.7,0.3
33,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_33.wav,655.62,657.84,0.7,0.3
34,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_34.wav,659.68,664.28,0.7,0.3
35,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_35.wav,670.47,671.68,0.7,0.3
36,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_36.wav,673.69,676.31,0.7,0.3
37,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_37.wav,689.36,689.68,0.7,0.3
38,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_38.wav,704.23,707.0,0.7,0.3
39,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_39.wav,751.74,757.55,0.7,0.3
40,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_40.wav,786.0,786.32,0.7,0.3
41,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_41.wav,812.93,814.33,0.7,0.3
42,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_42.wav,837.36,838.31,0.7,0.3
43,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_43.wav,843.88,844.61,0.7,0.3
44,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_44.wav,881.25,881.64,0.7,0.3
45,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_45.wav,893.79,895.0,0.7,0.3
46,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_46.wav,903.15,910.02,0.7,0.3
47,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_47.wav,960.99,961.57,0.7,0.3
48,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_48.wav,1016.69,1017.65,0.7,0.3
49,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_49.wav,1023.24,1024.13,0.7,0.3
50,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_50.wav,1025.56,1026.1,0.7,0.3
51,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_51.wav,1033.03,1033.48,0.7,0.3
52,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_52.wav,1063.18,1063.72,0.7,0.3
53,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_53.wav,1072.51,1074.39,0.7,0.3
54,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_54.wav,1104.03,1105.14,0.7,0.3
55,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_55.wav,1106.38,1109.55,0.7,0.3
56,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_56.wav,1111.06,1112.63,0.7,0.3
57,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_57.wav,1144.62,1145.63,0.7,0.3
58,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_58.wav,1168.97,1169.7,0.7,0.3
59,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_59.wav,1175.78,1181.1,0.7,0.3
60,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_60.wav,1185.94,1189.72,0.7,0.3
61,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_61.wav,1190.89,1192.48,0.7,0.3
62,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_62.wav,1315.29,1316.3,0.7,0.3
63,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_63.wav,1323.28,1324.83,0.7,0.3
64,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_64.wav,1376.14,1377.1,0.7,0.3
65,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_65.wav,1386.52,1389.18,0.7,0.3
66,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_66.wav,1455.8,1456.63,0.7,0.3
67,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_67.wav,1464.4,1465.17,0.7,0.3
68,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_68.wav,1467.91,1468.59,0.7,0.3
69,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_69.wav,1473.49,1477.88,0.7,0.3
70,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_70.wav,1479.51,1480.13,0.7,0.3
71,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_71.wav,1501.46,1503.56,0.7,0.3
72,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_72.wav,1509.07,1509.88,0.7,0.3
73,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_73.wav,1537.18,1537.58,0.7,0.3
74,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_74.wav,1553.69,1556.11,0.7,0.3
75,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_75.wav,1558.85,1560.55,0.7,0.3
76,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_76.wav,1563.61,1567.4,0.7,0.3
77,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_77.wav,1605.05,1606.09,0.7,0.3
78,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_78.wav,1612.65,1613.11,0.7,0.3
79,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_79.wav,1618.82,1619.92,0.7,0.3
80,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_80.wav,1623.66,1624.99,0.7,0.3
81,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_81.wav,1630.75,1631.6,0.7,0.3
82,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_82.wav,1686.73,1687.11,0.7,0.3
83,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_83.wav,1707.92,1708.79,0.7,0.3
84,Kevin.James.Never.Dont.Give.Up.2018..1080p-music.wav,/laughs/laugh_84.wav,1716.36,1717.25,0.7,0.3
