,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,550","00:00:10,219",I always like to tell audiences...,line_0000.wav,9.098345,65.625,-1.0,66.625,21.965427,0.8240601503759398,0.03917322,0.004013226,0.13171235,0.12769912,0.024256324,0.0,0.25,0.0,0.25,0.0,0.5,2.5,0.0,0.96875,0.03125,4.333333333333333,0.667833685874939,0.8333333333333334,6,"['i_always', 'always_like', 'like_to', 'to_tell', 'tell_audiences']",0.0,0.12259109318256378,2.5,3.5949670461354133,5.991611743559022,0,0.0,,,,8.55,10.22
1,"00:00:10,969","00:00:12,512","pre-program,",line_0001.wav,19.810665,61.592180000000006,-1.0,62.592180000000006,24.075454999999998,0.5657894736842105,0.05375915,0.0055297045,0.15358667,0.14805697,0.036307845,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,5.0,0.2313842326402664,0.5,2,['pre_program'],0.0,0.2313842326402664,0.5,1.2961762799740757,1.9442644199611132,1,3.460000000000001,"#2, ","11.79, ","15.25, ",10.97,12.51
2,"00:00:12,596","00:00:15,015",just in case you're brought here by a friend.,line_0002.wav,12.681438,117.28723000000001,-1.0,118.28723000000001,28.988903000000004,0.8016701461377871,0.038958896,0.0045974758000000004,0.11939238,0.11479489999999998,0.029899963999999998,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,4.5,0.02083333333333333,0.9166666666666666,0.0625,3.6,0.7254191040992737,0.9,10,"['just_in', 'in_case', 'case_you', 'you_are', 'are_brought', 'brought_here', 'here_by', 'by_a', 'a_friend']",0.0,0.1472521871328354,4.5,4.13393964448119,4.13393964448119,0,0.0,,,,12.6,15.02
3,"00:00:15,098","00:00:17,351",Sometimes friends lead us astray.,line_0003.wav,13.103461,77.64085,-1.0,78.64085,23.283607,0.7214765100671141,0.052235175,0.006098292,0.1552022,0.14910391,0.035375696,0.0,0.5,0.0,0.25,0.0,0.25,2.0,0.0,0.96875,0.03125,5.6,0.5459105968475342,0.8,5,"['sometimes_friends', 'friends_lead', 'lead_us', 'us_astray']",0.0,0.21530888974666595,2.0,2.2192632046160687,3.1069684864624967,1,1.8099999999999987,"#3, ","16.78, ","18.59, ",15.1,17.35
4,"00:00:17,976","00:00:19,978",I had two very close friends.,line_0004.wav,26.136526,164.55225,-1.0,165.55225,36.954533000000005,0.5762925598991173,0.048468616,0.0080165025,0.13521361,0.12719712,0.029953162999999998,0.25,0.25,0.0,0.25,0.0,0.25,2.5,0.0625,0.78125,0.15625,3.8333333333333335,0.5538136959075928,0.8333333333333334,6,"['i_had', 'had_two', 'two_very', 'very_close', 'close_friends']",0.0,0.2886776924133301,2.5,2.997002997002993,3.496503496503492,0,0.0,,,,17.98,19.98
5,"00:00:20,062","00:00:22,689",My parents invite me to go see a film.,line_0005.wav,1.3354247,55.964466,-1.0,56.964466,10.943356,0.9563981042654028,0.03926848,0.0060281386,0.0978937,0.09186556,0.022252592999999998,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,4.0,0.0,0.975,0.025,3.2222222222222223,0.7584683895111084,0.8888888888888888,9,"['my_parents', 'parents_invite', 'invite_me', 'me_to', 'to_go', 'go_see', 'see_a', 'a_film']",0.0,0.13888253271579742,4.0,3.4259611724400467,4.187285877426723,1,1.8399999999999999,"#4, ","20.86, ","22.7, ",20.06,22.69
6,"00:00:22,773","00:00:25,150","I said, ""Of course I'll go see that movie with you,",line_0006.wav,10.972413000000001,88.2,-1.0,89.2,25.824461,0.8138801261829653,0.04697398,0.006203529399999999,0.103412665,0.09720913,0.02360375,0.0,0.25,0.125,0.125,0.0,0.5,5.5,0.04166666666666666,0.9375,0.02083333333333333,3.25,0.7128817439079285,0.9166666666666666,12,"['i_said', 'said_of', 'of_course', 'course_i', 'i_will', 'will_go', 'go_see', 'see_that', 'that_movie', 'movie_with', 'with_you']",0.0,0.18693247437477112,5.5,5.048380311316788,5.469078670593187,0,0.0,,,,22.77,25.15
7,"00:00:25,234","00:00:26,485",because you love me.,line_0007.wav,33.345905,71.59091,-1.0,72.59091,29.61463,0.4222222222222222,0.06410576,0.012171896000000001,0.12233246,0.11016057,0.032443367,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.5,0.5,4.0,0.6991034746170044,0.75,4,"['because_you', 'you_love', 'love_me']",0.0,0.5414503812789917,1.5,3.1974420463629163,3.996802557953645,0,0.0,,,,25.23,26.48
8,"00:00:26,568","00:00:28,570","Why on earth would you want to see me suffer?""",line_0008.wav,22.569107000000002,164.55225,-1.0,165.55225,36.22548,0.6523929471032746,0.05184262,0.00844376,0.11233784,0.103894085,0.026234766,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,4.5,0.0,0.9375,0.0625,3.5,0.8331718444824219,0.9,10,"['why_on', 'on_earth', 'earth_would', 'would_you', 'you_want', 'want_to', 'to_see', 'see_me', 'me_suffer']",0.0,0.20481596887111664,4.5,4.995004995004998,5.494505494505497,0,0.0,,,,26.57,28.57
9,"00:00:28,654","00:00:31,657","And then I sat through Steven Spielberg's <i>War Horse,</i>",line_0009.wav,13.462973000000002,81.06618,-1.0,82.06618,24.59075,0.7329974811083123,0.042330455,0.0040746112,0.10465862,0.10058401,0.027037716,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.16666666666666666,4.0,0.0,1.0,0.0,4.666666666666667,0.5770801305770874,0.8888888888888888,9,"['and_then', 'then_i', 'i_sat', 'sat_through', 'through_steven', 'steven_spielbergs', 'spielbergs_war', 'war_horse']",0.0,-0.01106373965740204,4.0,2.9970029970029968,2.9970029970029968,0,0.0,,,,28.65,31.66
10,"00:00:31,740","00:00:33,033","which, if you haven't seen,",line_0010.wav,13.500725,118.54838600000001,-1.0,119.54838600000001,30.754509999999996,0.7771317829457365,0.040588174,0.0016306906,0.12238615,0.12075546,0.036445603,0.25,0.25,0.0,0.0,0.0,0.5,2.5,0.20833333333333331,0.7083333333333334,0.08333333333333333,3.5,0.8114776015281677,0.8333333333333334,6,"['which_if', 'if_you', 'you_have', 'have_not', 'not_seen']",0.0,0.4752015471458435,2.5,4.640371229698366,4.640371229698366,0,0.0,,,,31.74,33.03
11,"00:00:33,116","00:00:34,243","as far as I'm concerned,",line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0398343,0.008625435,0.09312062,0.08449519,0.01860526,0.25,0.5,0.0,0.0,0.0,0.25,2.5,0.15625,0.65625,0.1875,3.1666666666666665,0.6089810729026794,0.8333333333333334,6,"['as_far', 'far_as', 'as_i', 'i_am', 'am_concerned']",0.0,0.3129218816757202,2.5,5.323868677905934,6.2111801242235885,0,0.0,,,,33.12,34.24
12,"00:00:34,326","00:00:36,495","is a 14-hour, real-time documentary",line_0012.wav,13.146870999999999,91.875,-1.0,92.875,27.87295,0.7799767171129219,0.04309773,0.0034295716,0.090181656,0.08675209,0.023251364,0.16666666666666666,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,3.0,0.025,0.925,0.05,4.0,0.6350468397140503,0.8571428571428572,7,"['is_a', 'a_14', '14_hour', 'hour_real', 'real_time', 'time_documentary']",0.0,0.052821502089500434,3.0,3.2272936837252235,5.0714615029967804,0,0.0,,,,34.33,36.49
13,"00:00:36,578","00:00:39,831",about a gentle horse struggling in vain,line_0013.wav,13.878535000000001,55.964466,-1.0,56.964466,22.172466,0.6867283950617284,0.04636077,0.00760615,0.10895105,0.1013449,0.02912232,0.4,0.0,0.2,0.2,0.0,0.2,3.0,0.375,0.5625,0.0625,4.714285714285714,0.454526960849762,0.8571428571428572,7,"['about_a', 'a_gentle', 'gentle_horse', 'horse_struggling', 'struggling_in', 'in_vain']",0.0,0.1211034506559372,3.0,2.151859821703044,3.3814940055333538,1,1.1400000000000006,"#5, ","37.41, ","38.55, ",36.58,39.83
