,filename,laughs,start,end,threshold,duration
2,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_2.wav,11.79,15.25,0.7,0.3
3,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_3.wav,16.78,18.59,0.7,0.3
4,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_4.wav,20.86,22.7,0.7,0.3
5,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_5.wav,37.41,38.55,0.7,0.3
6,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_6.wav,40.8,41.11,0.7,0.3
7,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_7.wav,43.32,43.81,0.7,0.3
8,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_8.wav,49.16,52.93,0.7,0.3
9,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_9.wav,64.54,65.18,0.7,0.3
10,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_10.wav,66.24,67.47,0.7,0.3
11,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_11.wav,68.99,71.99,0.7,0.3
12,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_12.wav,73.67,74.25,0.7,0.3
13,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_13.wav,77.05,77.72,0.7,0.3
14,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_14.wav,78.4,79.56,0.7,0.3
15,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_15.wav,80.29,81.65,0.7,0.3
16,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_16.wav,82.61,84.32,0.7,0.3
17,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_17.wav,91.88,93.3,0.7,0.3
18,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_18.wav,121.85,125.64,0.7,0.3
19,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_19.wav,128.06,130.48,0.7,0.3
20,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_20.wav,131.64,135.53,0.7,0.3
21,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_21.wav,136.59,137.05,0.7,0.3
22,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_22.wav,152.95,153.8,0.7,0.3
23,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_23.wav,161.6,162.2,0.7,0.3
24,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_24.wav,169.94,170.89,0.7,0.3
25,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_25.wav,176.65,177.52,0.7,0.3
26,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_26.wav,187.06,188.36,0.7,0.3
27,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_27.wav,191.26,192.3,0.7,0.3
28,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_28.wav,198.88,200.0,0.7,0.3
29,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_29.wav,210.95,211.46,0.7,0.3
30,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_30.wav,229.99,230.49,0.7,0.3
31,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_31.wav,236.84,237.5,0.7,0.3
32,Maria.Bamford...Old.Baby...2017...WEBRip.x264.JAWN-music.wav,/laughs/laugh_32.wav,240.16,240.86,0.7,0.3
