,filename,laughs,start,end,threshold,duration
1,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_1.wav,52.22,52.89,0.7,0.3
2,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_2.wav,57.27,59.97,0.7,0.3
3,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_3.wav,62.15,63.83,0.7,0.3
4,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_4.wav,70.1,72.3,0.7,0.3
5,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_5.wav,78.09,92.19,0.7,0.3
6,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_6.wav,94.24,96.59,0.7,0.3
7,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_7.wav,109.52,110.64,0.7,0.3
8,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_8.wav,112.91,119.3,0.7,0.3
9,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_9.wav,125.85,126.22,0.7,0.3
10,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_10.wav,136.0,137.18,0.7,0.3
11,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_11.wav,143.51,146.74,0.7,0.3
12,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_12.wav,148.85,150.19,0.7,0.3
13,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_13.wav,150.65,154.26,0.7,0.3
14,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_14.wav,155.77,157.07,0.7,0.3
15,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_15.wav,163.98,164.53,0.7,0.3
16,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_16.wav,168.92,172.23,0.7,0.3
17,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_17.wav,178.34,181.91,0.7,0.3
18,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_18.wav,183.58,185.1,0.7,0.3
19,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_19.wav,187.31,188.1,0.7,0.3
20,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_20.wav,189.34,190.83,0.7,0.3
21,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_21.wav,192.97,194.48,0.7,0.3
22,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_22.wav,202.35,204.18,0.7,0.3
23,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_23.wav,212.36,215.24,0.7,0.3
24,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_24.wav,215.71,216.42,0.7,0.3
25,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_25.wav,235.11,237.85,0.7,0.3
26,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_26.wav,253.22,254.88,0.7,0.3
27,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_27.wav,273.07,277.25,0.7,0.3
28,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_28.wav,280.24,281.01,0.7,0.3
29,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_29.wav,281.36,289.74,0.7,0.3
30,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_30.wav,297.21,298.74,0.7,0.3
31,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_31.wav,346.65,351.84,0.7,0.3
32,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_32.wav,361.37,364.46,0.7,0.3
33,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_33.wav,364.85,366.71,0.7,0.3
34,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_34.wav,367.74,369.28,0.7,0.3
35,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_35.wav,371.7,372.94,0.7,0.3
36,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_36.wav,374.61,377.15,0.7,0.3
37,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_37.wav,377.73,378.32,0.7,0.3
38,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_38.wav,389.21,391.16,0.7,0.3
39,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_39.wav,406.5,408.45,0.7,0.3
40,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_40.wav,422.69,428.51,0.7,0.3
41,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_41.wav,435.06,437.06,0.7,0.3
42,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_42.wav,465.35,467.28,0.7,0.3
43,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_43.wav,475.35,484.7,0.7,0.3
44,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_44.wav,491.58,493.34,0.7,0.3
45,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_45.wav,496.58,500.71,0.7,0.3
46,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_46.wav,502.99,505.18,0.7,0.3
47,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_47.wav,507.37,512.18,0.7,0.3
48,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_48.wav,517.37,518.73,0.7,0.3
49,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_49.wav,533.65,536.36,0.7,0.3
50,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_50.wav,543.12,543.81,0.7,0.3
51,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_51.wav,548.24,550.68,0.7,0.3
52,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_52.wav,552.23,553.8,0.7,0.3
53,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_53.wav,556.69,558.38,0.7,0.3
54,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_54.wav,569.94,573.44,0.7,0.3
55,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_55.wav,574.76,584.76,0.7,0.3
56,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_56.wav,587.45,589.84,0.7,0.3
57,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_57.wav,591.41,593.67,0.7,0.3
58,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_58.wav,595.38,598.11,0.7,0.3
59,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_59.wav,600.23,600.97,0.7,0.3
60,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_60.wav,613.81,614.91,0.7,0.3
61,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_61.wav,618.11,618.55,0.7,0.3
62,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_62.wav,622.56,623.19,0.7,0.3
63,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_63.wav,629.93,635.1,0.7,0.3
64,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_64.wav,638.5,640.12,0.7,0.3
65,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_65.wav,643.96,644.84,0.7,0.3
66,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_66.wav,646.8,649.07,0.7,0.3
67,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_67.wav,650.47,650.81,0.7,0.3
68,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_68.wav,661.48,662.39,0.7,0.3
69,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_69.wav,664.26,666.54,0.7,0.3
70,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_70.wav,677.27,680.63,0.7,0.3
71,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_71.wav,683.7,700.35,0.7,0.3
72,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_72.wav,748.9,749.6,0.7,0.3
73,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_73.wav,753.78,755.14,0.7,0.3
74,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_74.wav,827.7,829.41,0.7,0.3
75,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_75.wav,831.7,834.77,0.7,0.3
76,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_76.wav,945.6,948.24,0.7,0.3
77,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_77.wav,950.26,956.17,0.7,0.3
78,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_78.wav,967.16,974.54,0.7,0.3
79,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_79.wav,993.21,995.88,0.7,0.3
80,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_80.wav,997.35,998.01,0.7,0.3
81,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_81.wav,1022.24,1026.05,0.7,0.3
82,Neal.Brennan.3.Mics.2017-music.wav,/laughs/laugh_82.wav,1050.29,1051.41,0.7,0.3
