,filename,laughs,start,end,threshold,duration
0,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_0.wav,41.78,42.39,0.7,0.3
1,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_1.wav,49.45,63.91,0.7,0.3
2,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_2.wav,65.52,77.13,0.7,0.3
3,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_3.wav,82.97,84.59,0.7,0.3
4,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_4.wav,85.55,86.83,0.7,0.3
5,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_5.wav,89.42,90.72,0.7,0.3
6,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_6.wav,124.57,125.16,0.7,0.3
7,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_7.wav,169.13,170.5,0.7,0.3
8,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_8.wav,249.74,250.9,0.7,0.3
9,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_9.wav,285.46,285.82,0.7,0.3
10,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_10.wav,288.58,295.55,0.7,0.3
11,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_11.wav,297.22,297.52,0.7,0.3
12,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_12.wav,349.7,350.17,0.7,0.3
13,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_13.wav,433.4,434.19,0.7,0.3
14,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_14.wav,444.43,445.52,0.7,0.3
15,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_15.wav,544.47,545.05,0.7,0.3
16,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_16.wav,597.3,597.67,0.7,0.3
17,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_17.wav,878.01,878.45,0.7,0.3
18,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_18.wav,938.96,939.72,0.7,0.3
19,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_19.wav,967.77,968.72,0.7,0.3
20,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_20.wav,987.09,987.59,0.7,0.3
21,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_21.wav,1025.01,1025.47,0.7,0.3
22,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_22.wav,1338.67,1339.24,0.7,0.3
23,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_23.wav,1341.83,1343.64,0.7,0.3
24,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_24.wav,1377.9,1378.49,0.7,0.3
25,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_25.wav,1475.17,1475.57,0.7,0.3
26,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_26.wav,1508.13,1513.27,0.7,0.3
27,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_27.wav,1517.62,1518.02,0.7,0.3
28,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_28.wav,1533.91,1534.26,0.7,0.3
29,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_29.wav,1580.16,1581.32,0.7,0.3
30,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_30.wav,1582.6,1583.56,0.7,0.3
31,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_31.wav,1586.21,1587.32,0.7,0.3
32,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_32.wav,1589.37,1590.03,0.7,0.3
33,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_33.wav,1596.51,1603.07,0.7,0.3
34,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_34.wav,1701.09,1701.57,0.7,0.3
35,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_35.wav,1704.67,1706.22,0.7,0.3
36,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_36.wav,1709.3,1709.63,0.7,0.3
37,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_37.wav,1772.53,1773.64,0.7,0.3
38,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_38.wav,1877.25,1877.81,0.7,0.3
39,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_39.wav,1899.47,1900.0,0.7,0.3
40,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_40.wav,2073.52,2074.33,0.7,0.3
41,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_41.wav,2110.93,2111.4,0.7,0.3
42,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_42.wav,2216.26,2217.05,0.7,0.3
43,Patton.Oswalt.Talking.for.Clapping.2016.1080p-music.wav,/laughs/laugh_43.wav,2224.61,2225.27,0.7,0.3
