,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:06,423",<i>[applause]</i>,line_0000.wav,21.920345,72.05882,-1.0,73.05882,25.593023000000002,0.5462633451957295,0.12490855,0.08550271400000001,0.15889391,0.07339119999999999,0.017284574,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,5.0,6.42
1,"00:00:06,507","00:00:10,218","[announcer] <i>Ladies and gentlemen, Ralphie May!</i>",line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.09492379,0.07076824,0.13513319,0.064364955,0.012567315,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.9375,0.0625,5.6,0.6840725541114807,0.8,5.0,"['ladies_and', 'and_gentlemen', 'gentlemen_ralphie', 'ralphie_may']",0.0,-0.2122776210308075,2.0,1.3473457289140391,1.886284020479655,0,0.0,,,,6.51,10.22
2,"00:00:10,302","00:00:11,345",[music playing],line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.090984575,0.06536931,0.11587215,0.050502844000000005,0.009571713,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,10.3,11.35
3,"00:00:29,070","00:00:31,031","{\an8}How you doin', everybody?!",line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.09323015,0.062718175,0.14692073,0.08420255,0.023990477000000003,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,1.0,0.0,5.25,0.6583532691001892,0.75,4.0,"['8how_you', 'you_doing', 'doing_everybody']",0.0,0.0,1.5,2.039775624681287,3.5696073431922515,0,0.0,,,,29.07,31.03
4,"00:00:32,032","00:00:33,325",{\an8}Yeah!,line_0004.wav,23.808645000000002,85.46512,-1.0,86.46512,28.1236,0.5369649805447471,0.066576965,0.05662623,0.07671103,0.020084798,0.0061343940000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.7733952049497255,0.0,0,0.0,,,,32.03,33.33
5,"00:00:34,535","00:00:35,661",All right!,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08932059,0.057913728,0.111389324,0.05347559599999999,0.01679756,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.375,4.0,0.5601648092269897,0.5,2.0,['all_right'],0.0,0.5601648092269897,0.5,1.776198934280632,1.776198934280632,0,0.0,,,,34.53,35.66
6,"00:00:38,664","00:00:40,415",How are you?,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.07020988,0.048303407,0.11410971,0.0658063,0.019749828,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.125,0.625,0.25,3.0,0.7103059887886047,0.6666666666666667,3.0,"['how_are', 'are_you']",0.0,0.4764121770858765,1.0,1.7133066818960616,1.7133066818960616,0,0.0,,,,38.66,40.41
7,"00:00:40,582","00:00:42,292","Thank you, Atlanta.",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.044999048,0.030230356,0.06133984,0.031109484,0.007964954,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,5.0,0.5647585391998291,0.6666666666666667,3.0,"['thank_you', 'you_atlanta']",0.0,0.07498661428689958,1.0,1.7543859649122795,2.923976608187133,0,0.0,,,,40.58,42.29
8,"00:00:43,335","00:00:44,837",Thank you!,line_0008.wav,2.1547403,53.780487,-1.0,54.780487,11.576462,0.930390492359932,0.054756522,0.012972271,0.11064692,0.097674645,0.03281224,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.3315579227696384,1.3315579227696384,0,0.0,,,,43.34,44.84
9,"00:00:47,882","00:00:49,633",Thank you all so much.,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.02977202,0.011187985,0.042244274000000005,0.031056288999999997,0.0074254326,0.25,0.25,0.25,0.0,0.0,0.25,2.0,0.0,1.0,0.0,3.4,0.8314532637596129,0.8,5.0,"['thank_you', 'you_all', 'all_so', 'so_much']",0.0,0.4283016324043274,2.0,2.8555111364934245,2.8555111364934245,1,1.9499999999999957,"#2, ","47.96, ","49.91, ",47.88,49.63
