,filename,laughs,start,end,threshold,duration
1,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_1.wav,9.66,11.89,0.7,0.3
2,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_2.wav,14.16,27.17,0.7,0.3
3,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_3.wav,28.49,31.81,0.7,0.3
4,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_4.wav,33.45,39.26,0.7,0.3
5,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_5.wav,80.71,83.22,0.7,0.3
6,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_6.wav,95.21,96.43,0.7,0.3
7,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_7.wav,104.57,106.24,0.7,0.3
8,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_8.wav,124.9,126.16,0.7,0.3
9,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_9.wav,203.9,204.31,0.7,0.3
10,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_10.wav,211.62,218.05,0.7,0.3
11,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_11.wav,244.02,244.99,0.7,0.3
12,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_12.wav,247.47,248.35,0.7,0.3
13,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_13.wav,274.81,275.3,0.7,0.3
14,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_14.wav,280.98,281.79,0.7,0.3
15,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_15.wav,292.92,293.22,0.7,0.3
16,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_16.wav,295.55,296.3,0.7,0.3
17,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_17.wav,312.32,312.99,0.7,0.3
18,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_18.wav,352.72,353.11,0.7,0.3
19,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_19.wav,425.28,426.19,0.7,0.3
20,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_20.wav,456.22,456.69,0.7,0.3
21,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_21.wav,458.69,460.09,0.7,0.3
22,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_22.wav,461.04,462.25,0.7,0.3
23,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_23.wav,509.56,510.43,0.7,0.3
24,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_24.wav,512.23,512.85,0.7,0.3
25,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_25.wav,549.12,550.04,0.7,0.3
26,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_26.wav,564.86,565.84,0.7,0.3
27,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_27.wav,626.89,628.41,0.7,0.3
28,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_28.wav,630.06,630.84,0.7,0.3
29,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_29.wav,658.77,659.75,0.7,0.3
30,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_30.wav,660.54,663.06,0.7,0.3
31,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_31.wav,664.79,665.35,0.7,0.3
32,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_32.wav,708.21,708.59,0.7,0.3
33,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_33.wav,727.99,728.54,0.7,0.3
34,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_34.wav,761.18,762.18,0.7,0.3
35,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_35.wav,805.73,807.07,0.7,0.3
36,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_36.wav,842.26,843.07,0.7,0.3
37,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_37.wav,948.33,949.02,0.7,0.3
38,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_38.wav,951.16,954.28,0.7,0.3
39,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_39.wav,960.66,961.99,0.7,0.3
40,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_40.wav,1028.28,1028.9,0.7,0.3
41,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_41.wav,1092.51,1093.53,0.7,0.3
42,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_42.wav,1317.43,1318.43,0.7,0.3
43,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_43.wav,1330.09,1331.1,0.7,0.3
44,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_44.wav,1332.36,1333.75,0.7,0.3
45,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_45.wav,1343.55,1344.36,0.7,0.3
46,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_46.wav,1386.6,1387.79,0.7,0.3
47,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_47.wav,1413.13,1413.44,0.7,0.3
48,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_48.wav,1516.48,1517.74,0.7,0.3
49,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_49.wav,1530.41,1530.83,0.7,0.3
50,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_50.wav,1537.87,1538.21,0.7,0.3
51,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_51.wav,1572.95,1573.46,0.7,0.3
52,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_52.wav,1598.79,1599.42,0.7,0.3
53,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_53.wav,1624.61,1628.02,0.7,0.3
54,Ryan.Hamilton.Happy.Face.2017.1080p-music.wav,/laughs/laugh_54.wav,1629.3,1631.0,0.7,0.3
