,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:12,846","00:00:14,723",[instrumental music plays],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013052743,4.1266684999999995e-05,0.018025639,0.017984372,0.0025382910000000002,,,,,,,,,,,,,,,,,,,,,5,6.029999999999998,"#1, #2, #3, #4, #5, ","16.89, 19.67, 23.43, 29.77, 34.93, ","17.32, 22.74, 24.8, 30.35, 35.51, ",12.85,14.72
1,"00:00:36,244","00:00:37,078",♪ All right ♪,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017334241,0.014819094,0.021478413,0.0066593187,0.0016547572,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.375,4.0,0.5601648092269897,0.5,2.0,['all_right'],0.0,0.5601648092269897,0.5,2.3980815347721736,2.3980815347721736,2,6.050000000000004,"#6, #7, ","37.28, 40.8, ","38.49, 45.64, ",36.24,37.08
2,"00:00:45,378","00:00:46,254",[screeching],line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017095482,0.014924935,0.020638349,0.005713413499999999,0.0013644923,,,,,,,,,,,,,,,,,,,,,1,0.9299999999999997,"#8, ","47.07, ","48.0, ",45.38,46.25
3,"00:00:48,131","00:00:49,841",[cheering and applause],line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016630793,0.013002473,0.019922753999999997,0.0069202809999999995,0.0016862924,,,,,,,,,,,,,,,,,,,,,5,18.730000000000004,"#9, #10, #11, #12, #13, ","48.55, 55.09, 61.35, 68.85, 71.12, ","51.78, 60.26, 67.93, 69.5, 74.22, ",48.13,49.84
4,"00:01:12,530","00:01:16,826",Beautiful New York City.,line_0004.wav,39.911609999999996,118.54838600000001,-1.0,119.54838600000001,31.571787,0.2957334891876096,0.02080476,0.012704117,0.030067922999999996,0.017363805,0.0047128918,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,5.0,0.4617818593978882,0.75,4.0,"['beautiful_new', 'new_york', 'york_city']",0.0,0.15793979167938232,1.5,0.9310986964618266,1.629422718808197,0,0.0,,,,72.53,76.83
5,"00:01:16,910","00:01:18,703",[cheering and applause continues],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015371781000000001,0.012242478000000001,0.018364089,0.0061216103,0.0012007481,,,,,,,,,,,,,,,,,,,,,1,7.0,"#14, ","77.63, ","84.63, ",76.91,78.7
6,"00:01:24,084","00:01:25,919","Now, I've got my father here.",line_0006.wav,29.740565999999998,128.19768,-1.0,129.19768,42.758327,0.6210670314637483,0.013786178999999999,0.0036261009999999996,0.021725425,0.018099325,0.0054760044,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,3.0,0.0,0.925,0.075,3.2857142857142856,0.7218682765960693,0.8571428571428572,7.0,"['now_i', 'i_have', 'have_got', 'got_my', 'my_father', 'father_here']",0.0,0.2606077790260315,3.0,3.8147138964577785,4.3596730245231745,1,0.9000000000000057,"#15, ","86.24, ","87.14, ",84.08,85.92
7,"00:01:26,753","00:01:28,004",[cheering],line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0073189563,0.0035380675,0.011173866000000001,0.0076357983,0.0022647118,,,,,,,,,,,,,,,,,,,,,1,0.4200000000000017,"#16, ","88.94, ","89.36, ",86.75,88.0
8,"00:01:29,672","00:01:31,800",And he's planning the whole day today.,line_0008.wav,40.1693,90.36885,-1.0,91.36885,25.122087,0.23854289071680376,0.011235953,0.0013122882,0.023398118,0.02208583,0.0058553675,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,3.5,0.025,0.875,0.1,3.875,0.6434256434440613,0.875,8.0,"['and_he', 'he_is', 'is_planning', 'planning_the', 'the_whole', 'whole_day', 'day_today']",0.0,0.3164605498313904,3.5,3.7593984962406015,4.699248120300752,0,0.0,,,,89.67,91.8
9,"00:01:31,883","00:01:33,301",He wanted to do lunch.,line_0009.wav,34.852207,93.03797,-1.0,94.03797,34.91967,0.4626334519572954,0.013079581000000002,0.0021026968,0.028659123999999998,0.026556427,0.0063943067000000004,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,0.9166666666666666,0.08333333333333333,3.4,0.6378438472747803,0.8,5.0,"['he_wanted', 'wanted_to', 'to_do', 'do_lunch']",0.0,0.255722314119339,2.0,3.5260930888575297,4.231311706629036,1,0.5400000000000063,"#17, ","92.99, ","93.53, ",91.88,93.3
10,"00:01:33,384","00:01:35,678","He's like, ""Let's go to the freedom thing.",line_0010.wav,12.641592999999999,85.46512,-1.0,86.46512,25.740137,0.7737704918032787,0.010580521,0.00081764266,0.029250573,0.02843293,0.0076112966,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,4.5,0.025,0.925,0.05,3.2,0.7558504939079285,0.9,10.0,"['he_is', 'is_like', 'like_let', 'let_us', 'us_go', 'go_to', 'to_the', 'the_freedom', 'freedom_thing']",0.0,0.35643470287323,4.5,4.35919790758501,4.795117698343512,1,1.490000000000009,"#18, ","95.8, ","97.29, ",93.38,95.68
11,"00:01:36,054","00:01:37,847",-Take a look at that. -[laughter],line_0011.wav,15.000352,98.4375,-1.0,99.4375,32.443764,0.8002812939521801,0.012905032,0.0009892472,0.03037442,0.029385174,0.009294202,0.0,0.0,0.5,0.25,0.0,0.25,2.0,0.0,1.0,0.0,3.0,0.6295231580734253,0.8,5.0,"['take_a', 'a_look', 'look_at', 'at_that']",0.0,0.2630203068256378,2.0,2.7886224205242733,2.7886224205242733,0,0.0,,,,96.05,97.85
12,"00:01:40,475","00:01:41,893","Maybe we go to Central Park.""",line_0012.wav,27.933730999999998,105.0,-1.0,106.0,35.89201,0.6039426523297491,0.013715535,0.0008448069999999999,0.03024629,0.029401483,0.006996385,0.0,0.25,0.0,0.0,0.5,0.25,2.5,0.0,1.0,0.0,3.6666666666666665,0.6953147649765015,0.8333333333333334,6.0,"['maybe_we', 'we_go', 'go_to', 'to_central', 'central_park']",0.0,0.21883222460746765,2.5,4.231311706629036,5.641748942172048,0,0.0,,,,100.47,101.89
13,"00:01:41,976","00:01:45,188","I go, ""Dad, I'm-- I'm playing Radio City tonight.",line_0013.wav,27.500791999999997,157.5,-1.0,158.5,32.557137,0.4968944099378882,0.011280660500000001,0.00032171907000000003,0.033941697,0.033619977999999995,0.009170798,0.0,0.0,0.0,0.125,0.375,0.5,5.5,0.05,0.85,0.1,3.1818181818181817,0.5387043952941895,0.9166666666666666,11.0,"['i_go', 'go_dad', 'dad_i', 'i_am', 'am_', '_', '_i', 'i_am', 'am_playing', 'playing_radio', 'radio_city', 'city_tonight']",0.0,0.0,5.5,3.424657534246572,4.981320049813196,0,0.0,,,,101.98,105.19
