,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:18,768","00:00:22,188","<i>You're... You're... You're... fun, </i> <i>you're talented, you're great.</i>",line_0000.wav,27.602197999999998,105.0,-1.0,106.0,27.735146999999998,0.4576894775570272,0.019459376,0.006390839000000001,0.036824107,0.030433267000000003,0.005421599399999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,18.77,22.19
1,"00:00:22,272","00:00:24,399","<i>Look at this face. Look, right?</i>",line_0001.wav,26.570581,129.70588999999998,-1.0,130.70588999999998,29.826324,0.5071599045346062,0.015052838999999998,0.0044191233,0.029710387999999997,0.025291264,0.005816356700000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,22.27,24.4
2,"00:00:24,482","00:00:27,318","<i>All the positivity, </i> <i>you take it out there...</i>",line_0002.wav,19.217083,162.13235,-1.0,163.13235,36.129803,0.7222715173025732,0.015211242,0.0060465545,0.02674611,0.020699555,0.0064269259999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,24.48,27.32
3,"00:00:27,402","00:00:30,155","<i>By the way, this is a small room,</i> <i>75 people,</i>",line_0003.wav,16.290526999999997,108.08823400000001,-1.0,109.08823400000001,25.215708,0.6626947754353804,0.015679237,0.0059929867,0.029052401000000002,0.023059415,0.0058921287,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,27.4,30.16
4,"00:00:30,697","00:00:32,365",<i>but play like it's 80.</i>,line_0004.wav,14.543473,68.90625,-1.0,69.90625,26.042337,0.7339449541284404,0.014311339,0.005855811,0.031820282000000005,0.025964472000000002,0.0064544419999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,30.7,32.37
5,"00:00:34,659","00:00:37,579","<i>And act happy, you hear me?</i> <i>We always have to look happy.</i>",line_0005.wav,24.760123999999998,109.15841999999999,-1.0,110.15841999999999,35.99583,0.6268271711092004,0.012912003,0.005140456,0.031055742999999997,0.025915287000000002,0.006315713299999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,34.66,37.58
6,"00:00:37,662","00:00:40,165","<i>Oh, cos that's how you're happy?</i>",line_0006.wav,29.43828,86.81102,-1.0,87.81102,29.120012,0.4513540621865597,0.013725002,0.0056819264000000005,0.026156472000000004,0.020474546,0.006361082,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,37.66,40.16
7,"00:00:40,248","00:00:42,625","<i>-Look who's here. Shut up, right?</i> <i>-Fuck.</i>",line_0007.wav,21.481916000000002,77.64085,-1.0,78.64085,30.819623999999997,0.6468716861081655,0.012139791,0.0061988634999999995,0.03075048,0.024551615,0.0053638634,,,,,,,,,,,,,,,,,,,,,6,15.470000000000013,"#1, #2, #3, #4, #5, #6, ","45.46, 49.87, 51.1, 54.96, 62.81, 67.24, ","48.12, 50.68, 53.56, 60.59, 65.81, 68.15, ",40.25,42.62
8,"00:01:08,443","00:01:12,072","<i>Ladies and gentlemen,</i> <i>comedy's national treasure, Todd Glass!</i>",line_0008.wav,16.307835,108.08823400000001,-1.0,109.08823400000001,28.093294,0.7058823529411765,0.01167539,0.0014857057999999998,0.028384347999999997,0.026898643,0.0067528985,0.2857142857142857,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,3.5,0.0,0.96875,0.03125,6.25,0.6840725541114807,0.875,8.0,"['ladies_and', 'and_gentlemen', 'gentlemen_comedys', 'comedys_national', 'national_treasure', 'treasure_todd', 'todd_glass']",0.0,-0.14408782124519348,3.5,2.2044640396803503,3.5822540644805683,4,23.239999999999995,"#7, #8, #9, #10, ","74.37, 88.44, 94.84, 100.37, ","87.28, 93.83, 98.22, 101.93, ",68.44,72.07
9,"00:01:41,226","00:01:42,227",<i>What?</i>,line_0009.wav,4.7104206,65.04425,-1.0,66.04425,16.040777,0.8857868020304569,0.016105651999999998,0.007971506,0.024705817999999997,0.016734313,0.004804219,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990009944,0.9990009990009944,1,10.730000000000004,"#11, ","102.95, ","113.68, ",101.23,102.23
