,filename,laughs,start,end,threshold,duration
2,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_2.wav,21.76,23.61,0.7,0.3
3,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_3.wav,26.41,28.5,0.7,0.3
4,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_4.wav,30.83,39.5,0.7,0.3
5,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_5.wav,41.33,42.27,0.7,0.3
6,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_6.wav,43.42,48.13,0.7,0.3
7,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_7.wav,49.11,49.98,0.7,0.3
8,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_8.wav,51.67,53.07,0.7,0.3
9,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_9.wav,57.64,58.31,0.7,0.3
10,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_10.wav,59.44,73.68,0.7,0.3
11,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_11.wav,79.09,79.96,0.7,0.3
12,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_12.wav,89.67,90.72,0.7,0.3
13,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_13.wav,99.77,100.56,0.7,0.3
14,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_14.wav,114.05,114.84,0.7,0.3
15,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_15.wav,126.32,126.75,0.7,0.3
16,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_16.wav,133.35,134.53,0.7,0.3
17,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_17.wav,140.68,141.34,0.7,0.3
18,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_18.wav,142.85,144.84,0.7,0.3
19,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_19.wav,146.84,150.42,0.7,0.3
20,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_20.wav,165.85,168.08,0.7,0.3
21,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_21.wav,170.45,171.29,0.7,0.3
22,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_22.wav,171.99,173.73,0.7,0.3
23,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_23.wav,175.66,177.73,0.7,0.3
24,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_24.wav,179.02,179.67,0.7,0.3
25,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_25.wav,180.82,185.11,0.7,0.3
26,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_26.wav,191.77,192.38,0.7,0.3
27,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_27.wav,207.95,209.18,0.7,0.3
28,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_28.wav,220.94,222.62,0.7,0.3
29,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_29.wav,224.07,224.41,0.7,0.3
30,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_30.wav,225.9,227.6,0.7,0.3
31,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_31.wav,229.68,231.33,0.7,0.3
32,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_32.wav,242.29,243.56,0.7,0.3
33,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_33.wav,245.15,252.18,0.7,0.3
34,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_34.wav,254.6,255.13,0.7,0.3
35,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_35.wav,285.2,286.42,0.7,0.3
36,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_36.wav,291.16,297.85,0.7,0.3
37,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_37.wav,300.16,302.14,0.7,0.3
38,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_38.wav,304.26,305.57,0.7,0.3
39,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_39.wav,315.17,323.24,0.7,0.3
40,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_40.wav,326.34,327.65,0.7,0.3
41,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_41.wav,338.54,340.18,0.7,0.3
42,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_42.wav,344.88,345.94,0.7,0.3
43,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_43.wav,359.91,360.38,0.7,0.3
44,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_44.wav,364.65,365.88,0.7,0.3
45,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_45.wav,373.96,375.07,0.7,0.3
46,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_46.wav,377.87,378.68,0.7,0.3
47,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_47.wav,381.88,391.57,0.7,0.3
48,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_48.wav,399.6,401.2,0.7,0.3
49,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_49.wav,402.02,403.26,0.7,0.3
50,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_50.wav,407.66,408.45,0.7,0.3
51,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_51.wav,460.89,462.37,0.7,0.3
52,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_52.wav,473.25,473.89,0.7,0.3
53,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_53.wav,491.66,493.82,0.7,0.3
54,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_54.wav,536.94,537.71,0.7,0.3
55,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_55.wav,576.59,582.71,0.7,0.3
56,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_56.wav,583.1,585.26,0.7,0.3
57,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_57.wav,586.43,587.31,0.7,0.3
58,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_58.wav,588.07,589.37,0.7,0.3
59,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_59.wav,591.82,592.8,0.7,0.3
60,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_60.wav,600.66,601.61,0.7,0.3
61,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_61.wav,624.71,625.28,0.7,0.3
62,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_62.wav,628.69,629.67,0.7,0.3
63,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_63.wav,644.27,644.91,0.7,0.3
64,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_64.wav,646.4,653.19,0.7,0.3
65,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_65.wav,670.77,671.24,0.7,0.3
66,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_66.wav,677.49,678.87,0.7,0.3
67,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_67.wav,682.58,700.68,0.7,0.3
68,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_68.wav,704.95,705.78,0.7,0.3
69,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_69.wav,707.34,715.51,0.7,0.3
70,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_70.wav,717.27,717.69,0.7,0.3
71,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_71.wav,730.5,730.98,0.7,0.3
72,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_72.wav,734.01,735.26,0.7,0.3
73,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_73.wav,744.83,746.2,0.7,0.3
74,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_74.wav,752.24,752.96,0.7,0.3
75,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_75.wav,760.47,760.98,0.7,0.3
76,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_76.wav,762.78,763.41,0.7,0.3
77,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_77.wav,775.9,776.59,0.7,0.3
78,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_78.wav,784.97,786.47,0.7,0.3
79,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_79.wav,789.83,791.39,0.7,0.3
80,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_80.wav,796.72,797.83,0.7,0.3
81,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_81.wav,810.38,812.05,0.7,0.3
82,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_82.wav,813.0,813.57,0.7,0.3
83,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_83.wav,816.01,817.42,0.7,0.3
84,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_84.wav,819.24,820.3,0.7,0.3
85,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_85.wav,824.97,831.3,0.7,0.3
86,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_86.wav,831.99,833.79,0.7,0.3
87,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_87.wav,846.75,847.47,0.7,0.3
88,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_88.wav,861.84,862.66,0.7,0.3
89,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_89.wav,875.07,875.72,0.7,0.3
90,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_90.wav,900.94,902.07,0.7,0.3
91,Trevor.Noah.Afraid.of.the.Dark.2017-music.wav,/laughs/laugh_91.wav,926.5,927.75,0.7,0.3
