,filename,laughs,start,end,threshold,duration
0,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_0.wav,11.88,14.08,0.7,0.3
1,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_1.wav,15.1,16.91,0.7,0.3
2,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_2.wav,24.46,26.39,0.7,0.3
3,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_3.wav,26.67,28.68,0.7,0.3
4,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_4.wav,34.79,36.22,0.7,0.3
5,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_5.wav,37.16,37.52,0.7,0.3
6,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_6.wav,42.56,45.67,0.7,0.3
7,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_7.wav,46.78,47.35,0.7,0.3
8,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_8.wav,73.21,74.66,0.7,0.3
9,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_9.wav,90.32,90.78,0.7,0.3
10,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_10.wav,127.5,134.76,0.7,0.3
11,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_11.wav,135.29,136.19,0.7,0.3
12,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_12.wav,139.02,140.21,0.7,0.3
13,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_13.wav,148.45,156.44,0.7,0.3
14,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_14.wav,160.95,161.98,0.7,0.3
15,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_15.wav,240.77,242.15,0.7,0.3
16,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_16.wav,243.98,244.55,0.7,0.3
17,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_17.wav,245.7,246.04,0.7,0.3
18,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_18.wav,251.03,251.41,0.7,0.3
19,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_19.wav,260.57,261.86,0.7,0.3
20,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_20.wav,267.48,268.25,0.7,0.3
21,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_21.wav,328.81,330.01,0.7,0.3
22,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_22.wav,362.96,364.13,0.7,0.3
23,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_23.wav,369.34,369.71,0.7,0.3
24,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_24.wav,397.97,398.34,0.7,0.3
25,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_25.wav,399.29,400.29,0.7,0.3
26,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_26.wav,470.48,471.69,0.7,0.3
27,Trevor.Noah.Son.of.Patricia.2018.WEB.DL.x264.iKA-music.wav,/laughs/laugh_27.wav,521.05,521.75,0.7,0.3
