,filename,laughs,start,end,threshold,duration
0,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_0.wav,8.56,9.28,0.7,0.3
1,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_1.wav,13.18,13.92,0.7,0.3
2,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_2.wav,15.39,16.35,0.7,0.3
3,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_3.wav,17.17,18.25,0.7,0.3
4,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_4.wav,19.46,20.02,0.7,0.3
5,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_5.wav,22.32,22.79,0.7,0.3
6,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_6.wav,29.07,30.57,0.7,0.3
7,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_7.wav,32.95,36.42,0.7,0.3
8,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_8.wav,38.27,41.92,0.7,0.3
9,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_9.wav,44.52,45.96,0.7,0.3
10,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_10.wav,55.92,56.83,0.7,0.3
11,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_11.wav,65.41,72.45,0.7,0.3
12,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_12.wav,73.41,75.09,0.7,0.3
13,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_13.wav,79.06,81.81,0.7,0.3
14,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_14.wav,82.41,86.33,0.7,0.3
15,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_15.wav,88.11,89.46,0.7,0.3
16,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_16.wav,91.66,92.87,0.7,0.3
17,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_17.wav,109.53,117.85,0.7,0.3
18,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_18.wav,153.04,156.51,0.7,0.3
19,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_19.wav,157.84,158.49,0.7,0.3
20,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_20.wav,171.42,172.63,0.7,0.3
21,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_21.wav,176.94,177.88,0.7,0.3
22,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_22.wav,187.53,189.22,0.7,0.3
23,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_23.wav,199.67,199.98,0.7,0.3
24,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_24.wav,210.86,211.69,0.7,0.3
25,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_25.wav,212.27,213.28,0.7,0.3
26,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_26.wav,220.47,221.24,0.7,0.3
27,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_27.wav,237.93,247.03,0.7,0.3
28,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_28.wav,247.56,248.44,0.7,0.3
29,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_29.wav,261.16,267.86,0.7,0.3
30,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_30.wav,304.41,305.22,0.7,0.3
31,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_31.wav,320.83,321.87,0.7,0.3
32,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_32.wav,326.05,328.36,0.7,0.3
33,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_33.wav,330.11,330.75,0.7,0.3
34,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_34.wav,339.69,340.62,0.7,0.3
35,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_35.wav,348.16,351.79,0.7,0.3
36,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_36.wav,369.71,376.13,0.7,0.3
37,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_37.wav,376.85,378.03,0.7,0.3
38,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_38.wav,397.37,398.62,0.7,0.3
39,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_39.wav,404.22,404.64,0.7,0.3
40,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_40.wav,420.33,421.58,0.7,0.3
41,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_41.wav,428.88,429.3,0.7,0.3
42,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_42.wav,430.56,436.66,0.7,0.3
43,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_43.wav,437.06,439.28,0.7,0.3
44,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_44.wav,445.51,447.05,0.7,0.3
45,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_45.wav,452.05,452.9,0.7,0.3
46,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_46.wav,457.35,458.5,0.7,0.3
47,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_47.wav,479.31,480.24,0.7,0.3
48,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_48.wav,484.31,485.65,0.7,0.3
49,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_49.wav,505.22,507.66,0.7,0.3
50,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_50.wav,509.26,512.23,0.7,0.3
51,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_51.wav,521.94,526.79,0.7,0.3
52,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_52.wav,531.76,532.83,0.7,0.3
53,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_53.wav,534.63,537.26,0.7,0.3
54,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_54.wav,556.08,556.79,0.7,0.3
55,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_55.wav,566.85,567.74,0.7,0.3
56,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_56.wav,569.5,569.92,0.7,0.3
57,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_57.wav,589.58,590.95,0.7,0.3
58,Wanda.Sykes.Not.Normal.2019.720p.WEB.X264.AMRAP-music.wav,/laughs/laugh_58.wav,592.87,594.19,0.7,0.3
