,filename,laughs,start,end,threshold,duration
1,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_1.wav,28.26,48.15,0.7,0.3
2,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_2.wav,62.66,64.99,0.7,0.3
3,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_3.wav,67.79,69.29,0.7,0.3
4,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_4.wav,69.79,71.08,0.7,0.3
5,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_5.wav,81.78,82.67,0.7,0.3
6,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_6.wav,91.07,92.99,0.7,0.3
7,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_7.wav,95.54,96.94,0.7,0.3
8,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_8.wav,107.07,107.72,0.7,0.3
9,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_9.wav,110.53,112.34,0.7,0.3
10,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_10.wav,113.82,115.0,0.7,0.3
11,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_11.wav,117.16,119.02,0.7,0.3
12,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_12.wav,120.83,121.68,0.7,0.3
13,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_13.wav,123.62,124.73,0.7,0.3
14,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_14.wav,136.92,139.38,0.7,0.3
15,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_15.wav,140.82,142.62,0.7,0.3
16,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_16.wav,143.97,144.88,0.7,0.3
17,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_17.wav,151.14,151.7,0.7,0.3
18,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_18.wav,174.0,175.03,0.7,0.3
19,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_19.wav,178.46,180.8,0.7,0.3
20,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_20.wav,183.83,185.35,0.7,0.3
21,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_21.wav,186.2,187.65,0.7,0.3
22,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_22.wav,189.01,197.67,0.7,0.3
23,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_23.wav,201.34,203.03,0.7,0.3
24,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_24.wav,205.0,206.01,0.7,0.3
25,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_25.wav,209.49,210.85,0.7,0.3
26,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_26.wav,216.05,217.16,0.7,0.3
27,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_27.wav,220.34,220.77,0.7,0.3
28,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_28.wav,223.98,224.45,0.7,0.3
29,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_29.wav,227.43,228.46,0.7,0.3
30,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_30.wav,231.55,232.31,0.7,0.3
31,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_31.wav,248.34,249.92,0.7,0.3
32,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_32.wav,254.0,254.6,0.7,0.3
33,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_33.wav,255.26,255.94,0.7,0.3
34,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_34.wav,264.04,264.81,0.7,0.3
35,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_35.wav,268.7,272.77,0.7,0.3
36,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_36.wav,273.77,275.58,0.7,0.3
37,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_37.wav,277.9,279.23,0.7,0.3
38,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_38.wav,279.69,286.46,0.7,0.3
39,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_39.wav,291.68,292.87,0.7,0.3
40,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_40.wav,293.64,295.3,0.7,0.3
41,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_41.wav,299.44,300.72,0.7,0.3
42,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_42.wav,304.23,306.05,0.7,0.3
43,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_43.wav,307.74,309.84,0.7,0.3
44,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_44.wav,312.26,313.17,0.7,0.3
45,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_45.wav,314.72,315.84,0.7,0.3
46,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_46.wav,320.38,321.35,0.7,0.3
47,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_47.wav,326.12,327.34,0.7,0.3
48,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_48.wav,333.56,339.93,0.7,0.3
49,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_49.wav,350.55,351.72,0.7,0.3
50,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_50.wav,357.24,358.42,0.7,0.3
51,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_51.wav,360.07,360.59,0.7,0.3
52,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_52.wav,363.41,364.41,0.7,0.3
53,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_53.wav,368.89,371.3,0.7,0.3
54,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_54.wav,373.39,380.05,0.7,0.3
55,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_55.wav,383.91,387.37,0.7,0.3
56,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_56.wav,389.69,391.97,0.7,0.3
57,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_57.wav,395.65,395.98,0.7,0.3
58,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_58.wav,397.89,399.07,0.7,0.3
59,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_59.wav,400.72,402.1,0.7,0.3
60,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_60.wav,405.62,408.49,0.7,0.3
61,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_61.wav,409.97,410.72,0.7,0.3
62,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_62.wav,416.58,418.26,0.7,0.3
63,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_63.wav,427.4,428.93,0.7,0.3
64,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_64.wav,432.86,433.46,0.7,0.3
65,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_65.wav,450.56,452.48,0.7,0.3
66,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_66.wav,453.49,455.97,0.7,0.3
67,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_67.wav,459.71,461.14,0.7,0.3
68,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_68.wav,461.37,462.97,0.7,0.3
69,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_69.wav,464.96,465.56,0.7,0.3
70,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_70.wav,467.98,468.56,0.7,0.3
71,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_71.wav,471.54,473.76,0.7,0.3
72,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_72.wav,474.78,476.04,0.7,0.3
73,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_73.wav,478.86,480.24,0.7,0.3
74,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_74.wav,486.36,487.43,0.7,0.3
75,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_75.wav,489.7,491.15,0.7,0.3
76,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_76.wav,492.01,493.6,0.7,0.3
77,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_77.wav,510.42,511.02,0.7,0.3
78,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_78.wav,517.58,518.79,0.7,0.3
79,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_79.wav,531.68,536.5,0.7,0.3
80,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_80.wav,537.78,539.8,0.7,0.3
81,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_81.wav,545.75,546.46,0.7,0.3
82,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_82.wav,548.5,549.82,0.7,0.3
83,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_83.wav,554.85,555.79,0.7,0.3
84,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_84.wav,564.2,564.73,0.7,0.3
85,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_85.wav,580.79,582.2,0.7,0.3
86,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_86.wav,585.32,593.29,0.7,0.3
87,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_87.wav,606.03,607.4,0.7,0.3
88,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_88.wav,624.25,626.01,0.7,0.3
89,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_89.wav,632.55,633.23,0.7,0.3
90,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_90.wav,638.73,640.48,0.7,0.3
91,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_91.wav,641.41,643.73,0.7,0.3
92,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_92.wav,652.72,654.26,0.7,0.3
93,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_93.wav,658.02,659.99,0.7,0.3
94,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_94.wav,662.15,663.28,0.7,0.3
95,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_95.wav,669.02,670.74,0.7,0.3
96,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_96.wav,672.47,673.08,0.7,0.3
97,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_97.wav,674.86,675.98,0.7,0.3
98,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_98.wav,703.88,710.77,0.7,0.3
99,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_99.wav,716.82,718.57,0.7,0.3
100,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_100.wav,724.08,725.56,0.7,0.3
101,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_101.wav,728.78,729.9,0.7,0.3
102,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_102.wav,741.4,742.66,0.7,0.3
103,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_103.wav,767.9,771.04,0.7,0.3
104,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_104.wav,772.34,773.26,0.7,0.3
105,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_105.wav,798.51,803.6,0.7,0.3
106,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_106.wav,804.23,805.72,0.7,0.3
107,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_107.wav,831.32,833.23,0.7,0.3
108,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_108.wav,833.63,836.29,0.7,0.3
109,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_109.wav,838.85,839.86,0.7,0.3
110,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_110.wav,846.98,848.12,0.7,0.3
111,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_111.wav,855.17,856.17,0.7,0.3
112,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_112.wav,858.74,859.15,0.7,0.3
113,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_113.wav,874.33,875.79,0.7,0.3
114,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_114.wav,879.6,880.25,0.7,0.3
115,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_115.wav,895.55,900.87,0.7,0.3
116,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_116.wav,905.94,907.4,0.7,0.3
117,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_117.wav,907.76,908.71,0.7,0.3
118,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_118.wav,910.57,912.43,0.7,0.3
119,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_119.wav,915.45,916.5,0.7,0.3
120,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_120.wav,949.11,950.97,0.7,0.3
121,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_121.wav,960.94,962.72,0.7,0.3
122,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_122.wav,969.34,978.23,0.7,0.3
123,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_123.wav,991.72,992.54,0.7,0.3
124,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_124.wav,1004.57,1005.96,0.7,0.3
125,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_125.wav,1012.52,1017.49,0.7,0.3
126,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_126.wav,1018.8,1019.28,0.7,0.3
127,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_127.wav,1021.1,1023.5,0.7,0.3
128,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_128.wav,1036.55,1037.81,0.7,0.3
129,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_129.wav,1045.76,1047.45,0.7,0.3
130,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_130.wav,1064.82,1066.39,0.7,0.3
131,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_131.wav,1067.22,1069.9,0.7,0.3
132,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_132.wav,1071.61,1072.52,0.7,0.3
133,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_133.wav,1095.81,1097.67,0.7,0.3
134,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_134.wav,1107.21,1108.88,0.7,0.3
135,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_135.wav,1135.61,1136.35,0.7,0.3
136,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_136.wav,1147.22,1149.11,0.7,0.3
137,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_137.wav,1150.35,1152.19,0.7,0.3
138,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_138.wav,1153.1,1153.43,0.7,0.3
139,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_139.wav,1156.99,1159.1,0.7,0.3
140,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_140.wav,1166.72,1167.55,0.7,0.3
141,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_141.wav,1182.37,1184.89,0.7,0.3
142,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_142.wav,1190.36,1191.72,0.7,0.3
143,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_143.wav,1197.64,1200.01,0.7,0.3
144,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_144.wav,1200.84,1201.36,0.7,0.3
145,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_145.wav,1203.45,1206.52,0.7,0.3
146,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_146.wav,1210.61,1210.96,0.7,0.3
147,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_147.wav,1215.75,1217.0,0.7,0.3
148,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_148.wav,1219.59,1222.57,0.7,0.3
149,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_149.wav,1224.21,1225.38,0.7,0.3
150,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_150.wav,1249.21,1257.17,0.7,0.3
151,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_151.wav,1259.53,1260.93,0.7,0.3
152,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_152.wav,1264.66,1265.87,0.7,0.3
153,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_153.wav,1285.01,1286.58,0.7,0.3
154,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_154.wav,1320.56,1327.06,0.7,0.3
155,anthony.jeselnik.thoughts.and.prayers.2015.720p.webrip.x264-music.wav,/laughs/laugh_155.wav,1354.84,1357.31,0.7,0.3
