,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,758","00:00:11,010",[audience cheering],line_0000.wav,83.45307,250.56817999999998,-1.0,251.56817999999998,43.937346999999995,0.029082774049217,0.0031569656,0.0,0.007457953000000001,0.007457953000000001,0.002191957,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,8.76,11.01
1,"00:00:11,094","00:00:12,637",[announcer] Ladies and gentlemen...,line_0001.wav,27.65993,79.31654,-1.0,80.31654,27.7272,0.4668820678513732,0.01457371,0.0037538520000000002,0.029652994,0.025899142000000003,0.007894755,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,11.09,12.64
2,"00:00:15,015","00:00:18,685",please welcome Brian Regan!,line_0002.wav,28.935934000000003,116.05263500000001,-1.0,117.05263500000001,28.837112,0.451877133105802,0.018090038,0.0021450256,0.033370525,0.031225499,0.007854371,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.5,0.0,1.0,0.0,5.75,0.6140341758728027,0.75,4.0,"['please_welcome', 'welcome_brian', 'brian_regan']",0.0,-0.041554749011993415,1.5,1.0899182561307907,1.907356948228884,0,0.0,,,,15.02,18.68
3,"00:00:18,768","00:00:20,770",[cheering and applause],line_0003.wav,15.501626000000002,60.245903000000006,-1.0,61.245903000000006,23.284226999999998,0.6628930817610063,0.02067609,0.013569813,0.03020037,0.016630556,0.0036150678000000003,,,,,,,,,,,,,,,,,,,,,4,11.689999999999998,"#0, #1, #2, #3, ","22.12, 27.26, 29.76, 36.01, ","25.69, 28.42, 34.16, 38.57, ",18.77,20.77
4,"00:00:36,870","00:00:37,704",Thank you.,line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021373468,0.013656976999999999,0.03528803,0.02163105,0.006194393,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.3980815347721736,2.3980815347721736,0,0.0,,,,36.87,37.7
5,"00:00:39,039","00:00:40,832","Thank you very much, everybody.",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019668093,0.010600685,0.02996685,0.019366163999999998,0.0048798122,0.0,0.5,0.0,0.25,0.0,0.25,2.0,0.08333333333333333,0.7916666666666666,0.125,5.0,0.7721424102783203,0.8,5.0,"['thank_you', 'you_very', 'very_much', 'much_everybody']",0.0,0.467503160238266,2.0,2.7886224205242622,5.019520356943672,1,1.240000000000002,"#4, ","39.78, ","41.02, ",39.04,40.83
6,"00:00:44,419","00:00:45,253",Thank you.,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01594234,0.011710827,0.024631717999999997,0.012920891,0.0035081903999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.3980815347721736,2.3980815347721736,1,1.3599999999999994,"#5, ","44.55, ","45.91, ",44.42,45.25
7,"00:00:46,838","00:00:47,672",All right.,line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016838342,0.011443811000000002,0.027961923,0.016518111999999998,0.005355915500000001,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.375,4.0,0.5601648092269897,0.5,2.0,['all_right'],0.0,0.5601648092269897,0.5,2.398081534772193,2.398081534772193,1,3.25,"#6, ","46.88, ","50.13, ",46.84,47.67
8,"00:00:50,550","00:00:52,510",I think we're done with the hour.,line_0008.wav,7.0753694000000005,106.00961000000001,-1.0,107.00961000000001,21.453049,0.8669250645994832,0.015635863,0.004238679,0.03333466,0.029095981,0.008026946,0.0,0.0,0.2,0.2,0.0,0.6,3.5,0.03125,0.90625,0.0625,3.25,0.7173746824264526,0.875,8.0,"['i_think', 'think_we', 'we_are', 'are_done', 'done_with', 'with_the', 'the_hour']",0.0,0.2429097145795822,3.5,4.081632653061223,4.591836734693874,1,0.6000000000000014,"#7, ","51.86, ","52.46, ",50.55,52.51
9,"00:00:53,887","00:00:57,807",I am very honored by that. That means a lot. Thank you very much.,line_0009.wav,25.166859,91.875,-1.0,92.875,31.962390000000003,0.5788130185067007,0.012426013999999999,0.0019444538000000001,0.028827801,0.026883347000000002,0.007482585,0.0,0.2727272727272727,0.2727272727272727,0.09090909090909093,0.0,0.3636363636363637,6.5,0.078125,0.765625,0.15625,3.5,0.9999999403953552,0.9285714285714286,14.0,"['i_am', 'am_very', 'very_honored', 'honored_by', 'by_that', 'that_that', 'that_means', 'means_a', 'a_lot', 'lot_thank', 'thank_you', 'you_very', 'very_much']",0.0,0.13867250084877014,6.5,3.5714285714285694,4.336734693877548,0,0.0,,,,53.89,57.81
10,"00:00:58,141","00:01:00,143",[cheering and applause],line_0010.wav,9.324767,136.11111,-1.0,137.11111,27.895031,0.8720496894409938,0.01134159,0.0070587248,0.01635549,0.009296766,0.0020520717,,,,,,,,,,,,,,,,,,,,,1,3.25,"#8, ","58.42, ","61.67, ",58.14,60.14
11,"00:01:01,478","00:01:05,231","Well, it was my New Year's resolution to lose 15 pounds this year.",line_0011.wav,30.008784999999996,108.08823400000001,-1.0,109.08823400000001,33.412155,0.4850099933377749,0.014162713,0.0018761617000000001,0.037123136,0.035246976,0.0079126945,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,6.0,0.125,0.825,0.05,3.9230769230769234,0.8050395250320435,0.9230769230769232,13.0,"['well_it', 'it_was', 'was_my', 'my_new', 'new_years', 'years_resolution', 'resolution_to', 'to_lose', 'lose_15', '15_pounds', 'pounds_this', 'this_year']",0.0,0.10602540522813796,6.0,3.463895550226492,3.996802557953645,0,0.0,,,,61.48,65.23
12,"00:01:06,733","00:01:08,693",I've only got 25 pounds to go.,line_0012.wav,17.317415,97.56636999999999,-1.0,98.56636999999999,32.67004,0.7519181585677749,0.013202242,0.0006597924,0.029316837000000002,0.028657045,0.009028459,0.0,0.2,0.0,0.2,0.0,0.6,3.5,0.0,0.925,0.075,3.0,0.7218682765960693,0.875,8.0,"['i_have', 'have_only', 'only_got', 'got_25', '25_pounds', 'pounds_to', 'to_go']",0.0,0.16548959910869598,3.5,4.081632653061239,4.081632653061239,1,0.5799999999999983,"#9, ","70.99, ","71.57, ",66.73,68.69
13,"00:01:08,860","00:01:10,445",[audience laughing],line_0013.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.00825414,0.0048289922999999995,0.011077621000000001,0.0062486287,0.0016274572,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,68.86,70.44
14,"00:01:11,112","00:01:12,238",Little by little.,line_0014.wav,21.617613000000002,53.780487,-1.0,54.780487,23.81925,0.5243362831858407,0.013084185,0.002619079,0.030386217000000004,0.027767139,0.008134542,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.625,0.0,4.666666666666667,1.0000001192092896,0.6666666666666667,3.0,"['little_by', 'by_little']",0.0,0.2360168099403381,1.0,2.664298401420948,4.44049733570158,0,0.0,,,,71.11,72.24
15,"00:01:12,739","00:01:13,656",[audience laughing],line_0015.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0025736073,0.0018630192000000001,0.0039279223,0.0020649033,0.00040113195,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,72.74,73.66
16,"00:01:14,449","00:01:16,868",I gained ten pounds just for that joke.,line_0016.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.010678881000000001,0.0010803522,0.036414754,0.0353344,0.009090941,0.0,0.2,0.2,0.4,0.0,0.2,3.5,0.0,0.90625,0.09375,3.875,0.7457587718963623,0.875,8.0,"['i_gained', 'gained_ten', 'ten_pounds', 'pounds_just', 'just_for', 'for_that', 'that_joke']",0.0,0.1337573081254959,3.5,3.307151715584957,3.307151715584957,0,0.0,,,,74.45,76.87
17,"00:01:18,036","00:01:19,621",That's how dedicated I am.,line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.008800113,0.0015596619,0.029491802999999997,0.027932141,0.006864733499999999,0.2,0.2,0.2,0.0,0.0,0.4,2.5,0.08333333333333333,0.7083333333333334,0.20833333333333331,3.5,0.7566350698471069,0.8333333333333334,6.0,"['that_is', 'is_how', 'how_dedicated', 'dedicated_i', 'i_am']",0.0,0.16963590681552887,2.5,3.785488958990552,5.678233438485828,0,0.0,,,,78.04,79.62
18,"00:01:20,914","00:01:24,209",I learned there are milestones in putting on a few pounds.,line_0018.wav,24.479494,97.56636999999999,-1.0,98.56636999999999,32.502827,0.593607305936073,0.012575331,0.000721885,0.036367763,0.035645876,0.009180579,0.125,0.125,0.125,0.25,0.0,0.375,5.0,0.017857142857142856,0.9464285714285714,0.03571428571428571,4.2727272727272725,0.7246867418289185,0.9090909090909092,11.0,"['i_learned', 'learned_there', 'there_are', 'are_milestones', 'milestones_in', 'in_putting', 'putting_on', 'on_a', 'a_few', 'few_pounds']",0.0,0.07630433142185211,5.0,3.3383915022761737,3.945371775417297,0,0.0,,,,80.91,84.21
19,"00:01:24,292","00:01:26,669","Little moments where you go, ""That was new.""",line_0019.wav,32.049820000000004,147.0,-1.0,148.0,42.667534,0.5815677966101694,0.011578931499999999,0.00040609072,0.02383864,0.02343255,0.0071734916,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,3.5,0.1,0.775,0.125,4.125,0.757476806640625,0.875,8.0,"['little_moments', 'moments_where', 'where_you', 'you_go', 'go_that', 'that_was', 'was_new']",0.0,0.2649447321891785,3.5,3.3655868742111967,4.206983592763996,0,0.0,,,,84.29,86.67
20,"00:01:28,421","00:01:31,716","It used to be I'd put on my underwear, and that was it.",line_0020.wav,31.520964000000003,172.26561999999998,-1.0,173.26561999999998,35.993423,0.4908675799086758,0.01267852,0.0007038504700000001,0.03252763,0.03182378,0.008683179000000001,0.125,0.0,0.125,0.125,0.0,0.625,6.5,0.05,0.85,0.1,3.1428571428571432,0.9999999403953552,0.9285714285714286,14.0,"['it_used', 'used_to', 'to_be', 'be_i', 'i_would', 'would_put', 'put_on', 'on_my', 'my_underwear', 'underwear_and', 'and_that', 'that_was', 'was_it']",0.0,0.14195173978805542,6.5,4.248861911987876,4.855842185129002,0,0.0,,,,88.42,91.72
21,"00:01:32,425","00:01:34,052",I'd just get on with my day.,line_0021.wav,26.652555,137.8125,-1.0,138.8125,35.85942,0.5610510046367851,0.011232167,0.00052225316,0.034659352000000004,0.0341371,0.00990229,0.2,0.2,0.0,0.2,0.0,0.4,3.5,0.0,0.9583333333333334,0.04166666666666666,3.0,0.7737399935722351,0.875,8.0,"['i_would', 'would_just', 'just_get', 'get_on', 'on_with', 'with_my', 'my_day']",0.0,0.26372551918029785,3.5,4.91702519975412,4.91702519975412,0,0.0,,,,92.42,94.05
22,"00:01:35,094","00:01:37,806","You put on a few pounds, put on your underwear,",line_0022.wav,37.871006,151.0274,-1.0,152.0274,42.774014,0.4907749077490775,0.013901227,0.0007468767,0.0329767,0.032229826,0.008964084,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,4.5,0.0,1.0,0.0,3.6,0.7801244854927063,0.9,10.0,"['you_put', 'put_on', 'on_a', 'a_few', 'few_pounds', 'pounds_put', 'put_on', 'on_your', 'your_underwear']",0.0,0.14195173978805542,4.5,3.687315634218285,4.424778761061941,0,0.0,,,,95.09,97.81
23,"00:01:37,889","00:01:40,683","you bend over, and your waistband flips down.",line_0023.wav,21.399887,100.22726999999999,-1.0,101.22726999999999,32.755547,0.6648793565683646,0.012724019,0.0008876728999999999,0.031579223,0.03069155,0.008977801,0.25,0.0,0.0,0.25,0.0,0.5,3.5,0.0,1.0,0.0,4.5,0.7801244854927063,0.875,8.0,"['you_bend', 'bend_over', 'over_and', 'and_your', 'your_waistband', 'waistband_flips', 'flips_down']",0.0,0.09506696462631226,3.5,2.8632784538296234,2.8632784538296234,1,0.5999999999999943,"#10, ","102.62, ","103.22, ",97.89,100.68
24,"00:01:41,100","00:01:42,519",[audience laughing],line_0024.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0040471824,0.0022645432,0.0063135859999999995,0.0040490429999999996,0.0009223862400000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,101.1,102.52
25,"00:01:43,144","00:01:46,064","You stand back up, and it flaps back into place...",line_0025.wav,31.410453999999998,119.83696,-1.0,120.83696,40.363518,0.5752595155709342,0.01215374,0.0014978223,0.03137405,0.029876227,0.008894496,0.0,0.4,0.0,0.2,0.0,0.4,4.5,0.0,1.0,0.0,3.7,0.7408674955368042,0.9,10.0,"['you_stand', 'stand_back', 'back_up', 'up_and', 'and_it', 'it_flaps', 'flaps_back', 'back_into', 'into_place']",0.0,0.09749715030193327,4.5,3.42465753424659,3.7671232876712484,0,0.0,,,,103.14,106.06
26,"00:01:47,732","00:01:49,692",with an awkward little snap:,line_0026.wav,39.299328,96.710526,-1.0,97.710526,37.48981,0.4336734693877551,0.013250515,0.0015408355,0.028834152999999998,0.027293317,0.00852366,0.75,0.0,0.25,0.0,0.0,0.0,2.0,0.5625,0.4375,0.0,4.6,0.5539830327033997,0.8,5.0,"['with_an', 'an_awkward', 'awkward_little', 'little_snap']",0.0,0.20400074124336245,2.0,2.551020408163273,3.5714285714285827,0,0.0,,,,107.73,109.69
27,"00:01:49,776","00:01:51,152",[mimics snapping sound] Whoa.,line_0027.wav,28.425410999999997,128.19768,-1.0,129.19768,37.389590000000005,0.5533088235294118,0.008510142,0.0018491211999999999,0.033239648,0.031390525,0.006436051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.7267441860465091,0.7267441860465091,0,0.0,,,,109.78,111.15
28,"00:01:51,319","00:01:53,363",That hurt and felt nice.,line_0028.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.010836700000000001,0.0013271618,0.027661325,0.026334162999999997,0.007498549300000001,0.25,0.0,0.25,0.0,0.0,0.5,2.0,0.20833333333333331,0.4583333333333333,0.3333333333333333,3.8,0.6004632115364075,0.8,5.0,"['that_hurt', 'hurt_and', 'and_felt', 'felt_nice']",0.0,0.3544270694255829,2.0,2.446183953033272,2.446183953033272,0,0.0,,,,111.32,113.36
29,"00:01:53,822","00:01:55,824",[audience laughing],line_0029.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0045755003,0.0016487189999999999,0.0075891097,0.0059403908,0.0018145354999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,113.82,115.82
30,"00:01:57,492","00:02:01,830","Then you put on a few more pounds, you bend over, your waistband flips down.",line_0030.wav,32.0176,95.86957,-1.0,96.86957,30.718178,0.4333525678015003,0.012811572,0.0010240786,0.03225025,0.031226173,0.00779316,0.3,0.1,0.1,0.2,0.0,0.3,7.0,0.0,1.0,0.0,3.933333333333333,0.7801244854927063,0.9333333333333332,15.0,"['then_you', 'you_put', 'put_on', 'on_a', 'a_few', 'few_more', 'more_pounds', 'pounds_you', 'you_bend', 'bend_over', 'over_your', 'your_waistband', 'waistband_flips', 'flips_down']",0.0,0.026547687128186226,7.0,3.457814661134168,3.457814661134168,0,0.0,,,,117.49,121.83
31,"00:02:02,205","00:02:05,583","And when you stand back up, it doesn't flap back into place.",line_0031.wav,38.178482,112.5,-1.0,113.5,28.494013,0.2987398072646405,0.012145811999999999,0.00051515485,0.0309,0.030384843999999998,0.008535302,0.0,0.5,0.0,0.125,0.0,0.375,6.0,0.08928571428571429,0.9107142857142856,0.0,3.615384615384616,0.7708450555801392,0.9230769230769232,13.0,"['and_when', 'when_you', 'you_stand', 'stand_back', 'back_up', 'up_it', 'it_does', 'does_not', 'not_flap', 'flap_back', 'back_into', 'into_place']",0.0,0.1360018402338028,6.0,3.848431024274719,4.144464179988159,0,0.0,,,,122.2,125.58
32,"00:02:05,667","00:02:06,793",[audience laughing],line_0032.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0042289826,0.0019888538,0.006218807,0.004229953,0.0012576847999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,125.67,126.79
33,"00:02:06,876","00:02:09,295","Hey, where was the awkward little snap?",line_0033.wav,31.045212,87.5,-1.0,88.5,30.468908000000003,0.44849115504682624,0.01368548,0.0013590661,0.026878335,0.025519269,0.0074933292,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,3.0,0.4166666666666667,0.5,0.08333333333333333,4.428571428571429,0.6065112352371216,0.8571428571428572,7.0,"['hey_where', 'where_was', 'was_the', 'the_awkward', 'awkward_little', 'little_snap']",0.0,0.14644449949264526,3.0,2.8937577511368535,3.7205456800330974,0,0.0,,,,126.88,129.29
34,"00:02:12,757","00:02:14,592",I hit a brand-new milestone.,line_0034.wav,36.85184,94.23076999999999,-1.0,95.23076999999999,34.770462,0.4254445964432285,0.013848833999999999,0.0019791655,0.034125,0.032145835,0.0075334064000000004,0.2,0.0,0.2,0.4,0.0,0.2,2.5,0.0,0.90625,0.09375,3.6666666666666665,0.5519174337387085,0.8333333333333334,6.0,"['i_hit', 'hit_a', 'a_brand', 'brand_new', 'new_milestone']",0.0,0.13912735879421234,2.5,3.269754768392356,3.8147138964577483,0,0.0,,,,132.76,134.59
