,filename,laughs,start,end,threshold,duration
0,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_0.wav,22.12,25.69,0.7,0.3
1,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_1.wav,27.26,28.42,0.7,0.3
2,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_2.wav,29.76,34.16,0.7,0.3
3,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_3.wav,36.01,38.57,0.7,0.3
4,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_4.wav,39.78,41.02,0.7,0.3
5,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_5.wav,44.55,45.91,0.7,0.3
6,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_6.wav,46.88,50.13,0.7,0.3
7,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_7.wav,51.86,52.46,0.7,0.3
8,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_8.wav,58.42,61.67,0.7,0.3
9,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_9.wav,70.99,71.57,0.7,0.3
10,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_10.wav,102.62,103.22,0.7,0.3
11,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_11.wav,147.26,147.76,0.7,0.3
12,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_12.wav,154.63,155.35,0.7,0.3
13,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_13.wav,204.07,204.83,0.7,0.3
14,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_14.wav,218.9,219.55,0.7,0.3
15,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_15.wav,260.72,261.16,0.7,0.3
16,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_16.wav,262.58,264.7,0.7,0.3
17,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_17.wav,326.1,327.24,0.7,0.3
18,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_18.wav,381.66,382.47,0.7,0.3
19,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_19.wav,408.62,409.17,0.7,0.3
20,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_20.wav,445.87,446.32,0.7,0.3
21,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_21.wav,451.41,451.8,0.7,0.3
22,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_22.wav,462.37,464.38,0.7,0.3
23,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_23.wav,464.69,466.14,0.7,0.3
24,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_24.wav,516.54,519.77,0.7,0.3
25,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_25.wav,521.25,521.56,0.7,0.3
26,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_26.wav,536.83,537.38,0.7,0.3
27,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_27.wav,543.89,544.8,0.7,0.3
28,brian.regan.nunchucks.and.flamethrowers.2017.1080p.web.x264.strife-music.wav,/laughs/laugh_28.wav,546.0,547.0,0.7,0.3
