,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,588","00:00:07,757",<i>[gun cocks and fires]</i>,line_0000.wav,3.9365695,75.5137,-1.0,76.5137,15.8906555,0.9089861751152074,0.08274635,0.06437565,0.10363321,0.039257564,0.008660299,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,5.59,7.76
1,"00:00:09,843","00:00:12,387",<i>[cheering and applause]</i>,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.09395135,0.064549156,0.12676348,0.062214322,0.012071275,,,,,,,,,,,,,,,,,,,,,3,4.35,"#2, #3, #4, ","10.17, 12.39, 14.85, ","11.51, 14.37, 15.88, ",9.84,12.39
2,"00:00:16,808","00:00:19,936","<i>[announcer] </i><span style=""style_2"">Chicago, are you ready?</i>",line_0002.wav,4.951105999999999,193.42105,-1.0,194.42105,26.806044,0.9456,0.08486625,0.03625536,0.1355639,0.099308535,0.02346879,,,,,,,,,,,,,,,,,,,,,1,4.260000000000002,"#5, ","17.93, ","22.19, ",16.81,19.94
3,"00:00:20,020","00:00:22,397",<i>[cheering and applause]</i>,line_0003.wav,10.527619,68.05556,-1.0,69.05556,21.228466,0.7688229056203606,0.088153034,0.044511866,0.13840526,0.093893394,0.021465221,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,20.02,22.4
4,"00:00:22,480","00:00:26,443","<i>Party goblins, are you ready?</i>",line_0004.wav,25.52723,68.478264,-1.0,69.478264,23.869320000000002,0.4423933800127308,0.09651472,0.049358066,0.16034056,0.11098249,0.025964822999999998,,,,,,,,,,,,,,,,,,,,,1,7.880000000000003,"#6, ","23.13, ","31.01, ",22.48,26.44
5,"00:00:26,526","00:00:28,111",<i>[cheering and applause]</i>,line_0005.wav,2.5437016,113.65978999999999,-1.0,114.65978999999999,15.409204,0.9456869009584664,0.08929183,0.05653085,0.14227434,0.08574349,0.02124298,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.53,28.11
6,"00:00:28,194","00:00:29,738","<i>Ladies and gentlemen,</i>",line_0006.wav,10.146391,66.818184,-1.0,67.818184,21.795935,0.7878289473684209,0.11653896400000001,0.08413675,0.15001965,0.0658829,0.017565707,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,28.19,29.74
7,"00:00:29,821","00:00:31,573","<i>please welcome to the stage,</i>",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.11464262,0.08158936,0.13505001,0.05346065,0.012405542,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,1.0,0.0,4.6,0.6140341758728027,0.8,5.0,"['please_welcome', 'welcome_to', 'to_the', 'the_stage']",0.0,0.14958994090557098,2.0,2.8538812785388146,3.424657534246577,0,0.0,,,,29.82,31.57
8,"00:00:31,656","00:00:33,825",<i>Iliza!</i>,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.098234326,0.07230197,0.1485194,0.07621743,0.013991268999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.4610419548178876,0.0,0,0.0,,,,31.66,33.83
9,"00:00:33,908","00:00:37,912",<i>[cheering and applause]</i>,line_0009.wav,7.4861173999999995,63.0,-1.0,64.0,19.068985,0.8330194601381042,0.07775482,0.057912055,0.11314029,0.055228237,0.008705154,,,,,,,,,,,,,,,,,,,,,3,20.099999999999994,"#7, #8, #9, ","33.99, 38.04, 39.15, ","37.04, 38.87, 55.37, ",33.91,37.91
10,"00:00:44,794","00:00:47,130",<i>[cheering and applause]</i>,line_0010.wav,5.209069,51.279068,-1.0,52.279068,16.033602,0.8690476190476191,0.05634033,0.03431516,0.103265226,0.068950064,0.010214191999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,44.79,47.13
11,"00:00:51,176","00:00:53,803",<i>-Chicago!</i> <i>-[cheering]</i>,line_0011.wav,3.0932016,62.64204399999999,-1.0,63.64204399999999,13.854922,0.918560606060606,0.05212091,0.019350057,0.09321806,0.07386799999999999,0.015673267,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.3806623524933391,1.1419870574800173,0,0.0,,,,51.18,53.8
12,"00:00:53,887","00:00:55,889",<i>-Thank you!</i> <i>-[cheering]</i>,line_0012.wav,39.354855,125.28408999999999,-1.0,126.28408999999999,28.286121,0.2597730138713745,0.024764212,0.0017235554,0.08099796,0.0792744,0.018643072,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,0.9990009990009978,0.9990009990009978,0,0.0,,,,53.89,55.89
13,"00:00:57,724","00:00:59,100",<i>Thank you for having me.</i>,line_0013.wav,11.4025,101.14679,-1.0,102.14679,26.027282999999997,0.8010849909584087,0.019336987,0.0023089477,0.10239680000000001,0.10008785,0.027611188999999998,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.875,0.125,3.8,0.6991034746170044,0.8,5.0,"['thank_you', 'you_for', 'for_having', 'having_me']",0.0,0.3267369866371155,2.0,3.6337209302325455,4.3604651162790535,0,0.0,,,,57.72,59.1
14,"00:00:59,184","00:01:01,686",<i>I'd like to discuss something with you.</i>,line_0014.wav,52.274159999999995,155.2817,-1.0,156.2817,44.15128,0.2931726907630522,0.026332697000000002,0.000986695,0.09639746,0.09541076400000001,0.025178572000000003,0.0,0.0,0.0,0.25,0.0,0.75,3.5,0.0,0.9375,0.0625,4.375,0.7388350367546082,0.875,8.0,"['i_would', 'would_like', 'like_to', 'to_discuss', 'discuss_something', 'something_with', 'with_you']",0.0,0.17472179234027865,3.5,3.1974420463629065,3.996802557953633,1,1.4899999999999949,"#10, ","62.13, ","63.62, ",59.18,61.69
15,"00:01:02,896","00:01:05,857",<i>There are two kinds of hungover.</i>,line_0015.wav,21.153616,73.013245,-1.0,74.013245,27.568476,0.6011804384485666,0.029518249,0.0027513679999999997,0.08307139599999999,0.08032003,0.021053439,0.25,0.25,0.0,0.25,0.0,0.25,2.5,0.04166666666666666,0.875,0.08333333333333333,4.333333333333333,0.6261090040206909,0.8333333333333334,6.0,"['there_are', 'are_two', 'two_kinds', 'kinds_of', 'of_hungover']",0.0,-0.044172797352075584,2.5,2.0263424518743682,1.6886187098953065,0,0.0,,,,62.9,65.86
16,"00:01:05,940","00:01:07,650",<i>[laughter]</i>,line_0016.wav,39.400845000000004,128.19768,-1.0,129.19768,31.600445,0.3299120234604105,0.028414428,0.003096197,0.08074758,0.07765138,0.021617476,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,65.94,67.65
17,"00:01:07,734","00:01:10,820",<i>There's the kind of hungover</i> <i>where you wake up the next morning</i>,line_0017.wav,32.9013,169.61539,-1.0,170.61539,37.593596999999995,0.44098360655737706,0.032559983,0.0018630015,0.08481281,0.08294981,0.024104575,0.18181818181818185,0.2727272727272727,0.18181818181818185,0.18181818181818185,0.0,0.18181818181818185,6.0,0.02083333333333333,0.9375,0.04166666666666666,4.0,0.7860671281814575,0.9230769230769232,13.0,"['there_is', 'is_the', 'the_kind', 'kind_of', 'of_hungover', 'hungover_where', 'where_you', 'you_wake', 'wake_up', 'up_the', 'the_next', 'next_morning']",0.0,-0.044172797352075584,6.0,4.212572909915751,4.212572909915751,0,0.0,,,,67.73,70.82
18,"00:01:10,904","00:01:14,407","<i>and you're like,</i> <i>""What? I touched his penis over his jeans?</i>",line_0018.wav,4.1179223,63.728325,-1.0,64.728325,15.588957999999998,0.9005722460658083,0.029610176000000002,0.0026956915000000002,0.09750719,0.0948115,0.021494897000000002,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,5.5,0.03125,0.90625,0.0625,3.75,0.7550758123397827,0.9166666666666666,12.0,"['and_you', 'you_are', 'are_like', 'like_what', 'what_i', 'i_touched', 'touched_his', 'his_penis', 'penis_over', 'over_his', 'his_jeans']",0.0,0.18245676159858704,5.5,3.4256351698544103,3.9965743648301455,2,2.690000000000012,"#11, #12, ","71.64, 73.86, ","73.65, 74.54, ",70.9,74.41
19,"00:01:14,491","00:01:17,786","<i>-It's okay, I'm sassy."" And then...</i> <i>-[laughter]</i>",line_0019.wav,41.318546000000005,119.83696,-1.0,120.83696,32.542244000000004,0.30474732006125577,0.034386277,0.0008957803999999999,0.09948463,0.09858885,0.023287961,0.4,0.2,0.0,0.0,0.0,0.4,3.5,0.075,0.75,0.175,2.875,0.7470781207084656,0.875,8.0,"['it_is', 'is_okay', 'okay_i', 'i_am', 'am_sassy', 'sassy_and', 'and_then']",0.0,0.07921820133924484,3.5,2.4279210925644903,3.0349013657056134,0,0.0,,,,74.49,77.79
20,"00:01:17,869","00:01:22,832",<i>there's the kind of hungover</i> <i>where whatever happened the night before</i>,line_0020.wav,44.073605,167.04546000000002,-1.0,168.04546000000002,33.484127,0.2713061018658598,0.019732095,0.0016781418,0.08105385,0.079375714,0.0186482,0.2,0.2,0.2,0.2,0.0,0.2,5.5,0.025,0.925,0.05,4.916666666666667,0.7860671281814575,0.9166666666666666,12.0,"['there_is', 'is_the', 'the_kind', 'kind_of', 'of_hungover', 'hungover_where', 'where_whatever', 'whatever_happened', 'happened_the', 'the_night', 'night_before']",0.0,-0.044172797352075584,5.5,2.4178924037880343,3.022365504735043,1,0.6400000000000006,"#13, ","82.38, ","83.02, ",77.87,82.83
21,"00:01:22,916","00:01:25,084",<i>wasn't even your fault.</i>,line_0021.wav,35.773083,128.19768,-1.0,129.19768,34.671886,0.4145496535796767,0.03357556,0.0041952166,0.08834614,0.084150925,0.02029065,0.2,0.4,0.0,0.2,0.0,0.2,2.0,0.34375,0.5625,0.09375,3.8,0.7984950542449951,0.8,5.0,"['was_not', 'not_even', 'even_your', 'your_fault']",0.0,0.2009677141904831,2.0,2.3062730627306207,2.7675276752767446,1,2.9399999999999977,"#14, ","85.12, ","88.06, ",82.92,85.08
