,filename,laughs,start,end,threshold,duration
2,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_2.wav,10.17,11.51,0.7,0.3
3,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_3.wav,12.39,14.37,0.7,0.3
4,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_4.wav,14.85,15.88,0.7,0.3
5,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_5.wav,17.93,22.19,0.7,0.3
6,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_6.wav,23.13,31.01,0.7,0.3
7,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_7.wav,33.99,37.04,0.7,0.3
8,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_8.wav,38.04,38.87,0.7,0.3
9,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_9.wav,39.15,55.37,0.7,0.3
10,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_10.wav,62.13,63.62,0.7,0.3
11,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_11.wav,71.64,73.65,0.7,0.3
12,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_12.wav,73.86,74.54,0.7,0.3
13,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_13.wav,82.38,83.02,0.7,0.3
14,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_14.wav,85.12,88.06,0.7,0.3
15,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_15.wav,90.35,103.95,0.7,0.3
16,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_16.wav,116.99,119.67,0.7,0.3
17,iliza.shlesinger.confirmed.kills..2016.-music.wav,/laughs/laugh_17.wav,121.27,122.81,0.7,0.3
