,filename,laughs,start,end,threshold,duration
2,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_2.wav,30.0,30.44,0.7,0.3
3,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_3.wav,32.65,33.69,0.7,0.3
4,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_4.wav,35.2,42.8,0.7,0.3
5,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_5.wav,43.72,46.29,0.7,0.3
6,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_6.wav,47.14,51.19,0.7,0.3
7,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_7.wav,52.21,52.88,0.7,0.3
8,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_8.wav,59.81,61.23,0.7,0.3
9,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_9.wav,63.8,64.75,0.7,0.3
10,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_10.wav,67.81,70.46,0.7,0.3
11,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_11.wav,71.58,73.27,0.7,0.3
12,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_12.wav,78.32,80.08,0.7,0.3
13,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_13.wav,89.85,91.17,0.7,0.3
14,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_14.wav,112.38,113.37,0.7,0.3
15,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_15.wav,123.12,124.34,0.7,0.3
16,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_16.wav,127.36,128.65,0.7,0.3
17,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_17.wav,155.78,156.83,0.7,0.3
18,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_18.wav,162.45,164.67,0.7,0.3
19,jim.jefferies.bare.2014.720p.webrip.x264.w4f-music.wav,/laughs/laugh_19.wav,165.05,166.31,0.7,0.3
